[2176, 1463]
[folio, [166.0, 138.0, 177.0, 36.0], wDBJnbwwEb, 5655234]
[paragraph, [160.0, 243.0, 1170.0, 36.0], shoonya_1sC1ML7S07AGYI, 5655234]
[paragraph, [160.0, 279.0, 1170.0, 36.0], shoonya_1sC1ML7S07AGYI, 5655234]
[paragraph, [160.0, 315.0, 1170.0, 36.0], shoonya_1sC1ML7S07AGYI, 5655234]
[paragraph, [160.0, 351.0, 1170.0, 36.0], shoonya_1sC1ML7S07AGYI, 5655234]
[paragraph, [160.0, 387.0, 1170.0, 36.0], shoonya_1sC1ML7S07AGYI, 5655234]
[paragraph, [160.0, 423.0, 1170.0, 36.0], shoonya_1sC1ML7S07AGYI, 5655234]
[paragraph, [160.0, 459.0, 1170.0, 36.0], shoonya_1sC1ML7S07AGYI, 5655234]
[paragraph, [160.0, 495.0, 1170.0, 36.0], shoonya_1sC1ML7S07AGYI, 5655234]
[paragraph, [160.0, 531.0, 1170.0, 36.0], shoonya_1sC1ML7S07AGYI, 5655234]
[paragraph, [160.0, 567.0, 1170.0, 36.0], shoonya_1sC1ML7S07AGYI, 5655234]
[paragraph, [160.0, 603.0, 1170.0, 36.0], shoonya_1sC1ML7S07AGYI, 5655234]
[paragraph, [160.0, 639.0, 1170.0, 36.0], shoonya_1sC1ML7S07AGYI, 5655234]
[paragraph, [160.0, 675.0, 1170.0, 36.0], shoonya_1sC1ML7S07AGYI, 5655234]
[paragraph, [160.0, 711.0, 1170.0, 36.0], shoonya_1sC1ML7S07AGYI, 5655234]
[paragraph, [160.0, 747.0, 1170.0, 36.0], shoonya_1sC1ML7S07AGYI, 5655234]
[paragraph, [160.0, 783.0, 1170.0, 36.0], shoonya_1sC1ML7S07AGYI, 5655234]
[paragraph, [160.0, 819.0, 1170.0, 36.0], shoonya_1sC1ML7S07AGYI, 5655234]
[paragraph, [160.0, 855.0, 1170.0, 36.0], shoonya_1sC1ML7S07AGYI, 5655234]
[paragraph, [160.0, 891.0, 1170.0, 36.0], shoonya_1sC1ML7S07AGYI, 5655234]
[paragraph, [160.0, 927.0, 1170.0, 36.0], shoonya_1sC1ML7S07AGYI, 5655234]
[paragraph, [160.0, 963.0, 1170.0, 36.0], shoonya_1sC1ML7S07AGYI, 5655234]
[paragraph, [160.0, 999.0, 1170.0, 36.0], shoonya_1sC1ML7S07AGYI, 5655234]
[paragraph, [160.0, 1035.0, 1170.0, 36.0], shoonya_1sC1ML7S07AGYI, 5655234]
[paragraph, [160.0, 1071.0, 1170.0, 36.0], shoonya_1sC1ML7S07AGYI, 5655234]
[paragraph, [160.0, 1107.0, 1170.0, 36.0], shoonya_1sC1ML7S07AGYI, 5655234]
[paragraph, [160.0, 1143.0, 1170.0, 36.0], shoonya_1sC1ML7S07AGYI, 5655234]
[paragraph, [160.0, 1179.0, 1170.0, 36.0], shoonya_1sC1ML7S07AGYI, 5655234]
[paragraph, [160.0, 1215.0, 1170.0, 36.0], shoonya_1sC1ML7S07AGYI, 5655234]
[paragraph, [160.0, 1251.0, 1170.0, 36.0], shoonya_1sC1ML7S07AGYI, 5655234]
[paragraph, [160.0, 1287.0, 1170.0, 36.0], shoonya_1sC1ML7S07AGYI, 5655234]
[paragraph, [160.0, 1323.0, 1170.0, 36.0], shoonya_1sC1ML7S07AGYI, 5655234]
[paragraph, [165.0, 1411.0, 1164.0, 36.0], shoonya_0sVZQQ8DY27T99, 5655234]
[paragraph, [165.0, 1447.0, 1164.0, 36.0], shoonya_0sVZQQ8DY27T99, 5655234]
[paragraph, [165.0, 1483.0, 1164.0, 36.0], shoonya_0sVZQQ8DY27T99, 5655234]
[paragraph, [165.0, 1519.0, 1164.0, 36.0], shoonya_0sVZQQ8DY27T99, 5655234]
[paragraph, [165.0, 1555.0, 1164.0, 36.0], shoonya_0sVZQQ8DY27T99, 5655234]
[paragraph, [165.0, 1591.0, 1164.0, 36.0], shoonya_0sVZQQ8DY27T99, 5655234]
[paragraph, [165.0, 1627.0, 1164.0, 36.0], shoonya_0sVZQQ8DY27T99, 5655234]
[paragraph, [165.0, 1663.0, 1164.0, 36.0], shoonya_0sVZQQ8DY27T99, 5655234]
[paragraph, [165.0, 1699.0, 1164.0, 36.0], shoonya_0sVZQQ8DY27T99, 5655234]
[paragraph, [165.0, 1735.0, 1164.0, 36.0], shoonya_0sVZQQ8DY27T99, 5655234]
[reference, [163.0, 1857.0, 577.0, 36.0], shoonya_3sG3X6HKT3AYGR, 5655234]
[reference, [163.0, 1893.0, 577.0, 36.0], shoonya_3sG3X6HKT3AYGR, 5655234]
[reference, [163.0, 1929.0, 577.0, 36.0], shoonya_3sG3X6HKT3AYGR, 5655234]
[reference, [163.0, 1965.0, 577.0, 36.0], shoonya_3sG3X6HKT3AYGR, 5655234]
[reference, [163.0, 2001.0, 577.0, 36.0], shoonya_3sG3X6HKT3AYGR, 5655234]
