[2084, 1533]
[folio, [78.0, 32.0, 183.0, 36.0], GG_s5aCMcM, 5712613]
[folio, [78.0, 68.0, 183.0, 36.0], GG_s5aCMcM, 5712613]
[paragraph, [86.0, 133.0, 392.0, 36.0], 01UOrrcbyj, 5712613]
[paragraph, [86.0, 169.0, 392.0, 36.0], 01UOrrcbyj, 5712613]
[paragraph, [86.0, 205.0, 392.0, 36.0], 01UOrrcbyj, 5712613]
[contact-info, [792.0, 753.0, 687.0, 36.0], dAqlBu-eiK, 5712613]
[contact-info, [792.0, 789.0, 687.0, 36.0], dAqlBu-eiK, 5712613]
[contact-info, [792.0, 825.0, 687.0, 36.0], dAqlBu-eiK, 5712613]
[contact-info, [792.0, 861.0, 687.0, 36.0], dAqlBu-eiK, 5712613]
[contact-info, [792.0, 897.0, 687.0, 36.0], dAqlBu-eiK, 5712613]
[contact-info, [819.0, 997.0, 662.0, 36.0], XvnVjCbs9n, 5712613]
[contact-info, [819.0, 1033.0, 662.0, 36.0], XvnVjCbs9n, 5712613]
[contact-info, [819.0, 1069.0, 662.0, 36.0], XvnVjCbs9n, 5712613]
[contact-info, [819.0, 1105.0, 662.0, 36.0], XvnVjCbs9n, 5712613]
[contact-info, [819.0, 1141.0, 662.0, 36.0], XvnVjCbs9n, 5712613]
[contact-info, [819.0, 1177.0, 662.0, 36.0], XvnVjCbs9n, 5712613]
[headline, [114.0, 1002.0, 445.0, 67.5], shoonya_3sHYNBH7DXNZBJ, 5712613]
[contact-info, [1339.0, 1238.0, 172.0, 36.0], E8ZlsO-B74, 5712613]
[contact-info, [1339.0, 1274.0, 172.0, 36.0], E8ZlsO-B74, 5712613]
[contact-info, [1339.0, 1310.0, 172.0, 36.0], E8ZlsO-B74, 5712613]
[contact-info, [1339.0, 1346.0, 172.0, 36.0], E8ZlsO-B74, 5712613]
[contact-info, [1339.0, 1382.0, 172.0, 36.0], E8ZlsO-B74, 5712613]
[contact-info, [1339.0, 1418.0, 172.0, 36.0], E8ZlsO-B74, 5712613]
[contact-info, [1339.0, 1454.0, 172.0, 36.0], E8ZlsO-B74, 5712613]
[contact-info, [1339.0, 1490.0, 172.0, 36.0], E8ZlsO-B74, 5712613]
[contact-info, [1339.0, 1526.0, 172.0, 36.0], E8ZlsO-B74, 5712613]
[contact-info, [1339.0, 1562.0, 172.0, 36.0], E8ZlsO-B74, 5712613]
[contact-info, [1339.0, 1598.0, 172.0, 36.0], E8ZlsO-B74, 5712613]
[contact-info, [1339.0, 1634.0, 172.0, 36.0], E8ZlsO-B74, 5712613]
[contact-info, [1339.0, 1670.0, 172.0, 36.0], E8ZlsO-B74, 5712613]
[contact-info, [1339.0, 1706.0, 172.0, 36.0], E8ZlsO-B74, 5712613]
[contact-info, [1339.0, 1742.0, 172.0, 36.0], E8ZlsO-B74, 5712613]
[contact-info, [1339.0, 1778.0, 172.0, 36.0], E8ZlsO-B74, 5712613]
[contact-info, [1339.0, 1814.0, 172.0, 36.0], E8ZlsO-B74, 5712613]
[contact-info, [1339.0, 1850.0, 172.0, 36.0], E8ZlsO-B74, 5712613]
[contact-info, [1339.0, 1886.0, 172.0, 36.0], E8ZlsO-B74, 5712613]
[contact-info, [1339.0, 1922.0, 172.0, 36.0], E8ZlsO-B74, 5712613]
[section-title, [792.0, 1259.0, 187.0, 52.5], Sj0ntmUvHz, 5712613]
[section-title, [792.0, 1311.5, 187.0, 52.5], Sj0ntmUvHz, 5712613]
[section-title, [792.0, 1364.0, 187.0, 52.5], Sj0ntmUvHz, 5712613]
[section-title, [792.0, 1416.5, 187.0, 52.5], Sj0ntmUvHz, 5712613]
[section-title, [792.0, 1469.0, 187.0, 52.5], Sj0ntmUvHz, 5712613]
[section-title, [792.0, 1521.5, 187.0, 52.5], Sj0ntmUvHz, 5712613]
[section-title, [792.0, 1574.0, 187.0, 52.5], Sj0ntmUvHz, 5712613]
[contact-info, [220.0, 1712.0, 514.0, 36.0], shoonya_4s3JVZMHKY1OL6, 5712613]
[contact-info, [220.0, 1748.0, 514.0, 36.0], shoonya_4s3JVZMHKY1OL6, 5712613]
[contact-info, [220.0, 1784.0, 514.0, 36.0], shoonya_4s3JVZMHKY1OL6, 5712613]
[contact-info, [220.0, 1820.0, 514.0, 36.0], shoonya_4s3JVZMHKY1OL6, 5712613]
[contact-info, [220.0, 1856.0, 514.0, 36.0], shoonya_4s3JVZMHKY1OL6, 5712613]
[contact-info, [220.0, 1892.0, 514.0, 36.0], shoonya_4s3JVZMHKY1OL6, 5712613]
