[975, 571]
[chapter-title, [185.0, 78.0, 151.0, 30.0], shoonya_0sPB7J68IGZ76R, 5776411]
[section-title, [0.0, 111.0, 534.0, 30.0], PtphN-e_Ic, 5776411]
[paragraph, [0.0, 158.0, 546.0, 18.0], rM-Gl2v7Tl, 5776411]
[paragraph, [0.0, 176.0, 546.0, 18.0], rM-Gl2v7Tl, 5776411]
[paragraph, [0.0, 194.0, 546.0, 18.0], rM-Gl2v7Tl, 5776411]
[paragraph, [0.0, 212.0, 546.0, 18.0], rM-Gl2v7Tl, 5776411]
[paragraph, [0.0, 230.0, 546.0, 18.0], rM-Gl2v7Tl, 5776411]
[paragraph, [0.0, 248.0, 546.0, 18.0], rM-Gl2v7Tl, 5776411]
[paragraph, [0.0, 266.0, 546.0, 18.0], rM-Gl2v7Tl, 5776411]
[paragraph, [0.0, 284.0, 546.0, 18.0], rM-Gl2v7Tl, 5776411]
[paragraph, [0.0, 302.0, 546.0, 18.0], rM-Gl2v7Tl, 5776411]
[paragraph, [0.0, 320.0, 546.0, 18.0], rM-Gl2v7Tl, 5776411]
[paragraph, [0.0, 338.0, 546.0, 18.0], rM-Gl2v7Tl, 5776411]
[paragraph, [0.0, 356.0, 546.0, 18.0], rM-Gl2v7Tl, 5776411]
[paragraph, [0.0, 374.0, 546.0, 18.0], rM-Gl2v7Tl, 5776411]
[paragraph, [0.0, 392.0, 546.0, 18.0], rM-Gl2v7Tl, 5776411]
[paragraph, [0.0, 410.0, 546.0, 18.0], rM-Gl2v7Tl, 5776411]
[paragraph, [0.0, 428.0, 546.0, 18.0], rM-Gl2v7Tl, 5776411]
[paragraph, [1.0, 426.0, 550.0, 18.0], 4M43D__AqE, 5776411]
[paragraph, [1.0, 444.0, 550.0, 18.0], 4M43D__AqE, 5776411]
[paragraph, [1.0, 462.0, 550.0, 18.0], 4M43D__AqE, 5776411]
[paragraph, [1.0, 480.0, 550.0, 18.0], 4M43D__AqE, 5776411]
[paragraph, [1.0, 498.0, 550.0, 18.0], 4M43D__AqE, 5776411]
[paragraph, [1.0, 516.0, 550.0, 18.0], 4M43D__AqE, 5776411]
[paragraph, [1.0, 534.0, 550.0, 18.0], 4M43D__AqE, 5776411]
[paragraph, [1.0, 552.0, 550.0, 18.0], 4M43D__AqE, 5776411]
[paragraph, [1.0, 554.0, 550.0, 18.0], 5baurtENFj, 5776411]
[paragraph, [1.0, 572.0, 550.0, 18.0], 5baurtENFj, 5776411]
[paragraph, [1.0, 590.0, 550.0, 18.0], 5baurtENFj, 5776411]
[paragraph, [2.0, 594.0, 547.0, 18.0], 6QV2Jf2xPL, 5776411]
[paragraph, [2.0, 612.0, 547.0, 18.0], 6QV2Jf2xPL, 5776411]
[paragraph, [2.0, 630.0, 547.0, 18.0], 6QV2Jf2xPL, 5776411]
[paragraph, [9.0, 650.0, 234.0, 18.0], b1i3-DNt_K, 5776411]
[paragraph, [2.0, 655.0, 553.0, 18.0], c5LGUE-mEX, 5776411]
[paragraph, [2.0, 673.0, 553.0, 18.0], c5LGUE-mEX, 5776411]
[paragraph, [2.0, 691.0, 553.0, 18.0], c5LGUE-mEX, 5776411]
[paragraph, [0.0, 693.0, 559.0, 18.0], opmxJ42tHb, 5776411]
[paragraph, [0.0, 711.0, 559.0, 18.0], opmxJ42tHb, 5776411]
[paragraph, [0.0, 729.0, 559.0, 18.0], opmxJ42tHb, 5776411]
[paragraph, [0.0, 747.0, 559.0, 18.0], opmxJ42tHb, 5776411]
[paragraph, [0.0, 765.0, 559.0, 18.0], opmxJ42tHb, 5776411]
[paragraph, [0.0, 783.0, 559.0, 18.0], opmxJ42tHb, 5776411]
[paragraph, [0.0, 801.0, 559.0, 18.0], opmxJ42tHb, 5776411]
[paragraph, [0.0, 819.0, 559.0, 18.0], opmxJ42tHb, 5776411]
[paragraph, [0.0, 837.0, 559.0, 18.0], opmxJ42tHb, 5776411]
