[2339, 1653]
[paragraph, [325.0, 164.0, 1133.0, 36.0], shoonya_2sXQRXIJQXE2SX, 5733606]
[paragraph, [325.0, 200.0, 1133.0, 36.0], shoonya_2sXQRXIJQXE2SX, 5733606]
[paragraph, [325.0, 236.0, 1133.0, 36.0], shoonya_2sXQRXIJQXE2SX, 5733606]
[paragraph, [324.0, 376.0, 1139.0, 36.0], shoonya_0s4WPMEE1ST18T, 5733606]
[paragraph, [324.0, 412.0, 1139.0, 36.0], shoonya_0s4WPMEE1ST18T, 5733606]
[paragraph, [324.0, 448.0, 1139.0, 36.0], shoonya_0s4WPMEE1ST18T, 5733606]
[paragraph, [324.0, 484.0, 1139.0, 36.0], shoonya_0s4WPMEE1ST18T, 5733606]
[paragraph, [324.0, 520.0, 1139.0, 36.0], shoonya_0s4WPMEE1ST18T, 5733606]
[paragraph, [324.0, 556.0, 1139.0, 36.0], shoonya_0s4WPMEE1ST18T, 5733606]
[paragraph, [324.0, 592.0, 1139.0, 36.0], shoonya_0s4WPMEE1ST18T, 5733606]
[paragraph, [324.0, 628.0, 1139.0, 36.0], shoonya_0s4WPMEE1ST18T, 5733606]
[paragraph, [324.0, 664.0, 1139.0, 36.0], shoonya_0s4WPMEE1ST18T, 5733606]
[paragraph, [324.0, 700.0, 1139.0, 36.0], shoonya_0s4WPMEE1ST18T, 5733606]
[paragraph, [324.0, 736.0, 1139.0, 36.0], shoonya_0s4WPMEE1ST18T, 5733606]
[paragraph, [324.0, 772.0, 1139.0, 36.0], shoonya_0s4WPMEE1ST18T, 5733606]
[paragraph, [324.0, 808.0, 1139.0, 36.0], shoonya_0s4WPMEE1ST18T, 5733606]
[paragraph, [324.0, 844.0, 1139.0, 36.0], shoonya_0s4WPMEE1ST18T, 5733606]
[paragraph, [324.0, 880.0, 1139.0, 36.0], shoonya_0s4WPMEE1ST18T, 5733606]
[paragraph, [324.0, 916.0, 1139.0, 36.0], shoonya_0s4WPMEE1ST18T, 5733606]
[paragraph, [324.0, 952.0, 1139.0, 36.0], shoonya_0s4WPMEE1ST18T, 5733606]
[paragraph, [324.0, 988.0, 1139.0, 36.0], shoonya_0s4WPMEE1ST18T, 5733606]
[paragraph, [326.0, 1045.0, 1144.0, 36.0], shoonya_1s3V2GL5AQX21Q, 5733606]
[paragraph, [326.0, 1081.0, 1144.0, 36.0], shoonya_1s3V2GL5AQX21Q, 5733606]
[paragraph, [326.0, 1117.0, 1144.0, 36.0], shoonya_1s3V2GL5AQX21Q, 5733606]
[paragraph, [326.0, 1153.0, 1144.0, 36.0], shoonya_1s3V2GL5AQX21Q, 5733606]
[paragraph, [326.0, 1189.0, 1144.0, 36.0], shoonya_1s3V2GL5AQX21Q, 5733606]
[paragraph, [326.0, 1225.0, 1144.0, 36.0], shoonya_1s3V2GL5AQX21Q, 5733606]
[paragraph, [326.0, 1261.0, 1144.0, 36.0], shoonya_1s3V2GL5AQX21Q, 5733606]
[paragraph, [326.0, 1297.0, 1144.0, 36.0], shoonya_1s3V2GL5AQX21Q, 5733606]
[paragraph, [326.0, 1333.0, 1144.0, 36.0], shoonya_1s3V2GL5AQX21Q, 5733606]
[paragraph, [326.0, 1369.0, 1144.0, 36.0], shoonya_1s3V2GL5AQX21Q, 5733606]
[paragraph, [326.0, 1405.0, 1144.0, 36.0], shoonya_1s3V2GL5AQX21Q, 5733606]
[paragraph, [326.0, 1441.0, 1144.0, 36.0], shoonya_1s3V2GL5AQX21Q, 5733606]
[paragraph, [326.0, 1477.0, 1144.0, 36.0], shoonya_1s3V2GL5AQX21Q, 5733606]
[paragraph, [326.0, 1513.0, 1144.0, 36.0], shoonya_1s3V2GL5AQX21Q, 5733606]
[paragraph, [326.0, 1549.0, 1144.0, 36.0], shoonya_1s3V2GL5AQX21Q, 5733606]
[paragraph, [326.0, 1585.0, 1144.0, 36.0], shoonya_1s3V2GL5AQX21Q, 5733606]
[paragraph, [326.0, 1621.0, 1144.0, 36.0], shoonya_1s3V2GL5AQX21Q, 5733606]
[paragraph, [326.0, 1657.0, 1144.0, 36.0], shoonya_1s3V2GL5AQX21Q, 5733606]
[paragraph, [326.0, 1693.0, 1144.0, 36.0], shoonya_1s3V2GL5AQX21Q, 5733606]
[paragraph, [326.0, 1729.0, 1144.0, 36.0], shoonya_1s3V2GL5AQX21Q, 5733606]
[paragraph, [326.0, 1765.0, 1144.0, 36.0], shoonya_1s3V2GL5AQX21Q, 5733606]
[paragraph, [326.0, 1801.0, 1144.0, 36.0], shoonya_1s3V2GL5AQX21Q, 5733606]
[paragraph, [326.0, 1837.0, 1144.0, 36.0], shoonya_1s3V2GL5AQX21Q, 5733606]
[paragraph, [326.0, 1873.0, 1144.0, 36.0], shoonya_1s3V2GL5AQX21Q, 5733606]
[paragraph, [326.0, 1909.0, 1144.0, 36.0], shoonya_1s3V2GL5AQX21Q, 5733606]
[paragraph, [326.0, 1945.0, 1144.0, 36.0], shoonya_1s3V2GL5AQX21Q, 5733606]
[paragraph, [326.0, 1981.0, 1144.0, 36.0], shoonya_1s3V2GL5AQX21Q, 5733606]
[paragraph, [326.0, 2017.0, 1144.0, 36.0], shoonya_1s3V2GL5AQX21Q, 5733606]
[paragraph, [326.0, 2053.0, 1144.0, 36.0], shoonya_1s3V2GL5AQX21Q, 5733606]
[folio, [1112.0, 2155.0, 278.0, 36.0], shoonya_5sVOCLPSOVX89N, 5733606]
