[3960, 3060]
[paragraph, [338.0, 235.0, 2374.0, 52.5], shoonya_4sMJMCYLHN7LFW, 5698262]
[paragraph, [338.0, 287.5, 2374.0, 52.5], shoonya_4sMJMCYLHN7LFW, 5698262]
[paragraph, [338.0, 340.0, 2374.0, 52.5], shoonya_4sMJMCYLHN7LFW, 5698262]
[paragraph, [338.0, 392.5, 2374.0, 52.5], shoonya_4sMJMCYLHN7LFW, 5698262]
[paragraph, [338.0, 445.0, 2374.0, 52.5], shoonya_4sMJMCYLHN7LFW, 5698262]
[ordered-list, [342.0, 549.0, 2374.0, 52.5], shoonya_2sY4CL1EY6LPQ8, 5698262]
[ordered-list, [342.0, 601.5, 2374.0, 52.5], shoonya_2sY4CL1EY6LPQ8, 5698262]
[ordered-list, [342.0, 654.0, 2374.0, 52.5], shoonya_2sY4CL1EY6LPQ8, 5698262]
[ordered-list, [342.0, 706.5, 2374.0, 52.5], shoonya_2sY4CL1EY6LPQ8, 5698262]
[ordered-list, [342.0, 759.0, 2374.0, 52.5], shoonya_2sY4CL1EY6LPQ8, 5698262]
[ordered-list, [342.0, 811.5, 2374.0, 52.5], shoonya_2sY4CL1EY6LPQ8, 5698262]
[ordered-list, [342.0, 864.0, 2374.0, 52.5], shoonya_2sY4CL1EY6LPQ8, 5698262]
[ordered-list, [342.0, 916.5, 2374.0, 52.5], shoonya_2sY4CL1EY6LPQ8, 5698262]
[ordered-list, [342.0, 969.0, 2374.0, 52.5], shoonya_2sY4CL1EY6LPQ8, 5698262]
[ordered-list, [342.0, 1021.5, 2374.0, 52.5], shoonya_2sY4CL1EY6LPQ8, 5698262]
[ordered-list, [342.0, 1074.0, 2374.0, 52.5], shoonya_2sY4CL1EY6LPQ8, 5698262]
[ordered-list, [342.0, 1126.5, 2374.0, 52.5], shoonya_2sY4CL1EY6LPQ8, 5698262]
[ordered-list, [342.0, 1179.0, 2374.0, 52.5], shoonya_2sY4CL1EY6LPQ8, 5698262]
[ordered-list, [342.0, 1231.5, 2374.0, 52.5], shoonya_2sY4CL1EY6LPQ8, 5698262]
[ordered-list, [342.0, 1284.0, 2374.0, 52.5], shoonya_2sY4CL1EY6LPQ8, 5698262]
[ordered-list, [342.0, 1336.5, 2374.0, 52.5], shoonya_2sY4CL1EY6LPQ8, 5698262]
[ordered-list, [342.0, 1389.0, 2374.0, 52.5], shoonya_2sY4CL1EY6LPQ8, 5698262]
[ordered-list, [342.0, 1441.5, 2374.0, 52.5], shoonya_2sY4CL1EY6LPQ8, 5698262]
[ordered-list, [342.0, 1494.0, 2374.0, 52.5], shoonya_2sY4CL1EY6LPQ8, 5698262]
[ordered-list, [342.0, 1546.5, 2374.0, 52.5], shoonya_2sY4CL1EY6LPQ8, 5698262]
[ordered-list, [342.0, 1599.0, 2374.0, 52.5], shoonya_2sY4CL1EY6LPQ8, 5698262]
[ordered-list, [342.0, 1651.5, 2374.0, 52.5], shoonya_2sY4CL1EY6LPQ8, 5698262]
[ordered-list, [342.0, 1704.0, 2374.0, 52.5], shoonya_2sY4CL1EY6LPQ8, 5698262]
[ordered-list, [342.0, 1756.5, 2374.0, 52.5], shoonya_2sY4CL1EY6LPQ8, 5698262]
[ordered-list, [342.0, 1809.0, 2374.0, 52.5], shoonya_2sY4CL1EY6LPQ8, 5698262]
[ordered-list, [342.0, 1861.5, 2374.0, 52.5], shoonya_2sY4CL1EY6LPQ8, 5698262]
[ordered-list, [342.0, 1914.0, 2374.0, 52.5], shoonya_2sY4CL1EY6LPQ8, 5698262]
[section-title, [348.0, 2129.0, 422.0, 93.0], shoonya_1s0F1IIAEE3T46, 5698262]
[sub-section-title, [346.0, 2258.0, 1459.0, 73.5], shoonya_5sNVC91TTTNL23, 5698262]
[ordered-list, [346.0, 2365.0, 2380.0, 52.5], shoonya_0sBWIA5SRUU052, 5698262]
[ordered-list, [346.0, 2417.5, 2380.0, 52.5], shoonya_0sBWIA5SRUU052, 5698262]
[ordered-list, [346.0, 2470.0, 2380.0, 52.5], shoonya_0sBWIA5SRUU052, 5698262]
[ordered-list, [346.0, 2522.5, 2380.0, 52.5], shoonya_0sBWIA5SRUU052, 5698262]
[ordered-list, [346.0, 2575.0, 2380.0, 52.5], shoonya_0sBWIA5SRUU052, 5698262]
[ordered-list, [346.0, 2627.5, 2380.0, 52.5], shoonya_0sBWIA5SRUU052, 5698262]
[ordered-list, [346.0, 2680.0, 2380.0, 52.5], shoonya_0sBWIA5SRUU052, 5698262]
[ordered-list, [346.0, 2732.5, 2380.0, 52.5], shoonya_0sBWIA5SRUU052, 5698262]
[ordered-list, [346.0, 2785.0, 2380.0, 52.5], shoonya_0sBWIA5SRUU052, 5698262]
[ordered-list, [346.0, 2837.5, 2380.0, 52.5], shoonya_0sBWIA5SRUU052, 5698262]
[ordered-list, [346.0, 2890.0, 2380.0, 52.5], shoonya_0sBWIA5SRUU052, 5698262]
[ordered-list, [346.0, 2942.5, 2380.0, 52.5], shoonya_0sBWIA5SRUU052, 5698262]
[ordered-list, [346.0, 2995.0, 2380.0, 52.5], shoonya_0sBWIA5SRUU052, 5698262]
[ordered-list, [346.0, 3047.5, 2380.0, 52.5], shoonya_0sBWIA5SRUU052, 5698262]
[ordered-list, [346.0, 3100.0, 2380.0, 52.5], shoonya_0sBWIA5SRUU052, 5698262]
[ordered-list, [346.0, 3152.5, 2380.0, 52.5], shoonya_0sBWIA5SRUU052, 5698262]
[ordered-list, [346.0, 3205.0, 2380.0, 52.5], shoonya_0sBWIA5SRUU052, 5698262]
[ordered-list, [346.0, 3257.5, 2380.0, 52.5], shoonya_0sBWIA5SRUU052, 5698262]
[ordered-list, [346.0, 3310.0, 2380.0, 52.5], shoonya_0sBWIA5SRUU052, 5698262]
[ordered-list, [346.0, 3362.5, 2380.0, 52.5], shoonya_0sBWIA5SRUU052, 5698262]
[ordered-list, [346.0, 3415.0, 2380.0, 52.5], shoonya_0sBWIA5SRUU052, 5698262]
[ordered-list, [346.0, 3467.5, 2380.0, 52.5], shoonya_0sBWIA5SRUU052, 5698262]
