[1447, 1063]
[folio, [444.0, 57.0, 196.0, 18.0], n_-PbcVDAq, 5762362]
[headline, [123.0, 94.0, 818.0, 25.5], shoonya_0s5N6JS35WEFKQ, 5762362]
[headline, [123.0, 119.5, 818.0, 25.5], shoonya_0s5N6JS35WEFKQ, 5762362]
[headline, [123.0, 145.0, 818.0, 25.5], shoonya_0s5N6JS35WEFKQ, 5762362]
[headline, [123.0, 170.5, 818.0, 25.5], shoonya_0s5N6JS35WEFKQ, 5762362]
[headline, [123.0, 196.0, 818.0, 25.5], shoonya_0s5N6JS35WEFKQ, 5762362]
[paragraph, [538.0, 738.0, 430.0, 18.0], 0NZNOvUDfv, 5762362]
[paragraph, [538.0, 756.0, 430.0, 18.0], 0NZNOvUDfv, 5762362]
[paragraph, [538.0, 774.0, 430.0, 18.0], 0NZNOvUDfv, 5762362]
[paragraph, [538.0, 792.0, 430.0, 18.0], 0NZNOvUDfv, 5762362]
[paragraph, [538.0, 810.0, 430.0, 18.0], 0NZNOvUDfv, 5762362]
[paragraph, [538.0, 828.0, 430.0, 18.0], 0NZNOvUDfv, 5762362]
[paragraph, [538.0, 846.0, 430.0, 18.0], 0NZNOvUDfv, 5762362]
[paragraph, [538.0, 864.0, 430.0, 18.0], 0NZNOvUDfv, 5762362]
[paragraph, [538.0, 882.0, 430.0, 18.0], 0NZNOvUDfv, 5762362]
[paragraph, [538.0, 900.0, 430.0, 18.0], 0NZNOvUDfv, 5762362]
[paragraph, [538.0, 918.0, 430.0, 18.0], 0NZNOvUDfv, 5762362]
[paragraph, [538.0, 936.0, 430.0, 18.0], 0NZNOvUDfv, 5762362]
[paragraph, [86.0, 742.0, 441.0, 18.0], YxR2yXyvNg, 5762362]
[paragraph, [86.0, 760.0, 441.0, 18.0], YxR2yXyvNg, 5762362]
[paragraph, [86.0, 778.0, 441.0, 18.0], YxR2yXyvNg, 5762362]
[paragraph, [86.0, 796.0, 441.0, 18.0], YxR2yXyvNg, 5762362]
[paragraph, [86.0, 814.0, 441.0, 18.0], YxR2yXyvNg, 5762362]
[paragraph, [86.0, 832.0, 441.0, 18.0], YxR2yXyvNg, 5762362]
[paragraph, [86.0, 850.0, 441.0, 18.0], YxR2yXyvNg, 5762362]
[paragraph, [86.0, 868.0, 441.0, 18.0], YxR2yXyvNg, 5762362]
[paragraph, [86.0, 886.0, 441.0, 18.0], YxR2yXyvNg, 5762362]
[paragraph, [86.0, 904.0, 441.0, 18.0], YxR2yXyvNg, 5762362]
[paragraph, [86.0, 922.0, 441.0, 18.0], YxR2yXyvNg, 5762362]
[paragraph, [86.0, 940.0, 441.0, 18.0], YxR2yXyvNg, 5762362]
[paragraph, [86.0, 958.0, 441.0, 18.0], YxR2yXyvNg, 5762362]
[paragraph, [537.0, 965.0, 432.0, 18.0], JGatQsCr1U, 5762362]
[paragraph, [537.0, 983.0, 432.0, 18.0], JGatQsCr1U, 5762362]
[paragraph, [537.0, 1001.0, 432.0, 18.0], JGatQsCr1U, 5762362]
[paragraph, [537.0, 1019.0, 432.0, 18.0], JGatQsCr1U, 5762362]
[paragraph, [537.0, 1037.0, 432.0, 18.0], JGatQsCr1U, 5762362]
[paragraph, [537.0, 1055.0, 432.0, 18.0], JGatQsCr1U, 5762362]
[paragraph, [537.0, 1073.0, 432.0, 18.0], JGatQsCr1U, 5762362]
[paragraph, [537.0, 1091.0, 432.0, 18.0], JGatQsCr1U, 5762362]
[paragraph, [537.0, 1109.0, 432.0, 18.0], JGatQsCr1U, 5762362]
[paragraph, [537.0, 1127.0, 432.0, 18.0], JGatQsCr1U, 5762362]
[paragraph, [537.0, 1145.0, 432.0, 18.0], JGatQsCr1U, 5762362]
[paragraph, [537.0, 1163.0, 432.0, 18.0], JGatQsCr1U, 5762362]
[paragraph, [537.0, 1181.0, 432.0, 18.0], JGatQsCr1U, 5762362]
[paragraph, [537.0, 1199.0, 432.0, 18.0], JGatQsCr1U, 5762362]
[paragraph, [537.0, 1217.0, 432.0, 18.0], JGatQsCr1U, 5762362]
[paragraph, [537.0, 1235.0, 432.0, 18.0], JGatQsCr1U, 5762362]
[paragraph, [537.0, 1253.0, 432.0, 18.0], JGatQsCr1U, 5762362]
[paragraph, [537.0, 1271.0, 432.0, 18.0], JGatQsCr1U, 5762362]
[paragraph, [537.0, 1289.0, 432.0, 18.0], JGatQsCr1U, 5762362]
[paragraph, [95.0, 995.0, 433.0, 18.0], GibVLkfdCh, 5762362]
[paragraph, [95.0, 1013.0, 433.0, 18.0], GibVLkfdCh, 5762362]
[paragraph, [95.0, 1031.0, 433.0, 18.0], GibVLkfdCh, 5762362]
[paragraph, [95.0, 1049.0, 433.0, 18.0], GibVLkfdCh, 5762362]
[paragraph, [95.0, 1067.0, 433.0, 18.0], GibVLkfdCh, 5762362]
[paragraph, [95.0, 1085.0, 433.0, 18.0], GibVLkfdCh, 5762362]
[paragraph, [95.0, 1103.0, 433.0, 18.0], GibVLkfdCh, 5762362]
[paragraph, [95.0, 1121.0, 433.0, 18.0], GibVLkfdCh, 5762362]
[paragraph, [95.0, 1139.0, 433.0, 18.0], GibVLkfdCh, 5762362]
[paragraph, [95.0, 1157.0, 433.0, 18.0], GibVLkfdCh, 5762362]
[paragraph, [95.0, 1175.0, 433.0, 18.0], GibVLkfdCh, 5762362]
[paragraph, [95.0, 1193.0, 433.0, 18.0], GibVLkfdCh, 5762362]
[paragraph, [95.0, 1211.0, 433.0, 18.0], GibVLkfdCh, 5762362]
[paragraph, [95.0, 1229.0, 433.0, 18.0], GibVLkfdCh, 5762362]
[paragraph, [95.0, 1247.0, 433.0, 18.0], GibVLkfdCh, 5762362]
[paragraph, [95.0, 1265.0, 433.0, 18.0], GibVLkfdCh, 5762362]
[paragraph, [95.0, 1283.0, 433.0, 18.0], GibVLkfdCh, 5762362]
[paragraph, [95.0, 1301.0, 433.0, 18.0], GibVLkfdCh, 5762362]
[paragraph, [95.0, 1319.0, 433.0, 18.0], GibVLkfdCh, 5762362]
