[1063, 680]
[paragraph, [60.0, 131.0, 553.0, 18.0], biqgGMRDCK, 5739695]
[paragraph, [60.0, 149.0, 553.0, 18.0], biqgGMRDCK, 5739695]
[paragraph, [60.0, 167.0, 553.0, 18.0], biqgGMRDCK, 5739695]
[paragraph, [60.0, 185.0, 553.0, 18.0], biqgGMRDCK, 5739695]
[paragraph, [60.0, 203.0, 553.0, 18.0], biqgGMRDCK, 5739695]
[paragraph, [60.0, 221.0, 553.0, 18.0], biqgGMRDCK, 5739695]
[paragraph, [60.0, 239.0, 553.0, 18.0], biqgGMRDCK, 5739695]
[paragraph, [60.0, 257.0, 553.0, 18.0], biqgGMRDCK, 5739695]
[paragraph, [60.0, 275.0, 553.0, 18.0], biqgGMRDCK, 5739695]
[paragraph, [60.0, 293.0, 553.0, 18.0], biqgGMRDCK, 5739695]
[paragraph, [60.0, 311.0, 553.0, 18.0], biqgGMRDCK, 5739695]
[paragraph, [60.0, 329.0, 553.0, 18.0], biqgGMRDCK, 5739695]
[paragraph, [60.0, 347.0, 553.0, 18.0], biqgGMRDCK, 5739695]
[paragraph, [60.0, 365.0, 553.0, 18.0], biqgGMRDCK, 5739695]
[paragraph, [60.0, 383.0, 553.0, 18.0], biqgGMRDCK, 5739695]
[paragraph, [60.0, 401.0, 553.0, 18.0], biqgGMRDCK, 5739695]
[paragraph, [60.0, 419.0, 553.0, 18.0], biqgGMRDCK, 5739695]
[paragraph, [60.0, 437.0, 553.0, 18.0], biqgGMRDCK, 5739695]
[paragraph, [60.0, 455.0, 553.0, 18.0], biqgGMRDCK, 5739695]
[paragraph, [60.0, 473.0, 553.0, 18.0], biqgGMRDCK, 5739695]
[paragraph, [60.0, 491.0, 553.0, 18.0], biqgGMRDCK, 5739695]
[paragraph, [60.0, 509.0, 553.0, 18.0], biqgGMRDCK, 5739695]
[paragraph, [60.0, 527.0, 553.0, 18.0], biqgGMRDCK, 5739695]
[paragraph, [60.0, 545.0, 553.0, 18.0], biqgGMRDCK, 5739695]
[paragraph, [60.0, 563.0, 553.0, 18.0], biqgGMRDCK, 5739695]
[paragraph, [60.0, 581.0, 553.0, 18.0], biqgGMRDCK, 5739695]
[paragraph, [60.0, 599.0, 553.0, 18.0], biqgGMRDCK, 5739695]
[paragraph, [60.0, 617.0, 553.0, 18.0], biqgGMRDCK, 5739695]
[paragraph, [60.0, 635.0, 553.0, 18.0], biqgGMRDCK, 5739695]
[paragraph, [60.0, 653.0, 553.0, 18.0], biqgGMRDCK, 5739695]
[paragraph, [60.0, 671.0, 553.0, 18.0], biqgGMRDCK, 5739695]
[paragraph, [60.0, 689.0, 553.0, 18.0], biqgGMRDCK, 5739695]
[paragraph, [60.0, 707.0, 553.0, 18.0], biqgGMRDCK, 5739695]
[paragraph, [60.0, 725.0, 553.0, 18.0], biqgGMRDCK, 5739695]
[paragraph, [60.0, 743.0, 553.0, 18.0], biqgGMRDCK, 5739695]
[paragraph, [60.0, 761.0, 553.0, 18.0], biqgGMRDCK, 5739695]
[paragraph, [60.0, 779.0, 553.0, 18.0], biqgGMRDCK, 5739695]
[paragraph, [60.0, 797.0, 553.0, 18.0], biqgGMRDCK, 5739695]
[paragraph, [60.0, 815.0, 553.0, 18.0], biqgGMRDCK, 5739695]
[paragraph, [60.0, 833.0, 553.0, 18.0], biqgGMRDCK, 5739695]
[paragraph, [60.0, 851.0, 553.0, 18.0], biqgGMRDCK, 5739695]
[paragraph, [60.0, 869.0, 553.0, 18.0], biqgGMRDCK, 5739695]
[paragraph, [60.0, 887.0, 553.0, 18.0], biqgGMRDCK, 5739695]
[paragraph, [60.0, 905.0, 553.0, 18.0], biqgGMRDCK, 5739695]
[paragraph, [60.0, 923.0, 553.0, 18.0], biqgGMRDCK, 5739695]
[paragraph, [60.0, 941.0, 553.0, 18.0], biqgGMRDCK, 5739695]
[footnote, [461.0, 1014.0, 172.0, 18.0], orIPsiNgdm, 5739695]
