[842, 596]
[chapter-title, [71.0, 72.0, 449.0, 30.0], shoonya_0s4MK9D23QGGET, 5780466]
[chapter-title, [71.0, 102.0, 449.0, 30.0], shoonya_0s4MK9D23QGGET, 5780466]
[paragraph, [73.0, 157.0, 456.0, 18.0], _3Q5cHPvnj, 5780466]
[paragraph, [73.0, 175.0, 456.0, 18.0], _3Q5cHPvnj, 5780466]
[paragraph, [73.0, 193.0, 456.0, 18.0], _3Q5cHPvnj, 5780466]
[paragraph, [73.0, 211.0, 456.0, 18.0], _3Q5cHPvnj, 5780466]
[section-title, [61.0, 258.0, 460.0, 30.0], JMviVBfXtx, 5780466]
[paragraph, [130.0, 320.0, 394.0, 18.0], QnRc--jFgl, 5780466]
[paragraph, [130.0, 338.0, 394.0, 18.0], QnRc--jFgl, 5780466]
[paragraph, [130.0, 356.0, 394.0, 18.0], QnRc--jFgl, 5780466]
[paragraph, [130.0, 374.0, 394.0, 18.0], QnRc--jFgl, 5780466]
[paragraph, [130.0, 392.0, 394.0, 18.0], QnRc--jFgl, 5780466]
[paragraph, [130.0, 410.0, 394.0, 18.0], QnRc--jFgl, 5780466]
[paragraph, [130.0, 428.0, 394.0, 18.0], QnRc--jFgl, 5780466]
[paragraph, [130.0, 446.0, 394.0, 18.0], QnRc--jFgl, 5780466]
[paragraph, [130.0, 464.0, 394.0, 18.0], QnRc--jFgl, 5780466]
[paragraph, [130.0, 482.0, 394.0, 18.0], QnRc--jFgl, 5780466]
[paragraph, [130.0, 500.0, 394.0, 18.0], QnRc--jFgl, 5780466]
[paragraph, [130.0, 518.0, 394.0, 18.0], QnRc--jFgl, 5780466]
[sub-section-title, [100.0, 551.0, 310.0, 25.5], hwhXJ0sJpO, 5780466]
[unordered-list, [137.0, 586.0, 394.0, 18.0], T78aarQV3P, 5780466]
[unordered-list, [137.0, 604.0, 394.0, 18.0], T78aarQV3P, 5780466]
[unordered-list, [137.0, 622.0, 394.0, 18.0], T78aarQV3P, 5780466]
[unordered-list, [137.0, 640.0, 394.0, 18.0], T78aarQV3P, 5780466]
[unordered-list, [137.0, 658.0, 394.0, 18.0], T78aarQV3P, 5780466]
[unordered-list, [137.0, 676.0, 394.0, 18.0], T78aarQV3P, 5780466]
[paragraph, [134.0, 717.0, 395.0, 18.0], IuXyK_a-jT, 5780466]
[paragraph, [134.0, 735.0, 395.0, 18.0], IuXyK_a-jT, 5780466]
[paragraph, [134.0, 753.0, 395.0, 18.0], IuXyK_a-jT, 5780466]
