[1755, 1241]
[section-title, [504.0, 376.0, 264.0, 49.5], shoonya_0sG7OF9P6TLBBX, 5759641]
[paragraph, [206.0, 515.0, 862.0, 36.0], fm4lLrSJ5x, 5759641]
[paragraph, [206.0, 551.0, 862.0, 36.0], fm4lLrSJ5x, 5759641]
[paragraph, [206.0, 587.0, 862.0, 36.0], fm4lLrSJ5x, 5759641]
[paragraph, [206.0, 623.0, 862.0, 36.0], fm4lLrSJ5x, 5759641]
[paragraph, [206.0, 659.0, 862.0, 36.0], fm4lLrSJ5x, 5759641]
[paragraph, [206.0, 695.0, 862.0, 36.0], fm4lLrSJ5x, 5759641]
[paragraph, [206.0, 731.0, 862.0, 36.0], fm4lLrSJ5x, 5759641]
[paragraph, [206.0, 767.0, 862.0, 36.0], fm4lLrSJ5x, 5759641]
[paragraph, [206.0, 803.0, 862.0, 36.0], fm4lLrSJ5x, 5759641]
[paragraph, [206.0, 839.0, 862.0, 36.0], fm4lLrSJ5x, 5759641]
[paragraph, [206.0, 875.0, 862.0, 36.0], fm4lLrSJ5x, 5759641]
[paragraph, [210.0, 926.0, 853.0, 36.0], v3SPKZuzwm, 5759641]
[paragraph, [210.0, 962.0, 853.0, 36.0], v3SPKZuzwm, 5759641]
[paragraph, [210.0, 998.0, 853.0, 36.0], v3SPKZuzwm, 5759641]
[paragraph, [210.0, 1034.0, 853.0, 36.0], v3SPKZuzwm, 5759641]
[paragraph, [210.0, 1070.0, 853.0, 36.0], v3SPKZuzwm, 5759641]
[paragraph, [210.0, 1106.0, 853.0, 36.0], v3SPKZuzwm, 5759641]
[paragraph, [210.0, 1142.0, 853.0, 36.0], v3SPKZuzwm, 5759641]
[paragraph, [210.0, 1178.0, 853.0, 36.0], v3SPKZuzwm, 5759641]
[paragraph, [210.0, 1214.0, 853.0, 36.0], v3SPKZuzwm, 5759641]
[paragraph, [210.0, 1250.0, 853.0, 36.0], v3SPKZuzwm, 5759641]
[paragraph, [210.0, 1286.0, 853.0, 36.0], v3SPKZuzwm, 5759641]
[paragraph, [207.0, 1343.0, 867.0, 36.0], pcaLYVUvFs, 5759641]
[paragraph, [207.0, 1379.0, 867.0, 36.0], pcaLYVUvFs, 5759641]
[paragraph, [207.0, 1444.0, 851.0, 36.0], rkR8YLtr8b, 5759641]
[paragraph, [207.0, 1480.0, 851.0, 36.0], rkR8YLtr8b, 5759641]
[paragraph, [207.0, 1516.0, 851.0, 36.0], rkR8YLtr8b, 5759641]
