[2200, 1700]
[paragraph, [360.0, 176.0, 1156.0, 36.0], shoonya_2sX9H4SKRF57IG, 5734130]
[paragraph, [360.0, 212.0, 1156.0, 36.0], shoonya_2sX9H4SKRF57IG, 5734130]
[paragraph, [360.0, 248.0, 1156.0, 36.0], shoonya_2sX9H4SKRF57IG, 5734130]
[paragraph, [360.0, 284.0, 1156.0, 36.0], shoonya_2sX9H4SKRF57IG, 5734130]
[paragraph, [360.0, 320.0, 1156.0, 36.0], shoonya_2sX9H4SKRF57IG, 5734130]
[paragraph, [360.0, 356.0, 1156.0, 36.0], shoonya_2sX9H4SKRF57IG, 5734130]
[paragraph, [360.0, 392.0, 1156.0, 36.0], shoonya_2sX9H4SKRF57IG, 5734130]
[paragraph, [360.0, 428.0, 1156.0, 36.0], shoonya_2sX9H4SKRF57IG, 5734130]
[paragraph, [360.0, 464.0, 1156.0, 36.0], shoonya_2sX9H4SKRF57IG, 5734130]
[paragraph, [360.0, 500.0, 1156.0, 36.0], shoonya_2sX9H4SKRF57IG, 5734130]
[paragraph, [369.0, 584.0, 1148.0, 36.0], shoonya_0sT7R11CPVR04V, 5734130]
[paragraph, [369.0, 620.0, 1148.0, 36.0], shoonya_0sT7R11CPVR04V, 5734130]
[paragraph, [369.0, 656.0, 1148.0, 36.0], shoonya_0sT7R11CPVR04V, 5734130]
[paragraph, [369.0, 692.0, 1148.0, 36.0], shoonya_0sT7R11CPVR04V, 5734130]
[paragraph, [369.0, 728.0, 1148.0, 36.0], shoonya_0sT7R11CPVR04V, 5734130]
[paragraph, [369.0, 764.0, 1148.0, 36.0], shoonya_0sT7R11CPVR04V, 5734130]
[paragraph, [369.0, 800.0, 1148.0, 36.0], shoonya_0sT7R11CPVR04V, 5734130]
[paragraph, [369.0, 836.0, 1148.0, 36.0], shoonya_0sT7R11CPVR04V, 5734130]
[paragraph, [369.0, 872.0, 1148.0, 36.0], shoonya_0sT7R11CPVR04V, 5734130]
[paragraph, [369.0, 908.0, 1148.0, 36.0], shoonya_0sT7R11CPVR04V, 5734130]
[paragraph, [369.0, 944.0, 1148.0, 36.0], shoonya_0sT7R11CPVR04V, 5734130]
[paragraph, [369.0, 980.0, 1148.0, 36.0], shoonya_0sT7R11CPVR04V, 5734130]
[paragraph, [369.0, 1016.0, 1148.0, 36.0], shoonya_0sT7R11CPVR04V, 5734130]
[paragraph, [369.0, 1052.0, 1148.0, 36.0], shoonya_0sT7R11CPVR04V, 5734130]
[paragraph, [369.0, 1088.0, 1148.0, 36.0], shoonya_0sT7R11CPVR04V, 5734130]
[paragraph, [369.0, 1124.0, 1148.0, 36.0], shoonya_0sT7R11CPVR04V, 5734130]
[paragraph, [369.0, 1160.0, 1148.0, 36.0], shoonya_0sT7R11CPVR04V, 5734130]
[paragraph, [369.0, 1196.0, 1148.0, 36.0], shoonya_0sT7R11CPVR04V, 5734130]
[paragraph, [369.0, 1232.0, 1148.0, 36.0], shoonya_0sT7R11CPVR04V, 5734130]
[paragraph, [369.0, 1268.0, 1148.0, 36.0], shoonya_0sT7R11CPVR04V, 5734130]
[paragraph, [369.0, 1304.0, 1148.0, 36.0], shoonya_0sT7R11CPVR04V, 5734130]
[paragraph, [369.0, 1340.0, 1148.0, 36.0], shoonya_0sT7R11CPVR04V, 5734130]
[paragraph, [369.0, 1376.0, 1148.0, 36.0], shoonya_0sT7R11CPVR04V, 5734130]
[paragraph, [369.0, 1412.0, 1148.0, 36.0], shoonya_0sT7R11CPVR04V, 5734130]
[paragraph, [369.0, 1448.0, 1148.0, 36.0], shoonya_0sT7R11CPVR04V, 5734130]
[paragraph, [369.0, 1484.0, 1148.0, 36.0], shoonya_0sT7R11CPVR04V, 5734130]
[paragraph, [369.0, 1520.0, 1148.0, 36.0], shoonya_0sT7R11CPVR04V, 5734130]
[paragraph, [369.0, 1556.0, 1148.0, 36.0], shoonya_0sT7R11CPVR04V, 5734130]
[paragraph, [369.0, 1592.0, 1148.0, 36.0], shoonya_0sT7R11CPVR04V, 5734130]
[paragraph, [369.0, 1628.0, 1148.0, 36.0], shoonya_0sT7R11CPVR04V, 5734130]
[paragraph, [369.0, 1664.0, 1148.0, 36.0], shoonya_0sT7R11CPVR04V, 5734130]
[paragraph, [369.0, 1700.0, 1148.0, 36.0], shoonya_0sT7R11CPVR04V, 5734130]
[paragraph, [369.0, 1736.0, 1148.0, 36.0], shoonya_0sT7R11CPVR04V, 5734130]
[paragraph, [369.0, 1772.0, 1148.0, 36.0], shoonya_0sT7R11CPVR04V, 5734130]
[paragraph, [369.0, 1808.0, 1148.0, 36.0], shoonya_0sT7R11CPVR04V, 5734130]
[paragraph, [376.0, 1884.0, 1128.0, 36.0], shoonya_1sF424WA1MMRHJ, 5734130]
[paragraph, [376.0, 1920.0, 1128.0, 36.0], shoonya_1sF424WA1MMRHJ, 5734130]
[paragraph, [376.0, 1956.0, 1128.0, 36.0], shoonya_1sF424WA1MMRHJ, 5734130]
[paragraph, [376.0, 1992.0, 1128.0, 36.0], shoonya_1sF424WA1MMRHJ, 5734130]
