[1637, 1070]
[paragraph, [191.0, 116.0, 289.0, 36.0], f_poMgrScq, 5654377]
[paragraph, [191.0, 152.0, 289.0, 36.0], f_poMgrScq, 5654377]
[paragraph, [191.0, 188.0, 289.0, 36.0], f_poMgrScq, 5654377]
[paragraph, [191.0, 224.0, 289.0, 36.0], f_poMgrScq, 5654377]
[paragraph, [191.0, 260.0, 289.0, 36.0], f_poMgrScq, 5654377]
[paragraph, [191.0, 296.0, 289.0, 36.0], f_poMgrScq, 5654377]
[paragraph, [191.0, 332.0, 289.0, 36.0], f_poMgrScq, 5654377]
[paragraph, [191.0, 368.0, 289.0, 36.0], f_poMgrScq, 5654377]
[paragraph, [191.0, 404.0, 289.0, 36.0], f_poMgrScq, 5654377]
[paragraph, [191.0, 440.0, 289.0, 36.0], f_poMgrScq, 5654377]
[paragraph, [191.0, 476.0, 289.0, 36.0], f_poMgrScq, 5654377]
[section-title, [93.0, 602.0, 459.0, 49.5], flxrFaVAGz, 5654377]
[paragraph, [209.0, 678.0, 368.0, 36.0], 0SBCheIu-J, 5654377]
[paragraph, [209.0, 714.0, 368.0, 36.0], 0SBCheIu-J, 5654377]
[paragraph, [209.0, 750.0, 368.0, 36.0], 0SBCheIu-J, 5654377]
[paragraph, [209.0, 786.0, 368.0, 36.0], 0SBCheIu-J, 5654377]
[paragraph, [209.0, 822.0, 368.0, 36.0], 0SBCheIu-J, 5654377]
[paragraph, [209.0, 858.0, 368.0, 36.0], 0SBCheIu-J, 5654377]
[paragraph, [209.0, 894.0, 368.0, 36.0], 0SBCheIu-J, 5654377]
[paragraph, [209.0, 930.0, 368.0, 36.0], 0SBCheIu-J, 5654377]
[paragraph, [209.0, 966.0, 368.0, 36.0], 0SBCheIu-J, 5654377]
[paragraph, [209.0, 1002.0, 368.0, 36.0], 0SBCheIu-J, 5654377]
[paragraph, [209.0, 1038.0, 368.0, 36.0], 0SBCheIu-J, 5654377]
[paragraph, [209.0, 1074.0, 368.0, 36.0], 0SBCheIu-J, 5654377]
[paragraph, [209.0, 1110.0, 368.0, 36.0], 0SBCheIu-J, 5654377]
[paragraph, [209.0, 1146.0, 368.0, 36.0], 0SBCheIu-J, 5654377]
[paragraph, [209.0, 1182.0, 368.0, 36.0], 0SBCheIu-J, 5654377]
[paragraph, [209.0, 1218.0, 368.0, 36.0], 0SBCheIu-J, 5654377]
[paragraph, [209.0, 1254.0, 368.0, 36.0], 0SBCheIu-J, 5654377]
[paragraph, [209.0, 1290.0, 368.0, 36.0], 0SBCheIu-J, 5654377]
[paragraph, [209.0, 1326.0, 368.0, 36.0], 0SBCheIu-J, 5654377]
[paragraph, [209.0, 1362.0, 368.0, 36.0], 0SBCheIu-J, 5654377]
[paragraph, [209.0, 1398.0, 368.0, 36.0], 0SBCheIu-J, 5654377]
[paragraph, [209.0, 1434.0, 368.0, 36.0], 0SBCheIu-J, 5654377]
