[1200, 825]
[paragraph, [143.0, 106.0, 539.0, 18.0], shoonya_0s0QSQATPLPIJ9, 5691265]
[paragraph, [143.0, 124.0, 539.0, 18.0], shoonya_0s0QSQATPLPIJ9, 5691265]
[paragraph, [143.0, 142.0, 539.0, 18.0], shoonya_0s0QSQATPLPIJ9, 5691265]
[paragraph, [143.0, 160.0, 539.0, 18.0], shoonya_0s0QSQATPLPIJ9, 5691265]
[paragraph, [143.0, 178.0, 539.0, 18.0], shoonya_0s0QSQATPLPIJ9, 5691265]
[paragraph, [143.0, 196.0, 539.0, 18.0], shoonya_0s0QSQATPLPIJ9, 5691265]
[paragraph, [143.0, 214.0, 539.0, 18.0], shoonya_0s0QSQATPLPIJ9, 5691265]
[paragraph, [143.0, 232.0, 539.0, 18.0], shoonya_0s0QSQATPLPIJ9, 5691265]
[paragraph, [143.0, 250.0, 539.0, 18.0], shoonya_0s0QSQATPLPIJ9, 5691265]
[paragraph, [143.0, 268.0, 539.0, 18.0], shoonya_0s0QSQATPLPIJ9, 5691265]
[paragraph, [143.0, 286.0, 539.0, 18.0], shoonya_0s0QSQATPLPIJ9, 5691265]
[paragraph, [143.0, 304.0, 539.0, 18.0], shoonya_0s0QSQATPLPIJ9, 5691265]
[paragraph, [139.0, 322.0, 544.0, 18.0], shoonya_2sNTAXKAMSN0N3, 5691265]
[paragraph, [139.0, 340.0, 544.0, 18.0], shoonya_2sNTAXKAMSN0N3, 5691265]
[paragraph, [139.0, 358.0, 544.0, 18.0], shoonya_2sNTAXKAMSN0N3, 5691265]
[paragraph, [139.0, 376.0, 544.0, 18.0], shoonya_2sNTAXKAMSN0N3, 5691265]
[paragraph, [139.0, 394.0, 544.0, 18.0], shoonya_2sNTAXKAMSN0N3, 5691265]
[paragraph, [139.0, 412.0, 544.0, 18.0], shoonya_2sNTAXKAMSN0N3, 5691265]
[paragraph, [139.0, 430.0, 544.0, 18.0], shoonya_2sNTAXKAMSN0N3, 5691265]
[paragraph, [139.0, 448.0, 544.0, 18.0], shoonya_2sNTAXKAMSN0N3, 5691265]
[paragraph, [139.0, 466.0, 544.0, 18.0], shoonya_2sNTAXKAMSN0N3, 5691265]
[paragraph, [139.0, 484.0, 544.0, 18.0], shoonya_2sNTAXKAMSN0N3, 5691265]
[paragraph, [139.0, 502.0, 544.0, 18.0], shoonya_2sNTAXKAMSN0N3, 5691265]
[paragraph, [139.0, 520.0, 544.0, 18.0], shoonya_2sNTAXKAMSN0N3, 5691265]
[paragraph, [139.0, 538.0, 544.0, 18.0], shoonya_2sNTAXKAMSN0N3, 5691265]
[paragraph, [139.0, 556.0, 544.0, 18.0], shoonya_2sNTAXKAMSN0N3, 5691265]
[paragraph, [139.0, 574.0, 544.0, 18.0], shoonya_2sNTAXKAMSN0N3, 5691265]
[paragraph, [140.0, 600.0, 541.0, 18.0], shoonya_1sKUWR7FO0LO6H, 5691265]
[paragraph, [140.0, 618.0, 541.0, 18.0], shoonya_1sKUWR7FO0LO6H, 5691265]
[paragraph, [140.0, 636.0, 541.0, 18.0], shoonya_1sKUWR7FO0LO6H, 5691265]
[paragraph, [140.0, 654.0, 541.0, 18.0], shoonya_1sKUWR7FO0LO6H, 5691265]
[paragraph, [140.0, 672.0, 541.0, 18.0], shoonya_1sKUWR7FO0LO6H, 5691265]
[paragraph, [140.0, 690.0, 541.0, 18.0], shoonya_1sKUWR7FO0LO6H, 5691265]
[paragraph, [140.0, 708.0, 541.0, 18.0], shoonya_1sKUWR7FO0LO6H, 5691265]
[paragraph, [140.0, 726.0, 541.0, 18.0], shoonya_1sKUWR7FO0LO6H, 5691265]
[paragraph, [140.0, 744.0, 541.0, 18.0], shoonya_1sKUWR7FO0LO6H, 5691265]
[paragraph, [140.0, 762.0, 541.0, 18.0], shoonya_1sKUWR7FO0LO6H, 5691265]
[paragraph, [140.0, 780.0, 541.0, 18.0], shoonya_1sKUWR7FO0LO6H, 5691265]
[paragraph, [140.0, 798.0, 541.0, 18.0], shoonya_1sKUWR7FO0LO6H, 5691265]
[paragraph, [140.0, 816.0, 541.0, 18.0], shoonya_1sKUWR7FO0LO6H, 5691265]
[paragraph, [140.0, 834.0, 541.0, 18.0], shoonya_1sKUWR7FO0LO6H, 5691265]
[paragraph, [140.0, 852.0, 541.0, 18.0], shoonya_1sKUWR7FO0LO6H, 5691265]
[paragraph, [140.0, 870.0, 541.0, 18.0], shoonya_1sKUWR7FO0LO6H, 5691265]
[paragraph, [140.0, 888.0, 541.0, 18.0], shoonya_1sKUWR7FO0LO6H, 5691265]
[paragraph, [140.0, 906.0, 541.0, 18.0], shoonya_1sKUWR7FO0LO6H, 5691265]
