[3508, 2481]
[contact-info, [681.0, 109.0, 1121.0, 52.5], shoonya_6sFMUXNGM3L51K, 6516441]
[contact-info, [681.0, 161.5, 1121.0, 52.5], shoonya_6sFMUXNGM3L51K, 6516441]
[contact-info, [799.0, 477.0, 880.0, 52.5], shoonya_8sDZH5OIF0WS50, 6516441]
[contact-info, [1464.0, 718.0, 792.0, 52.5], DkUgQxQ0P6, 6516441]
[contact-info, [1464.0, 770.5, 792.0, 52.5], DkUgQxQ0P6, 6516441]
[contact-info, [1464.0, 823.0, 792.0, 52.5], DkUgQxQ0P6, 6516441]
[section-title, [1023.0, 939.0, 419.0, 93.0], shoonya_9sVYYVODQ6NMX7, 6516441]
[folio, [225.0, 1176.0, 1189.0, 52.5], shoonya_7sX8NHH4LB35MS, 6516441]
[placeholder-text, [226.0, 1423.0, 240.0, 18.0], shoonya_3sNZYMQ4M9L4EA, 6516441]
[placeholder-text, [226.0, 1441.0, 240.0, 18.0], shoonya_3sNZYMQ4M9L4EA, 6516441]
[placeholder-text, [226.0, 1459.0, 240.0, 18.0], shoonya_3sNZYMQ4M9L4EA, 6516441]
[placeholder-text, [226.0, 1477.0, 240.0, 18.0], shoonya_3sNZYMQ4M9L4EA, 6516441]
[paragraph, [228.0, 1691.0, 249.0, 52.5], shoonya_4sZ9WCSC7FQXQI, 6516441]
[paragraph, [224.0, 1809.0, 2032.0, 52.5], shoonya_2sPU7MCYYF71YE, 6516441]
[paragraph, [224.0, 1861.5, 2032.0, 52.5], shoonya_2sPU7MCYYF71YE, 6516441]
[paragraph, [224.0, 1914.0, 2032.0, 52.5], shoonya_2sPU7MCYYF71YE, 6516441]
[paragraph, [224.0, 1966.5, 2032.0, 52.5], shoonya_2sPU7MCYYF71YE, 6516441]
[paragraph, [224.0, 2019.0, 2032.0, 52.5], shoonya_2sPU7MCYYF71YE, 6516441]
[paragraph, [233.0, 2407.0, 2039.0, 52.5], RgILTFy2Yk, 6516441]
[paragraph, [233.0, 2459.5, 2039.0, 52.5], RgILTFy2Yk, 6516441]
[paragraph, [233.0, 2512.0, 2039.0, 52.5], RgILTFy2Yk, 6516441]
[figure-caption, [1856.0, 2912.0, 397.0, 52.5], NkVtC2l789, 6516441]
[figure-caption, [1856.0, 2964.5, 397.0, 52.5], NkVtC2l789, 6516441]
[contact-info, [1784.0, 3283.0, 472.0, 52.5], shoonya_1sON4RVN3GBWJX, 6516441]
