[2338, 1654]
[paragraph, [387.0, 188.0, 482.0, 36.0], shoonya_3s5FG3LFRU2KIF, 5753786]
[paragraph, [387.0, 224.0, 482.0, 36.0], shoonya_3s5FG3LFRU2KIF, 5753786]
[paragraph, [387.0, 260.0, 482.0, 36.0], shoonya_3s5FG3LFRU2KIF, 5753786]
[paragraph, [387.0, 296.0, 482.0, 36.0], shoonya_3s5FG3LFRU2KIF, 5753786]
[paragraph, [387.0, 332.0, 482.0, 36.0], shoonya_3s5FG3LFRU2KIF, 5753786]
[paragraph, [387.0, 368.0, 482.0, 36.0], shoonya_3s5FG3LFRU2KIF, 5753786]
[paragraph, [387.0, 404.0, 482.0, 36.0], shoonya_3s5FG3LFRU2KIF, 5753786]
[paragraph, [387.0, 440.0, 482.0, 36.0], shoonya_3s5FG3LFRU2KIF, 5753786]
[paragraph, [387.0, 476.0, 482.0, 36.0], shoonya_3s5FG3LFRU2KIF, 5753786]
[paragraph, [387.0, 512.0, 482.0, 36.0], shoonya_3s5FG3LFRU2KIF, 5753786]
[paragraph, [387.0, 548.0, 482.0, 36.0], shoonya_3s5FG3LFRU2KIF, 5753786]
[paragraph, [387.0, 584.0, 482.0, 36.0], shoonya_3s5FG3LFRU2KIF, 5753786]
[paragraph, [387.0, 620.0, 482.0, 36.0], shoonya_3s5FG3LFRU2KIF, 5753786]
[paragraph, [387.0, 656.0, 482.0, 36.0], shoonya_3s5FG3LFRU2KIF, 5753786]
[paragraph, [387.0, 692.0, 482.0, 36.0], shoonya_3s5FG3LFRU2KIF, 5753786]
[paragraph, [387.0, 728.0, 482.0, 36.0], shoonya_3s5FG3LFRU2KIF, 5753786]
[paragraph, [387.0, 764.0, 482.0, 36.0], shoonya_3s5FG3LFRU2KIF, 5753786]
[author, [974.0, 791.0, 464.0, 36.0], olPWtqsU0V, 5753786]
[paragraph, [185.0, 851.0, 1280.0, 36.0], shoonya_0sWYIIT1YEC8IY, 5753786]
[paragraph, [185.0, 887.0, 1280.0, 36.0], shoonya_0sWYIIT1YEC8IY, 5753786]
[paragraph, [185.0, 923.0, 1280.0, 36.0], shoonya_0sWYIIT1YEC8IY, 5753786]
[paragraph, [185.0, 959.0, 1280.0, 36.0], shoonya_0sWYIIT1YEC8IY, 5753786]
[paragraph, [185.0, 995.0, 1280.0, 36.0], shoonya_0sWYIIT1YEC8IY, 5753786]
[paragraph, [185.0, 1031.0, 1280.0, 36.0], shoonya_0sWYIIT1YEC8IY, 5753786]
[paragraph, [185.0, 1067.0, 1280.0, 36.0], shoonya_0sWYIIT1YEC8IY, 5753786]
[paragraph, [185.0, 1103.0, 1280.0, 36.0], shoonya_0sWYIIT1YEC8IY, 5753786]
[paragraph, [185.0, 1139.0, 1280.0, 36.0], shoonya_0sWYIIT1YEC8IY, 5753786]
[paragraph, [185.0, 1175.0, 1280.0, 36.0], shoonya_0sWYIIT1YEC8IY, 5753786]
[paragraph, [185.0, 1211.0, 1280.0, 36.0], shoonya_0sWYIIT1YEC8IY, 5753786]
[paragraph, [185.0, 1247.0, 1280.0, 36.0], shoonya_0sWYIIT1YEC8IY, 5753786]
[paragraph, [185.0, 1283.0, 1280.0, 36.0], shoonya_0sWYIIT1YEC8IY, 5753786]
[paragraph, [185.0, 1319.0, 1280.0, 36.0], shoonya_0sWYIIT1YEC8IY, 5753786]
[paragraph, [185.0, 1355.0, 1280.0, 36.0], shoonya_0sWYIIT1YEC8IY, 5753786]
[paragraph, [185.0, 1391.0, 1280.0, 36.0], shoonya_0sWYIIT1YEC8IY, 5753786]
[paragraph, [185.0, 1427.0, 1280.0, 36.0], shoonya_0sWYIIT1YEC8IY, 5753786]
[paragraph, [185.0, 1463.0, 1280.0, 36.0], shoonya_0sWYIIT1YEC8IY, 5753786]
[paragraph, [185.0, 1499.0, 1280.0, 36.0], shoonya_0sWYIIT1YEC8IY, 5753786]
[paragraph, [185.0, 1535.0, 1280.0, 36.0], shoonya_0sWYIIT1YEC8IY, 5753786]
[paragraph, [185.0, 1571.0, 1280.0, 36.0], shoonya_0sWYIIT1YEC8IY, 5753786]
[paragraph, [185.0, 1607.0, 1280.0, 36.0], shoonya_0sWYIIT1YEC8IY, 5753786]
[paragraph, [185.0, 1643.0, 1280.0, 36.0], shoonya_0sWYIIT1YEC8IY, 5753786]
[paragraph, [185.0, 1679.0, 1280.0, 36.0], shoonya_0sWYIIT1YEC8IY, 5753786]
[paragraph, [185.0, 1715.0, 1280.0, 36.0], shoonya_0sWYIIT1YEC8IY, 5753786]
[paragraph, [185.0, 1751.0, 1280.0, 36.0], shoonya_0sWYIIT1YEC8IY, 5753786]
[paragraph, [185.0, 1787.0, 1280.0, 36.0], shoonya_0sWYIIT1YEC8IY, 5753786]
[paragraph, [185.0, 1823.0, 1280.0, 36.0], shoonya_0sWYIIT1YEC8IY, 5753786]
[paragraph, [185.0, 1859.0, 1280.0, 36.0], shoonya_0sWYIIT1YEC8IY, 5753786]
[paragraph, [185.0, 1895.0, 1280.0, 36.0], shoonya_0sWYIIT1YEC8IY, 5753786]
[paragraph, [391.0, 1966.0, 589.0, 36.0], shoonya_2sICMQLVUT87J7, 5753786]
[paragraph, [391.0, 2002.0, 589.0, 36.0], shoonya_2sICMQLVUT87J7, 5753786]
[paragraph, [391.0, 2038.0, 589.0, 36.0], shoonya_2sICMQLVUT87J7, 5753786]
