[842, 595]
[folio, [17.0, 54.0, 59.0, 18.0], ZPV-ft9Qrt, 5742629]
[folio, [17.0, 72.0, 59.0, 18.0], ZPV-ft9Qrt, 5742629]
[folio, [17.0, 90.0, 59.0, 18.0], ZPV-ft9Qrt, 5742629]
[paragraph, [217.0, 91.0, 146.0, 18.0], x4GX6fH7lI, 5742629]
[paragraph, [217.0, 109.0, 146.0, 18.0], x4GX6fH7lI, 5742629]
[paragraph, [217.0, 127.0, 146.0, 18.0], x4GX6fH7lI, 5742629]
[author, [102.0, 122.0, 108.0, 18.0], shoonya_3s5VMC3NVIV6X6, 5742629]
[paragraph, [52.0, 156.0, 156.0, 18.0], hLxsNMhZlR, 5742629]
[paragraph, [52.0, 174.0, 156.0, 18.0], hLxsNMhZlR, 5742629]
[paragraph, [52.0, 192.0, 156.0, 18.0], hLxsNMhZlR, 5742629]
[paragraph, [52.0, 210.0, 156.0, 18.0], hLxsNMhZlR, 5742629]
[paragraph, [52.0, 228.0, 156.0, 18.0], hLxsNMhZlR, 5742629]
[paragraph, [52.0, 246.0, 156.0, 18.0], hLxsNMhZlR, 5742629]
[paragraph, [52.0, 264.0, 156.0, 18.0], hLxsNMhZlR, 5742629]
[paragraph, [216.0, 157.0, 145.0, 18.0], y-UcShOnfT, 5742629]
[paragraph, [216.0, 175.0, 145.0, 18.0], y-UcShOnfT, 5742629]
[paragraph, [216.0, 193.0, 145.0, 18.0], y-UcShOnfT, 5742629]
[paragraph, [216.0, 211.0, 145.0, 18.0], y-UcShOnfT, 5742629]
[paragraph, [216.0, 229.0, 145.0, 18.0], y-UcShOnfT, 5742629]
[paragraph, [216.0, 247.0, 145.0, 18.0], y-UcShOnfT, 5742629]
[paragraph, [216.0, 265.0, 145.0, 18.0], y-UcShOnfT, 5742629]
[paragraph, [216.0, 283.0, 145.0, 18.0], y-UcShOnfT, 5742629]
[paragraph, [216.0, 301.0, 145.0, 18.0], y-UcShOnfT, 5742629]
[paragraph, [216.0, 319.0, 145.0, 18.0], y-UcShOnfT, 5742629]
[paragraph, [54.0, 302.0, 157.0, 18.0], eYiUzUUENl, 5742629]
[paragraph, [54.0, 320.0, 157.0, 18.0], eYiUzUUENl, 5742629]
[paragraph, [54.0, 338.0, 157.0, 18.0], eYiUzUUENl, 5742629]
[paragraph, [54.0, 356.0, 157.0, 18.0], eYiUzUUENl, 5742629]
[paragraph, [54.0, 374.0, 157.0, 18.0], eYiUzUUENl, 5742629]
[paragraph, [54.0, 392.0, 157.0, 18.0], eYiUzUUENl, 5742629]
[paragraph, [54.0, 410.0, 157.0, 18.0], eYiUzUUENl, 5742629]
[paragraph, [219.0, 343.0, 143.0, 18.0], _Oh8dHM3Ju, 5742629]
[paragraph, [219.0, 384.0, 156.0, 18.0], JAZi5Tmgkk, 5742629]
[paragraph, [219.0, 402.0, 156.0, 18.0], JAZi5Tmgkk, 5742629]
[paragraph, [219.0, 420.0, 156.0, 18.0], JAZi5Tmgkk, 5742629]
[paragraph, [219.0, 438.0, 156.0, 18.0], JAZi5Tmgkk, 5742629]
[paragraph, [219.0, 456.0, 156.0, 18.0], JAZi5Tmgkk, 5742629]
[paragraph, [381.0, 435.0, 169.0, 18.0], cmpEPC2dwV, 5742629]
[paragraph, [381.0, 453.0, 169.0, 18.0], cmpEPC2dwV, 5742629]
[paragraph, [381.0, 471.0, 169.0, 18.0], cmpEPC2dwV, 5742629]
[paragraph, [381.0, 489.0, 169.0, 18.0], cmpEPC2dwV, 5742629]
[paragraph, [52.0, 449.0, 147.0, 18.0], 0_DBSosA0q, 5742629]
[paragraph, [52.0, 467.0, 147.0, 18.0], 0_DBSosA0q, 5742629]
[paragraph, [52.0, 485.0, 147.0, 18.0], 0_DBSosA0q, 5742629]
[paragraph, [52.0, 503.0, 147.0, 18.0], 0_DBSosA0q, 5742629]
[paragraph, [52.0, 521.0, 147.0, 18.0], 0_DBSosA0q, 5742629]
[paragraph, [219.0, 489.0, 138.0, 18.0], BEv62pee2J, 5742629]
[paragraph, [219.0, 507.0, 138.0, 18.0], BEv62pee2J, 5742629]
[paragraph, [219.0, 525.0, 138.0, 18.0], BEv62pee2J, 5742629]
[contact-info, [447.0, 537.0, 93.0, 18.0], aEYd3W9b4Q, 5742629]
[paragraph, [216.0, 600.0, 326.0, 18.0], shoonya_6sDCD6PQFJIVGU, 5742629]
[paragraph, [216.0, 618.0, 326.0, 18.0], shoonya_6sDCD6PQFJIVGU, 5742629]
[paragraph, [216.0, 636.0, 326.0, 18.0], shoonya_6sDCD6PQFJIVGU, 5742629]
[paragraph, [216.0, 654.0, 326.0, 18.0], shoonya_6sDCD6PQFJIVGU, 5742629]
[paragraph, [216.0, 672.0, 326.0, 18.0], shoonya_6sDCD6PQFJIVGU, 5742629]
[paragraph, [216.0, 690.0, 326.0, 18.0], shoonya_6sDCD6PQFJIVGU, 5742629]
[paragraph, [216.0, 708.0, 326.0, 18.0], shoonya_6sDCD6PQFJIVGU, 5742629]
[paragraph, [216.0, 726.0, 326.0, 18.0], shoonya_6sDCD6PQFJIVGU, 5742629]
[author, [444.0, 754.0, 99.0, 18.0], wW0VsV33RZ, 5742629]
