[1250, 917]
[paragraph, [83.0, 95.0, 626.0, 18.0], shoonya_0sRT3LJO7S4HS8, 5776477]
[paragraph, [83.0, 113.0, 626.0, 18.0], shoonya_0sRT3LJO7S4HS8, 5776477]
[paragraph, [83.0, 131.0, 626.0, 18.0], shoonya_0sRT3LJO7S4HS8, 5776477]
[paragraph, [83.0, 149.0, 626.0, 18.0], shoonya_0sRT3LJO7S4HS8, 5776477]
[paragraph, [83.0, 167.0, 626.0, 18.0], shoonya_0sRT3LJO7S4HS8, 5776477]
[paragraph, [83.0, 185.0, 626.0, 18.0], shoonya_0sRT3LJO7S4HS8, 5776477]
[paragraph, [83.0, 203.0, 626.0, 18.0], shoonya_0sRT3LJO7S4HS8, 5776477]
[paragraph, [83.0, 221.0, 626.0, 18.0], shoonya_0sRT3LJO7S4HS8, 5776477]
[paragraph, [83.0, 239.0, 626.0, 18.0], shoonya_0sRT3LJO7S4HS8, 5776477]
[paragraph, [83.0, 257.0, 626.0, 18.0], shoonya_0sRT3LJO7S4HS8, 5776477]
[paragraph, [83.0, 275.0, 626.0, 18.0], shoonya_0sRT3LJO7S4HS8, 5776477]
[paragraph, [83.0, 293.0, 626.0, 18.0], shoonya_0sRT3LJO7S4HS8, 5776477]
[paragraph, [83.0, 311.0, 626.0, 18.0], shoonya_0sRT3LJO7S4HS8, 5776477]
[paragraph, [83.0, 329.0, 626.0, 18.0], shoonya_0sRT3LJO7S4HS8, 5776477]
[paragraph, [83.0, 347.0, 626.0, 18.0], shoonya_0sRT3LJO7S4HS8, 5776477]
[paragraph, [86.0, 372.0, 624.0, 18.0], shoonya_1sRXTGRH90H8SP, 5776477]
[paragraph, [86.0, 390.0, 624.0, 18.0], shoonya_1sRXTGRH90H8SP, 5776477]
[paragraph, [86.0, 408.0, 624.0, 18.0], shoonya_1sRXTGRH90H8SP, 5776477]
[paragraph, [86.0, 426.0, 624.0, 18.0], shoonya_1sRXTGRH90H8SP, 5776477]
[paragraph, [86.0, 444.0, 624.0, 18.0], shoonya_1sRXTGRH90H8SP, 5776477]
[paragraph, [86.0, 462.0, 624.0, 18.0], shoonya_1sRXTGRH90H8SP, 5776477]
[paragraph, [86.0, 480.0, 624.0, 18.0], shoonya_1sRXTGRH90H8SP, 5776477]
[paragraph, [86.0, 498.0, 624.0, 18.0], shoonya_1sRXTGRH90H8SP, 5776477]
[paragraph, [86.0, 516.0, 624.0, 18.0], shoonya_1sRXTGRH90H8SP, 5776477]
[paragraph, [86.0, 534.0, 624.0, 18.0], shoonya_1sRXTGRH90H8SP, 5776477]
[paragraph, [86.0, 552.0, 624.0, 18.0], shoonya_1sRXTGRH90H8SP, 5776477]
[paragraph, [88.0, 570.0, 625.0, 18.0], shoonya_2s00S43O2X0B2B, 5776477]
[paragraph, [88.0, 588.0, 625.0, 18.0], shoonya_2s00S43O2X0B2B, 5776477]
[paragraph, [88.0, 606.0, 625.0, 18.0], shoonya_2s00S43O2X0B2B, 5776477]
[paragraph, [88.0, 624.0, 625.0, 18.0], shoonya_2s00S43O2X0B2B, 5776477]
[paragraph, [88.0, 642.0, 625.0, 18.0], shoonya_2s00S43O2X0B2B, 5776477]
[paragraph, [88.0, 660.0, 625.0, 18.0], shoonya_2s00S43O2X0B2B, 5776477]
[paragraph, [88.0, 678.0, 625.0, 18.0], shoonya_2s00S43O2X0B2B, 5776477]
[paragraph, [88.0, 696.0, 625.0, 18.0], shoonya_2s00S43O2X0B2B, 5776477]
[paragraph, [88.0, 714.0, 625.0, 18.0], shoonya_2s00S43O2X0B2B, 5776477]
[paragraph, [88.0, 732.0, 625.0, 18.0], shoonya_2s00S43O2X0B2B, 5776477]
[paragraph, [88.0, 750.0, 625.0, 18.0], shoonya_2s00S43O2X0B2B, 5776477]
[paragraph, [88.0, 768.0, 625.0, 18.0], shoonya_2s00S43O2X0B2B, 5776477]
[paragraph, [91.0, 795.0, 624.0, 18.0], shoonya_3sBZEES54C78HH, 5776477]
[paragraph, [91.0, 813.0, 624.0, 18.0], shoonya_3sBZEES54C78HH, 5776477]
[paragraph, [91.0, 831.0, 624.0, 18.0], shoonya_3sBZEES54C78HH, 5776477]
[paragraph, [91.0, 849.0, 624.0, 18.0], shoonya_3sBZEES54C78HH, 5776477]
[paragraph, [91.0, 869.0, 624.0, 18.0], shoonya_4sX3XPXTVYPOXV, 5776477]
[paragraph, [91.0, 887.0, 624.0, 18.0], shoonya_4sX3XPXTVYPOXV, 5776477]
[paragraph, [91.0, 905.0, 624.0, 18.0], shoonya_4sX3XPXTVYPOXV, 5776477]
[paragraph, [91.0, 923.0, 624.0, 18.0], shoonya_4sX3XPXTVYPOXV, 5776477]
[paragraph, [91.0, 941.0, 624.0, 18.0], shoonya_4sX3XPXTVYPOXV, 5776477]
[paragraph, [92.0, 967.0, 625.0, 18.0], shoonya_5sKK4SGYGXOYWE, 5776477]
[paragraph, [92.0, 985.0, 625.0, 18.0], shoonya_5sKK4SGYGXOYWE, 5776477]
[paragraph, [92.0, 1003.0, 625.0, 18.0], shoonya_5sKK4SGYGXOYWE, 5776477]
[paragraph, [92.0, 1021.0, 625.0, 18.0], shoonya_5sKK4SGYGXOYWE, 5776477]
[paragraph, [92.0, 1039.0, 625.0, 18.0], shoonya_5sKK4SGYGXOYWE, 5776477]
[paragraph, [101.0, 1068.0, 614.0, 18.0], shoonya_7sVNK09R7G3Y4V, 5776477]
