[720, 504]
[folio, [47.0, 72.0, 238.0, 18.0], rNDQZGeKNn, 5652381]
[paragraph, [258.0, 104.0, 198.0, 18.0], shoonya_7sDJXB8J4EO682, 5652381]
[paragraph, [258.0, 122.0, 198.0, 18.0], shoonya_7sDJXB8J4EO682, 5652381]
[paragraph, [258.0, 140.0, 198.0, 18.0], shoonya_7sDJXB8J4EO682, 5652381]
[paragraph, [258.0, 158.0, 198.0, 18.0], shoonya_7sDJXB8J4EO682, 5652381]
[paragraph, [47.0, 105.0, 196.0, 18.0], shoonya_2sD66V76PAHAQX, 5652381]
[paragraph, [47.0, 123.0, 196.0, 18.0], shoonya_2sD66V76PAHAQX, 5652381]
[paragraph, [47.0, 141.0, 196.0, 18.0], shoonya_2sD66V76PAHAQX, 5652381]
[paragraph, [47.0, 159.0, 196.0, 18.0], shoonya_2sD66V76PAHAQX, 5652381]
[paragraph, [47.0, 177.0, 196.0, 18.0], shoonya_2sD66V76PAHAQX, 5652381]
[paragraph, [47.0, 195.0, 196.0, 18.0], shoonya_2sD66V76PAHAQX, 5652381]
[paragraph, [48.0, 224.0, 197.0, 18.0], shoonya_1sBE7QRMWC25QQ, 5652381]
[paragraph, [48.0, 242.0, 197.0, 18.0], shoonya_1sBE7QRMWC25QQ, 5652381]
[paragraph, [48.0, 260.0, 197.0, 18.0], shoonya_1sBE7QRMWC25QQ, 5652381]
[paragraph, [48.0, 278.0, 197.0, 18.0], shoonya_1sBE7QRMWC25QQ, 5652381]
[paragraph, [48.0, 296.0, 197.0, 18.0], shoonya_1sBE7QRMWC25QQ, 5652381]
[paragraph, [48.0, 314.0, 197.0, 18.0], shoonya_1sBE7QRMWC25QQ, 5652381]
[paragraph, [48.0, 332.0, 197.0, 18.0], shoonya_1sBE7QRMWC25QQ, 5652381]
[paragraph, [48.0, 350.0, 197.0, 18.0], shoonya_1sBE7QRMWC25QQ, 5652381]
[paragraph, [258.0, 225.0, 198.0, 18.0], shoonya_4sOFTSRGK4A2E1, 5652381]
[paragraph, [258.0, 243.0, 198.0, 18.0], shoonya_4sOFTSRGK4A2E1, 5652381]
[paragraph, [258.0, 261.0, 198.0, 18.0], shoonya_4sOFTSRGK4A2E1, 5652381]
[paragraph, [258.0, 279.0, 198.0, 18.0], shoonya_4sOFTSRGK4A2E1, 5652381]
[paragraph, [258.0, 297.0, 198.0, 18.0], shoonya_4sOFTSRGK4A2E1, 5652381]
[paragraph, [258.0, 315.0, 198.0, 18.0], shoonya_4sOFTSRGK4A2E1, 5652381]
[paragraph, [258.0, 333.0, 198.0, 18.0], shoonya_4sOFTSRGK4A2E1, 5652381]
[paragraph, [258.0, 351.0, 198.0, 18.0], shoonya_4sOFTSRGK4A2E1, 5652381]
[paragraph, [258.0, 369.0, 198.0, 18.0], shoonya_4sOFTSRGK4A2E1, 5652381]
[paragraph, [258.0, 387.0, 198.0, 18.0], shoonya_4sOFTSRGK4A2E1, 5652381]
[paragraph, [48.0, 372.0, 199.0, 18.0], shoonya_0s50NPNCAS0570, 5652381]
[paragraph, [48.0, 390.0, 199.0, 18.0], shoonya_0s50NPNCAS0570, 5652381]
[paragraph, [48.0, 408.0, 199.0, 18.0], shoonya_0s50NPNCAS0570, 5652381]
[paragraph, [48.0, 426.0, 199.0, 18.0], shoonya_0s50NPNCAS0570, 5652381]
[paragraph, [48.0, 444.0, 199.0, 18.0], shoonya_0s50NPNCAS0570, 5652381]
[paragraph, [48.0, 462.0, 199.0, 18.0], shoonya_0s50NPNCAS0570, 5652381]
[paragraph, [48.0, 480.0, 199.0, 18.0], shoonya_0s50NPNCAS0570, 5652381]
[paragraph, [48.0, 498.0, 199.0, 18.0], shoonya_0s50NPNCAS0570, 5652381]
[paragraph, [48.0, 516.0, 199.0, 18.0], shoonya_0s50NPNCAS0570, 5652381]
[paragraph, [48.0, 534.0, 199.0, 18.0], shoonya_0s50NPNCAS0570, 5652381]
[paragraph, [48.0, 552.0, 199.0, 18.0], shoonya_0s50NPNCAS0570, 5652381]
[paragraph, [48.0, 570.0, 199.0, 18.0], shoonya_0s50NPNCAS0570, 5652381]
[paragraph, [48.0, 588.0, 199.0, 18.0], shoonya_0s50NPNCAS0570, 5652381]
[paragraph, [48.0, 606.0, 199.0, 18.0], shoonya_0s50NPNCAS0570, 5652381]
[paragraph, [257.0, 407.0, 198.0, 18.0], shoonya_3sNEG6Y76I9MJF, 5652381]
[paragraph, [257.0, 425.0, 198.0, 18.0], shoonya_3sNEG6Y76I9MJF, 5652381]
[paragraph, [257.0, 443.0, 198.0, 18.0], shoonya_3sNEG6Y76I9MJF, 5652381]
[paragraph, [257.0, 461.0, 198.0, 18.0], shoonya_3sNEG6Y76I9MJF, 5652381]
[paragraph, [257.0, 479.0, 198.0, 18.0], shoonya_3sNEG6Y76I9MJF, 5652381]
