[1755, 1240]
[paragraph, [176.0, 192.0, 884.0, 36.0], shoonya_0s3B453DRDB3SR, 5703752]
[paragraph, [176.0, 228.0, 884.0, 36.0], shoonya_0s3B453DRDB3SR, 5703752]
[paragraph, [176.0, 264.0, 884.0, 36.0], shoonya_0s3B453DRDB3SR, 5703752]
[paragraph, [176.0, 300.0, 884.0, 36.0], shoonya_0s3B453DRDB3SR, 5703752]
[paragraph, [176.0, 336.0, 884.0, 36.0], shoonya_0s3B453DRDB3SR, 5703752]
[paragraph, [176.0, 372.0, 884.0, 36.0], shoonya_0s3B453DRDB3SR, 5703752]
[paragraph, [176.0, 408.0, 884.0, 36.0], shoonya_0s3B453DRDB3SR, 5703752]
[paragraph, [176.0, 444.0, 884.0, 36.0], shoonya_0s3B453DRDB3SR, 5703752]
[paragraph, [176.0, 480.0, 884.0, 36.0], shoonya_0s3B453DRDB3SR, 5703752]
[paragraph, [176.0, 516.0, 884.0, 36.0], shoonya_0s3B453DRDB3SR, 5703752]
[paragraph, [176.0, 552.0, 884.0, 36.0], shoonya_0s3B453DRDB3SR, 5703752]
[paragraph, [176.0, 588.0, 884.0, 36.0], shoonya_0s3B453DRDB3SR, 5703752]
[paragraph, [176.0, 624.0, 884.0, 36.0], shoonya_0s3B453DRDB3SR, 5703752]
[paragraph, [176.0, 660.0, 884.0, 36.0], shoonya_0s3B453DRDB3SR, 5703752]
[paragraph, [176.0, 696.0, 884.0, 36.0], shoonya_0s3B453DRDB3SR, 5703752]
[paragraph, [176.0, 732.0, 884.0, 36.0], shoonya_0s3B453DRDB3SR, 5703752]
[paragraph, [168.0, 824.0, 890.0, 36.0], IAgFVYyAtH, 5703752]
[paragraph, [168.0, 860.0, 890.0, 36.0], IAgFVYyAtH, 5703752]
[paragraph, [168.0, 896.0, 890.0, 36.0], IAgFVYyAtH, 5703752]
[paragraph, [168.0, 932.0, 890.0, 36.0], IAgFVYyAtH, 5703752]
[paragraph, [165.0, 995.0, 896.0, 36.0], 8ZajVt2TLY, 5703752]
[paragraph, [165.0, 1031.0, 896.0, 36.0], 8ZajVt2TLY, 5703752]
[paragraph, [165.0, 1067.0, 896.0, 36.0], 8ZajVt2TLY, 5703752]
[paragraph, [165.0, 1103.0, 896.0, 36.0], 8ZajVt2TLY, 5703752]
[paragraph, [168.0, 1183.0, 893.0, 36.0], zYu1DpMEv5, 5703752]
[paragraph, [168.0, 1219.0, 893.0, 36.0], zYu1DpMEv5, 5703752]
[paragraph, [168.0, 1255.0, 893.0, 36.0], zYu1DpMEv5, 5703752]
[paragraph, [168.0, 1291.0, 893.0, 36.0], zYu1DpMEv5, 5703752]
[paragraph, [173.0, 1375.0, 885.0, 36.0], YanF5g0Nkf, 5703752]
[paragraph, [173.0, 1411.0, 885.0, 36.0], YanF5g0Nkf, 5703752]
[paragraph, [173.0, 1447.0, 885.0, 36.0], YanF5g0Nkf, 5703752]
[paragraph, [173.0, 1483.0, 885.0, 36.0], YanF5g0Nkf, 5703752]
