[3300, 2550]
[paragraph, [414.0, 271.0, 1880.0, 52.5], HE_eHhoE90, 5720190]
[paragraph, [414.0, 323.5, 1880.0, 52.5], HE_eHhoE90, 5720190]
[paragraph, [414.0, 376.0, 1880.0, 52.5], HE_eHhoE90, 5720190]
[paragraph, [414.0, 428.5, 1880.0, 52.5], HE_eHhoE90, 5720190]
[paragraph, [414.0, 481.0, 1880.0, 52.5], HE_eHhoE90, 5720190]
[paragraph, [414.0, 533.5, 1880.0, 52.5], HE_eHhoE90, 5720190]
[paragraph, [414.0, 586.0, 1880.0, 52.5], HE_eHhoE90, 5720190]
[ordered-list, [341.0, 655.0, 1957.0, 52.5], OQ01FsahVE, 5720190]
[ordered-list, [341.0, 707.5, 1957.0, 52.5], OQ01FsahVE, 5720190]
[ordered-list, [341.0, 760.0, 1957.0, 52.5], OQ01FsahVE, 5720190]
[ordered-list, [341.0, 812.5, 1957.0, 52.5], OQ01FsahVE, 5720190]
[ordered-list, [341.0, 865.0, 1957.0, 52.5], OQ01FsahVE, 5720190]
[ordered-list, [341.0, 917.5, 1957.0, 52.5], OQ01FsahVE, 5720190]
[ordered-list, [341.0, 970.0, 1957.0, 52.5], OQ01FsahVE, 5720190]
[ordered-list, [341.0, 1022.5, 1957.0, 52.5], OQ01FsahVE, 5720190]
[ordered-list, [341.0, 1075.0, 1957.0, 52.5], OQ01FsahVE, 5720190]
[ordered-list, [341.0, 1127.5, 1957.0, 52.5], OQ01FsahVE, 5720190]
[paragraph, [347.0, 1256.0, 1938.0, 52.5], 3xjapHzBJU, 5720190]
[paragraph, [347.0, 1308.5, 1938.0, 52.5], 3xjapHzBJU, 5720190]
[paragraph, [347.0, 1361.0, 1938.0, 52.5], 3xjapHzBJU, 5720190]
[paragraph, [347.0, 1413.5, 1938.0, 52.5], 3xjapHzBJU, 5720190]
[paragraph, [347.0, 1466.0, 1938.0, 52.5], 3xjapHzBJU, 5720190]
[paragraph, [347.0, 1518.5, 1938.0, 52.5], 3xjapHzBJU, 5720190]
[paragraph, [347.0, 1571.0, 1938.0, 52.5], 3xjapHzBJU, 5720190]
[paragraph, [347.0, 1623.5, 1938.0, 52.5], 3xjapHzBJU, 5720190]
[paragraph, [347.0, 1676.0, 1938.0, 52.5], 3xjapHzBJU, 5720190]
[paragraph, [347.0, 1728.5, 1938.0, 52.5], 3xjapHzBJU, 5720190]
[paragraph, [347.0, 1781.0, 1938.0, 52.5], 3xjapHzBJU, 5720190]
[paragraph, [347.0, 1833.5, 1938.0, 52.5], 3xjapHzBJU, 5720190]
[paragraph, [347.0, 1886.0, 1938.0, 52.5], 3xjapHzBJU, 5720190]
[paragraph, [347.0, 1938.5, 1938.0, 52.5], 3xjapHzBJU, 5720190]
[paragraph, [347.0, 1991.0, 1938.0, 52.5], 3xjapHzBJU, 5720190]
[paragraph, [347.0, 2043.5, 1938.0, 52.5], 3xjapHzBJU, 5720190]
[paragraph, [353.0, 2158.0, 1938.0, 52.5], PUuuNm_bZW, 5720190]
[paragraph, [353.0, 2210.5, 1938.0, 52.5], PUuuNm_bZW, 5720190]
[paragraph, [353.0, 2263.0, 1938.0, 52.5], PUuuNm_bZW, 5720190]
[paragraph, [353.0, 2315.5, 1938.0, 52.5], PUuuNm_bZW, 5720190]
[paragraph, [353.0, 2368.0, 1938.0, 52.5], PUuuNm_bZW, 5720190]
[paragraph, [353.0, 2420.5, 1938.0, 52.5], PUuuNm_bZW, 5720190]
[paragraph, [353.0, 2473.0, 1938.0, 52.5], PUuuNm_bZW, 5720190]
[paragraph, [350.0, 2585.0, 1931.0, 52.5], AhB4DqD8iI, 5720190]
[paragraph, [350.0, 2637.5, 1931.0, 52.5], AhB4DqD8iI, 5720190]
[paragraph, [350.0, 2690.0, 1931.0, 52.5], AhB4DqD8iI, 5720190]
[paragraph, [350.0, 2742.5, 1931.0, 52.5], AhB4DqD8iI, 5720190]
[paragraph, [350.0, 2795.0, 1931.0, 52.5], AhB4DqD8iI, 5720190]
[paragraph, [350.0, 2847.5, 1931.0, 52.5], AhB4DqD8iI, 5720190]
[paragraph, [350.0, 2900.0, 1931.0, 52.5], AhB4DqD8iI, 5720190]
