[1320, 1176]
[paragraph, [433.0, 186.0, 324.0, 18.0], -L4_2dzj5y, 5694009]
[paragraph, [433.0, 204.0, 324.0, 18.0], -L4_2dzj5y, 5694009]
[paragraph, [433.0, 222.0, 324.0, 18.0], -L4_2dzj5y, 5694009]
[paragraph, [771.0, 188.0, 328.0, 18.0], shoonya_6sBAXMI6PI7ILQ, 5694009]
[paragraph, [771.0, 206.0, 328.0, 18.0], shoonya_6sBAXMI6PI7ILQ, 5694009]
[paragraph, [771.0, 224.0, 328.0, 18.0], shoonya_6sBAXMI6PI7ILQ, 5694009]
[paragraph, [771.0, 242.0, 328.0, 18.0], shoonya_6sBAXMI6PI7ILQ, 5694009]
[paragraph, [771.0, 260.0, 328.0, 18.0], shoonya_6sBAXMI6PI7ILQ, 5694009]
[paragraph, [771.0, 278.0, 328.0, 18.0], shoonya_6sBAXMI6PI7ILQ, 5694009]
[paragraph, [771.0, 296.0, 328.0, 18.0], shoonya_6sBAXMI6PI7ILQ, 5694009]
[paragraph, [771.0, 314.0, 328.0, 18.0], shoonya_6sBAXMI6PI7ILQ, 5694009]
[paragraph, [771.0, 332.0, 328.0, 18.0], shoonya_6sBAXMI6PI7ILQ, 5694009]
[paragraph, [771.0, 350.0, 328.0, 18.0], shoonya_6sBAXMI6PI7ILQ, 5694009]
[paragraph, [771.0, 368.0, 328.0, 18.0], shoonya_6sBAXMI6PI7ILQ, 5694009]
[paragraph, [771.0, 386.0, 328.0, 18.0], shoonya_6sBAXMI6PI7ILQ, 5694009]
[paragraph, [72.0, 193.0, 336.0, 18.0], shoonya_3s9OP932GBFLDH, 5694009]
[paragraph, [72.0, 211.0, 336.0, 18.0], shoonya_3s9OP932GBFLDH, 5694009]
[paragraph, [72.0, 229.0, 336.0, 18.0], shoonya_3s9OP932GBFLDH, 5694009]
[paragraph, [72.0, 247.0, 336.0, 18.0], shoonya_3s9OP932GBFLDH, 5694009]
[paragraph, [72.0, 265.0, 336.0, 18.0], shoonya_3s9OP932GBFLDH, 5694009]
[paragraph, [72.0, 283.0, 336.0, 18.0], shoonya_3s9OP932GBFLDH, 5694009]
[paragraph, [72.0, 301.0, 336.0, 18.0], shoonya_3s9OP932GBFLDH, 5694009]
[paragraph, [72.0, 319.0, 336.0, 18.0], shoonya_3s9OP932GBFLDH, 5694009]
[paragraph, [72.0, 337.0, 336.0, 18.0], shoonya_3s9OP932GBFLDH, 5694009]
[paragraph, [72.0, 355.0, 336.0, 18.0], shoonya_3s9OP932GBFLDH, 5694009]
[paragraph, [72.0, 373.0, 336.0, 18.0], shoonya_3s9OP932GBFLDH, 5694009]
[paragraph, [72.0, 391.0, 336.0, 18.0], shoonya_3s9OP932GBFLDH, 5694009]
[paragraph, [72.0, 409.0, 336.0, 18.0], shoonya_3s9OP932GBFLDH, 5694009]
[paragraph, [72.0, 427.0, 336.0, 18.0], shoonya_3s9OP932GBFLDH, 5694009]
[paragraph, [72.0, 445.0, 336.0, 18.0], shoonya_3s9OP932GBFLDH, 5694009]
[paragraph, [72.0, 463.0, 336.0, 18.0], shoonya_3s9OP932GBFLDH, 5694009]
[paragraph, [72.0, 481.0, 336.0, 18.0], shoonya_3s9OP932GBFLDH, 5694009]
[paragraph, [72.0, 499.0, 336.0, 18.0], shoonya_3s9OP932GBFLDH, 5694009]
[paragraph, [72.0, 517.0, 336.0, 18.0], shoonya_3s9OP932GBFLDH, 5694009]
[paragraph, [72.0, 535.0, 336.0, 18.0], shoonya_3s9OP932GBFLDH, 5694009]
[paragraph, [72.0, 553.0, 336.0, 18.0], shoonya_3s9OP932GBFLDH, 5694009]
[paragraph, [72.0, 571.0, 336.0, 18.0], shoonya_3s9OP932GBFLDH, 5694009]
[paragraph, [72.0, 589.0, 336.0, 18.0], shoonya_3s9OP932GBFLDH, 5694009]
[paragraph, [72.0, 607.0, 336.0, 18.0], shoonya_3s9OP932GBFLDH, 5694009]
[paragraph, [72.0, 625.0, 336.0, 18.0], shoonya_3s9OP932GBFLDH, 5694009]
[paragraph, [72.0, 643.0, 336.0, 18.0], shoonya_3s9OP932GBFLDH, 5694009]
[paragraph, [72.0, 661.0, 336.0, 18.0], shoonya_3s9OP932GBFLDH, 5694009]
[paragraph, [72.0, 679.0, 336.0, 18.0], shoonya_3s9OP932GBFLDH, 5694009]
[paragraph, [72.0, 697.0, 336.0, 18.0], shoonya_3s9OP932GBFLDH, 5694009]
[paragraph, [72.0, 715.0, 336.0, 18.0], shoonya_3s9OP932GBFLDH, 5694009]
[paragraph, [72.0, 733.0, 336.0, 18.0], shoonya_3s9OP932GBFLDH, 5694009]
[paragraph, [72.0, 751.0, 336.0, 18.0], shoonya_3s9OP932GBFLDH, 5694009]
