[2200, 1700]
[paragraph, [300.0, 233.0, 998.0, 36.0], shoonya_0s3ID7G179QDM8, 5651413]
[paragraph, [300.0, 269.0, 998.0, 36.0], shoonya_0s3ID7G179QDM8, 5651413]
[paragraph, [300.0, 305.0, 998.0, 36.0], shoonya_0s3ID7G179QDM8, 5651413]
[paragraph, [300.0, 341.0, 998.0, 36.0], shoonya_0s3ID7G179QDM8, 5651413]
[paragraph, [300.0, 377.0, 998.0, 36.0], shoonya_0s3ID7G179QDM8, 5651413]
[paragraph, [298.0, 416.0, 1000.0, 36.0], shoonya_1sDUF12WK06PQ9, 5651413]
[paragraph, [298.0, 452.0, 1000.0, 36.0], shoonya_1sDUF12WK06PQ9, 5651413]
[paragraph, [298.0, 488.0, 1000.0, 36.0], shoonya_1sDUF12WK06PQ9, 5651413]
[paragraph, [298.0, 524.0, 1000.0, 36.0], shoonya_1sDUF12WK06PQ9, 5651413]
[paragraph, [298.0, 560.0, 1000.0, 36.0], shoonya_1sDUF12WK06PQ9, 5651413]
[paragraph, [297.0, 601.0, 1006.0, 36.0], shoonya_2sIG6W0VNQIB2W, 5651413]
[paragraph, [297.0, 637.0, 1006.0, 36.0], shoonya_2sIG6W0VNQIB2W, 5651413]
[paragraph, [297.0, 673.0, 1006.0, 36.0], shoonya_2sIG6W0VNQIB2W, 5651413]
[paragraph, [297.0, 709.0, 1006.0, 36.0], shoonya_2sIG6W0VNQIB2W, 5651413]
[paragraph, [297.0, 745.0, 1006.0, 36.0], shoonya_2sIG6W0VNQIB2W, 5651413]
[paragraph, [297.0, 781.0, 1006.0, 36.0], shoonya_2sIG6W0VNQIB2W, 5651413]
[paragraph, [297.0, 817.0, 1006.0, 36.0], shoonya_2sIG6W0VNQIB2W, 5651413]
[paragraph, [297.0, 853.0, 1006.0, 36.0], shoonya_2sIG6W0VNQIB2W, 5651413]
[paragraph, [389.0, 913.0, 761.0, 36.0], shoonya_7sDNUG05FIJDWX, 5651413]
[paragraph, [291.0, 969.0, 1011.0, 36.0], XWFRxkFQcc, 5651413]
[paragraph, [291.0, 1005.0, 1011.0, 36.0], XWFRxkFQcc, 5651413]
[paragraph, [291.0, 1041.0, 1011.0, 36.0], XWFRxkFQcc, 5651413]
[paragraph, [297.0, 1097.0, 1004.0, 36.0], shoonya_3sCEURT4GRPF00, 5651413]
[paragraph, [297.0, 1133.0, 1004.0, 36.0], shoonya_3sCEURT4GRPF00, 5651413]
[paragraph, [297.0, 1169.0, 1004.0, 36.0], shoonya_3sCEURT4GRPF00, 5651413]
[paragraph, [297.0, 1205.0, 1004.0, 36.0], shoonya_3sCEURT4GRPF00, 5651413]
[paragraph, [297.0, 1241.0, 1004.0, 36.0], shoonya_3sCEURT4GRPF00, 5651413]
[paragraph, [297.0, 1277.0, 1004.0, 36.0], shoonya_3sCEURT4GRPF00, 5651413]
[paragraph, [297.0, 1313.0, 1004.0, 36.0], shoonya_3sCEURT4GRPF00, 5651413]
[paragraph, [297.0, 1349.0, 1004.0, 36.0], shoonya_3sCEURT4GRPF00, 5651413]
[paragraph, [297.0, 1385.0, 1004.0, 36.0], shoonya_3sCEURT4GRPF00, 5651413]
[paragraph, [297.0, 1421.0, 1004.0, 36.0], shoonya_3sCEURT4GRPF00, 5651413]
[paragraph, [297.0, 1457.0, 1004.0, 36.0], shoonya_3sCEURT4GRPF00, 5651413]
[paragraph, [294.0, 1515.0, 1020.0, 36.0], shoonya_6s9O9NDS34GZV4, 5651413]
[paragraph, [294.0, 1551.0, 1020.0, 36.0], shoonya_6s9O9NDS34GZV4, 5651413]
[paragraph, [294.0, 1587.0, 1020.0, 36.0], shoonya_6s9O9NDS34GZV4, 5651413]
[paragraph, [276.0, 1643.0, 1030.0, 36.0], uXk-1L1ALJ, 5651413]
[paragraph, [276.0, 1679.0, 1030.0, 36.0], uXk-1L1ALJ, 5651413]
[paragraph, [276.0, 1715.0, 1030.0, 36.0], uXk-1L1ALJ, 5651413]
[paragraph, [276.0, 1751.0, 1030.0, 36.0], uXk-1L1ALJ, 5651413]
[paragraph, [276.0, 1787.0, 1030.0, 36.0], uXk-1L1ALJ, 5651413]
[folio, [369.0, 1877.0, 109.0, 36.0], shoonya_4sJAQ0NRNC3AXM, 5651413]
