[1222, 736]
[paragraph, [57.0, 120.0, 635.0, 18.0], 2Ds__dtJFT, 5719872]
[paragraph, [57.0, 138.0, 635.0, 18.0], 2Ds__dtJFT, 5719872]
[paragraph, [57.0, 156.0, 635.0, 18.0], 2Ds__dtJFT, 5719872]
[paragraph, [61.0, 196.0, 633.0, 18.0], shoonya_0sK6XW1HY5O52G, 5719872]
[paragraph, [61.0, 214.0, 633.0, 18.0], shoonya_0sK6XW1HY5O52G, 5719872]
[paragraph, [61.0, 232.0, 633.0, 18.0], shoonya_0sK6XW1HY5O52G, 5719872]
[paragraph, [61.0, 250.0, 633.0, 18.0], shoonya_0sK6XW1HY5O52G, 5719872]
[paragraph, [61.0, 268.0, 633.0, 18.0], shoonya_0sK6XW1HY5O52G, 5719872]
[paragraph, [61.0, 286.0, 633.0, 18.0], shoonya_0sK6XW1HY5O52G, 5719872]
[paragraph, [61.0, 304.0, 633.0, 18.0], shoonya_0sK6XW1HY5O52G, 5719872]
[paragraph, [61.0, 322.0, 633.0, 18.0], shoonya_0sK6XW1HY5O52G, 5719872]
[paragraph, [61.0, 340.0, 633.0, 18.0], shoonya_0sK6XW1HY5O52G, 5719872]
[paragraph, [61.0, 358.0, 633.0, 18.0], shoonya_0sK6XW1HY5O52G, 5719872]
[paragraph, [61.0, 376.0, 633.0, 18.0], shoonya_0sK6XW1HY5O52G, 5719872]
[paragraph, [61.0, 394.0, 633.0, 18.0], shoonya_0sK6XW1HY5O52G, 5719872]
[paragraph, [61.0, 412.0, 633.0, 18.0], shoonya_0sK6XW1HY5O52G, 5719872]
[paragraph, [61.0, 430.0, 633.0, 18.0], shoonya_0sK6XW1HY5O52G, 5719872]
[paragraph, [61.0, 448.0, 633.0, 18.0], shoonya_0sK6XW1HY5O52G, 5719872]
[paragraph, [61.0, 466.0, 633.0, 18.0], shoonya_0sK6XW1HY5O52G, 5719872]
[paragraph, [61.0, 484.0, 633.0, 18.0], shoonya_0sK6XW1HY5O52G, 5719872]
[paragraph, [61.0, 502.0, 633.0, 18.0], shoonya_0sK6XW1HY5O52G, 5719872]
[paragraph, [61.0, 520.0, 633.0, 18.0], shoonya_0sK6XW1HY5O52G, 5719872]
[paragraph, [61.0, 538.0, 633.0, 18.0], shoonya_0sK6XW1HY5O52G, 5719872]
[paragraph, [61.0, 556.0, 633.0, 18.0], shoonya_0sK6XW1HY5O52G, 5719872]
[paragraph, [62.0, 597.0, 562.0, 18.0], PWktBvRrqX, 5719872]
[paragraph, [62.0, 615.0, 562.0, 18.0], PWktBvRrqX, 5719872]
[paragraph, [62.0, 633.0, 562.0, 18.0], PWktBvRrqX, 5719872]
[paragraph, [62.0, 651.0, 562.0, 18.0], PWktBvRrqX, 5719872]
[paragraph, [62.0, 669.0, 562.0, 18.0], PWktBvRrqX, 5719872]
[ordered-list, [56.0, 714.0, 635.0, 18.0], JDfIwlbbj-, 5719872]
[ordered-list, [56.0, 732.0, 635.0, 18.0], JDfIwlbbj-, 5719872]
[ordered-list, [56.0, 750.0, 635.0, 18.0], JDfIwlbbj-, 5719872]
[ordered-list, [56.0, 768.0, 635.0, 18.0], JDfIwlbbj-, 5719872]
[ordered-list, [56.0, 786.0, 635.0, 18.0], JDfIwlbbj-, 5719872]
[ordered-list, [56.0, 804.0, 635.0, 18.0], JDfIwlbbj-, 5719872]
[ordered-list, [56.0, 822.0, 635.0, 18.0], JDfIwlbbj-, 5719872]
[ordered-list, [56.0, 840.0, 635.0, 18.0], JDfIwlbbj-, 5719872]
[ordered-list, [56.0, 858.0, 635.0, 18.0], JDfIwlbbj-, 5719872]
[ordered-list, [56.0, 876.0, 635.0, 18.0], JDfIwlbbj-, 5719872]
[ordered-list, [56.0, 894.0, 635.0, 18.0], JDfIwlbbj-, 5719872]
[ordered-list, [56.0, 912.0, 635.0, 18.0], JDfIwlbbj-, 5719872]
[ordered-list, [56.0, 930.0, 635.0, 18.0], JDfIwlbbj-, 5719872]
[ordered-list, [56.0, 948.0, 635.0, 18.0], JDfIwlbbj-, 5719872]
[ordered-list, [56.0, 966.0, 635.0, 18.0], JDfIwlbbj-, 5719872]
[ordered-list, [56.0, 984.0, 635.0, 18.0], JDfIwlbbj-, 5719872]
[ordered-list, [56.0, 1002.0, 635.0, 18.0], JDfIwlbbj-, 5719872]
[ordered-list, [56.0, 1020.0, 635.0, 18.0], JDfIwlbbj-, 5719872]
[ordered-list, [56.0, 1038.0, 635.0, 18.0], JDfIwlbbj-, 5719872]
[ordered-list, [56.0, 1056.0, 635.0, 18.0], JDfIwlbbj-, 5719872]
[ordered-list, [56.0, 1074.0, 635.0, 18.0], JDfIwlbbj-, 5719872]
[ordered-list, [56.0, 1092.0, 635.0, 18.0], JDfIwlbbj-, 5719872]
[ordered-list, [56.0, 1110.0, 635.0, 18.0], JDfIwlbbj-, 5719872]
[folio, [361.0, 1179.0, 373.0, 18.0], ayByuoY3tP, 5719872]
[folio, [361.0, 1197.0, 373.0, 18.0], ayByuoY3tP, 5719872]
