[752, 553]
[folio, [403.0, 25.0, 90.0, 18.0], SysksTusOB, 5713183]
[folio, [403.0, 43.0, 90.0, 18.0], SysksTusOB, 5713183]
[folio, [403.0, 61.0, 90.0, 18.0], SysksTusOB, 5713183]
[headline, [257.0, 135.0, 194.0, 25.5], shoonya_12sE3P354F646V, 5713183]
[headline, [257.0, 160.5, 194.0, 25.5], shoonya_12sE3P354F646V, 5713183]
[headline, [257.0, 186.0, 194.0, 25.5], shoonya_12sE3P354F646V, 5713183]
[paragraph, [347.0, 261.0, 156.0, 18.0], cQMG_m8X4d, 5713183]
[paragraph, [347.0, 279.0, 156.0, 18.0], cQMG_m8X4d, 5713183]
[paragraph, [347.0, 297.0, 156.0, 18.0], cQMG_m8X4d, 5713183]
[paragraph, [347.0, 315.0, 156.0, 18.0], cQMG_m8X4d, 5713183]
[paragraph, [200.0, 264.0, 145.0, 18.0], shoonya_4sRJMLV7FKUMQK, 5713183]
[paragraph, [200.0, 282.0, 145.0, 18.0], shoonya_4sRJMLV7FKUMQK, 5713183]
[paragraph, [200.0, 300.0, 145.0, 18.0], shoonya_4sRJMLV7FKUMQK, 5713183]
[paragraph, [52.0, 269.0, 144.0, 18.0], shoonya_10s350A29M249Q, 5713183]
[paragraph, [52.0, 287.0, 144.0, 18.0], shoonya_10s350A29M249Q, 5713183]
[paragraph, [52.0, 305.0, 144.0, 18.0], shoonya_10s350A29M249Q, 5713183]
[paragraph, [52.0, 323.0, 144.0, 18.0], shoonya_10s350A29M249Q, 5713183]
[paragraph, [52.0, 341.0, 144.0, 18.0], shoonya_10s350A29M249Q, 5713183]
[paragraph, [52.0, 359.0, 144.0, 18.0], shoonya_10s350A29M249Q, 5713183]
[paragraph, [52.0, 377.0, 144.0, 18.0], shoonya_10s350A29M249Q, 5713183]
[paragraph, [199.0, 334.0, 148.0, 18.0], shoonya_3sOL27Q9FUU60W, 5713183]
[paragraph, [199.0, 352.0, 148.0, 18.0], shoonya_3sOL27Q9FUU60W, 5713183]
[paragraph, [199.0, 370.0, 148.0, 18.0], shoonya_3sOL27Q9FUU60W, 5713183]
[paragraph, [199.0, 388.0, 148.0, 18.0], shoonya_3sOL27Q9FUU60W, 5713183]
[paragraph, [348.0, 335.0, 149.0, 18.0], shoonya_7sU4XDQ4UP0704, 5713183]
[paragraph, [348.0, 353.0, 149.0, 18.0], shoonya_7sU4XDQ4UP0704, 5713183]
[paragraph, [348.0, 371.0, 149.0, 18.0], shoonya_7sU4XDQ4UP0704, 5713183]
[paragraph, [350.0, 400.0, 154.0, 18.0], shoonya_5sK7E1CVNQP3DX, 5713183]
[paragraph, [350.0, 418.0, 154.0, 18.0], shoonya_5sK7E1CVNQP3DX, 5713183]
[paragraph, [350.0, 436.0, 154.0, 18.0], shoonya_5sK7E1CVNQP3DX, 5713183]
[paragraph, [350.0, 454.0, 154.0, 18.0], shoonya_5sK7E1CVNQP3DX, 5713183]
[paragraph, [350.0, 472.0, 154.0, 18.0], shoonya_5sK7E1CVNQP3DX, 5713183]
[paragraph, [55.0, 402.0, 141.0, 18.0], shoonya_0s48VKPQ0Z1PDT, 5713183]
[paragraph, [55.0, 420.0, 141.0, 18.0], shoonya_0s48VKPQ0Z1PDT, 5713183]
[paragraph, [55.0, 438.0, 141.0, 18.0], shoonya_0s48VKPQ0Z1PDT, 5713183]
[paragraph, [55.0, 456.0, 141.0, 18.0], shoonya_0s48VKPQ0Z1PDT, 5713183]
[paragraph, [55.0, 474.0, 141.0, 18.0], shoonya_0s48VKPQ0Z1PDT, 5713183]
[paragraph, [55.0, 492.0, 141.0, 18.0], shoonya_0s48VKPQ0Z1PDT, 5713183]
[paragraph, [55.0, 510.0, 141.0, 18.0], shoonya_0s48VKPQ0Z1PDT, 5713183]
[paragraph, [198.0, 419.0, 151.0, 18.0], shoonya_1sIJ49JRNVWXF2, 5713183]
[paragraph, [198.0, 437.0, 151.0, 18.0], shoonya_1sIJ49JRNVWXF2, 5713183]
[paragraph, [198.0, 455.0, 151.0, 18.0], shoonya_1sIJ49JRNVWXF2, 5713183]
[paragraph, [198.0, 473.0, 151.0, 18.0], shoonya_1sIJ49JRNVWXF2, 5713183]
[paragraph, [198.0, 491.0, 151.0, 18.0], shoonya_1sIJ49JRNVWXF2, 5713183]
[paragraph, [198.0, 509.0, 151.0, 18.0], shoonya_1sIJ49JRNVWXF2, 5713183]
[paragraph, [349.0, 505.0, 160.0, 18.0], 16WDa4pHhP, 5713183]
[paragraph, [349.0, 523.0, 160.0, 18.0], 16WDa4pHhP, 5713183]
[paragraph, [349.0, 541.0, 160.0, 18.0], 16WDa4pHhP, 5713183]
[paragraph, [349.0, 559.0, 160.0, 18.0], 16WDa4pHhP, 5713183]
[paragraph, [57.0, 530.0, 138.0, 18.0], shoonya_2sI8HL6UHODR6W, 5713183]
[paragraph, [57.0, 548.0, 138.0, 18.0], shoonya_2sI8HL6UHODR6W, 5713183]
[paragraph, [57.0, 566.0, 138.0, 18.0], shoonya_2sI8HL6UHODR6W, 5713183]
[paragraph, [57.0, 584.0, 138.0, 18.0], shoonya_2sI8HL6UHODR6W, 5713183]
[paragraph, [57.0, 602.0, 138.0, 18.0], shoonya_2sI8HL6UHODR6W, 5713183]
[paragraph, [198.0, 541.0, 150.0, 18.0], shoonya_6sAL7DK50CB265, 5713183]
[paragraph, [198.0, 559.0, 150.0, 18.0], shoonya_6sAL7DK50CB265, 5713183]
[paragraph, [198.0, 577.0, 150.0, 18.0], shoonya_6sAL7DK50CB265, 5713183]
[paragraph, [198.0, 595.0, 150.0, 18.0], shoonya_6sAL7DK50CB265, 5713183]
[paragraph, [198.0, 613.0, 150.0, 18.0], shoonya_6sAL7DK50CB265, 5713183]
[paragraph, [198.0, 631.0, 150.0, 18.0], shoonya_6sAL7DK50CB265, 5713183]
[paragraph, [198.0, 649.0, 150.0, 18.0], shoonya_6sAL7DK50CB265, 5713183]
[paragraph, [350.0, 582.0, 136.0, 18.0], BvwuB_lodd, 5713183]
[paragraph, [350.0, 600.0, 136.0, 18.0], BvwuB_lodd, 5713183]
[paragraph, [56.0, 621.0, 134.0, 18.0], -6EJh4ViT-, 5713183]
[paragraph, [56.0, 639.0, 134.0, 18.0], -6EJh4ViT-, 5713183]
[paragraph, [351.0, 623.0, 143.0, 18.0], JbVZsGJNM8, 5713183]
[paragraph, [351.0, 641.0, 143.0, 18.0], JbVZsGJNM8, 5713183]
[folio, [437.0, 696.0, 65.0, 18.0], Y0Dh2z8UCU, 5713183]
