[2640, 2040]
[ordered-list, [294.0, 458.0, 1423.0, 46.5], shoonya_0sW2EEM3MKGJOK, 5700031]
[ordered-list, [294.0, 504.5, 1423.0, 46.5], shoonya_0sW2EEM3MKGJOK, 5700031]
[ordered-list, [294.0, 551.0, 1423.0, 46.5], shoonya_0sW2EEM3MKGJOK, 5700031]
[ordered-list, [294.0, 597.5, 1423.0, 46.5], shoonya_0sW2EEM3MKGJOK, 5700031]
[ordered-list, [294.0, 644.0, 1423.0, 46.5], shoonya_0sW2EEM3MKGJOK, 5700031]
[ordered-list, [294.0, 690.5, 1423.0, 46.5], shoonya_0sW2EEM3MKGJOK, 5700031]
[ordered-list, [294.0, 737.0, 1423.0, 46.5], shoonya_0sW2EEM3MKGJOK, 5700031]
[ordered-list, [294.0, 783.5, 1423.0, 46.5], shoonya_0sW2EEM3MKGJOK, 5700031]
[ordered-list, [294.0, 830.0, 1423.0, 46.5], shoonya_0sW2EEM3MKGJOK, 5700031]
[ordered-list, [294.0, 876.5, 1423.0, 46.5], shoonya_0sW2EEM3MKGJOK, 5700031]
[ordered-list, [294.0, 923.0, 1423.0, 46.5], shoonya_0sW2EEM3MKGJOK, 5700031]
[ordered-list, [294.0, 969.5, 1423.0, 46.5], shoonya_0sW2EEM3MKGJOK, 5700031]
[ordered-list, [294.0, 1016.0, 1423.0, 46.5], shoonya_0sW2EEM3MKGJOK, 5700031]
[ordered-list, [294.0, 1062.5, 1423.0, 46.5], shoonya_0sW2EEM3MKGJOK, 5700031]
[ordered-list, [294.0, 1109.0, 1423.0, 46.5], shoonya_0sW2EEM3MKGJOK, 5700031]
[ordered-list, [294.0, 1155.5, 1423.0, 46.5], shoonya_0sW2EEM3MKGJOK, 5700031]
[ordered-list, [294.0, 1202.0, 1423.0, 46.5], shoonya_0sW2EEM3MKGJOK, 5700031]
[ordered-list, [294.0, 1248.5, 1423.0, 46.5], shoonya_0sW2EEM3MKGJOK, 5700031]
[ordered-list, [294.0, 1295.0, 1423.0, 46.5], shoonya_0sW2EEM3MKGJOK, 5700031]
[ordered-list, [294.0, 1341.5, 1423.0, 46.5], shoonya_0sW2EEM3MKGJOK, 5700031]
[ordered-list, [294.0, 1388.0, 1423.0, 46.5], shoonya_0sW2EEM3MKGJOK, 5700031]
[ordered-list, [294.0, 1434.5, 1423.0, 46.5], shoonya_0sW2EEM3MKGJOK, 5700031]
[ordered-list, [294.0, 1481.0, 1423.0, 46.5], shoonya_0sW2EEM3MKGJOK, 5700031]
[ordered-list, [294.0, 1527.5, 1423.0, 46.5], shoonya_0sW2EEM3MKGJOK, 5700031]
[ordered-list, [294.0, 1574.0, 1423.0, 46.5], shoonya_0sW2EEM3MKGJOK, 5700031]
[ordered-list, [294.0, 1620.5, 1423.0, 46.5], shoonya_0sW2EEM3MKGJOK, 5700031]
[ordered-list, [294.0, 1667.0, 1423.0, 46.5], shoonya_0sW2EEM3MKGJOK, 5700031]
[ordered-list, [294.0, 1713.5, 1423.0, 46.5], shoonya_0sW2EEM3MKGJOK, 5700031]
[ordered-list, [294.0, 1760.0, 1423.0, 46.5], shoonya_0sW2EEM3MKGJOK, 5700031]
[ordered-list, [294.0, 1806.5, 1423.0, 46.5], shoonya_0sW2EEM3MKGJOK, 5700031]
[ordered-list, [294.0, 1853.0, 1423.0, 46.5], shoonya_0sW2EEM3MKGJOK, 5700031]
[ordered-list, [294.0, 1899.5, 1423.0, 46.5], shoonya_0sW2EEM3MKGJOK, 5700031]
[ordered-list, [294.0, 1946.0, 1423.0, 46.5], shoonya_0sW2EEM3MKGJOK, 5700031]
[ordered-list, [294.0, 1992.5, 1423.0, 46.5], shoonya_0sW2EEM3MKGJOK, 5700031]
[ordered-list, [294.0, 2039.0, 1423.0, 46.5], shoonya_0sW2EEM3MKGJOK, 5700031]
[ordered-list, [294.0, 2085.5, 1423.0, 46.5], shoonya_0sW2EEM3MKGJOK, 5700031]
[ordered-list, [294.0, 2132.0, 1423.0, 46.5], shoonya_0sW2EEM3MKGJOK, 5700031]
[ordered-list, [294.0, 2178.5, 1423.0, 46.5], shoonya_0sW2EEM3MKGJOK, 5700031]
