[2339, 1653]
[paragraph, [388.0, 196.0, 1071.0, 36.0], shoonya_1sJZUTGFEMBE6X, 5734374]
[paragraph, [388.0, 232.0, 1071.0, 36.0], shoonya_1sJZUTGFEMBE6X, 5734374]
[paragraph, [388.0, 268.0, 1071.0, 36.0], shoonya_1sJZUTGFEMBE6X, 5734374]
[paragraph, [388.0, 304.0, 1071.0, 36.0], shoonya_1sJZUTGFEMBE6X, 5734374]
[paragraph, [388.0, 340.0, 1071.0, 36.0], shoonya_1sJZUTGFEMBE6X, 5734374]
[paragraph, [388.0, 376.0, 1071.0, 36.0], shoonya_1sJZUTGFEMBE6X, 5734374]
[paragraph, [388.0, 412.0, 1071.0, 36.0], shoonya_1sJZUTGFEMBE6X, 5734374]
[paragraph, [388.0, 448.0, 1071.0, 36.0], shoonya_1sJZUTGFEMBE6X, 5734374]
[paragraph, [388.0, 484.0, 1071.0, 36.0], shoonya_1sJZUTGFEMBE6X, 5734374]
[paragraph, [388.0, 520.0, 1071.0, 36.0], shoonya_1sJZUTGFEMBE6X, 5734374]
[paragraph, [388.0, 556.0, 1071.0, 36.0], shoonya_1sJZUTGFEMBE6X, 5734374]
[paragraph, [388.0, 592.0, 1071.0, 36.0], shoonya_1sJZUTGFEMBE6X, 5734374]
[paragraph, [388.0, 628.0, 1071.0, 36.0], shoonya_1sJZUTGFEMBE6X, 5734374]
[paragraph, [388.0, 664.0, 1071.0, 36.0], shoonya_1sJZUTGFEMBE6X, 5734374]
[paragraph, [388.0, 700.0, 1071.0, 36.0], shoonya_1sJZUTGFEMBE6X, 5734374]
[paragraph, [388.0, 736.0, 1071.0, 36.0], shoonya_1sJZUTGFEMBE6X, 5734374]
[paragraph, [388.0, 772.0, 1071.0, 36.0], shoonya_1sJZUTGFEMBE6X, 5734374]
[paragraph, [389.0, 840.0, 1076.0, 36.0], shoonya_0sUJUAYNGSQUJ9, 5734374]
[paragraph, [389.0, 876.0, 1076.0, 36.0], shoonya_0sUJUAYNGSQUJ9, 5734374]
[paragraph, [389.0, 912.0, 1076.0, 36.0], shoonya_0sUJUAYNGSQUJ9, 5734374]
[paragraph, [389.0, 948.0, 1076.0, 36.0], shoonya_0sUJUAYNGSQUJ9, 5734374]
[paragraph, [389.0, 984.0, 1076.0, 36.0], shoonya_0sUJUAYNGSQUJ9, 5734374]
[paragraph, [389.0, 1020.0, 1076.0, 36.0], shoonya_0sUJUAYNGSQUJ9, 5734374]
[paragraph, [389.0, 1056.0, 1076.0, 36.0], shoonya_0sUJUAYNGSQUJ9, 5734374]
[paragraph, [389.0, 1092.0, 1076.0, 36.0], shoonya_0sUJUAYNGSQUJ9, 5734374]
[paragraph, [389.0, 1128.0, 1076.0, 36.0], shoonya_0sUJUAYNGSQUJ9, 5734374]
[paragraph, [389.0, 1164.0, 1076.0, 36.0], shoonya_0sUJUAYNGSQUJ9, 5734374]
[paragraph, [389.0, 1200.0, 1076.0, 36.0], shoonya_0sUJUAYNGSQUJ9, 5734374]
[paragraph, [389.0, 1236.0, 1076.0, 36.0], shoonya_0sUJUAYNGSQUJ9, 5734374]
[paragraph, [390.0, 1307.0, 1072.0, 36.0], shoonya_2sYSZAET834TWE, 5734374]
[paragraph, [390.0, 1343.0, 1072.0, 36.0], shoonya_2sYSZAET834TWE, 5734374]
[paragraph, [390.0, 1379.0, 1072.0, 36.0], shoonya_2sYSZAET834TWE, 5734374]
[paragraph, [390.0, 1415.0, 1072.0, 36.0], shoonya_2sYSZAET834TWE, 5734374]
[paragraph, [390.0, 1451.0, 1072.0, 36.0], shoonya_2sYSZAET834TWE, 5734374]
[paragraph, [390.0, 1487.0, 1072.0, 36.0], shoonya_2sYSZAET834TWE, 5734374]
[paragraph, [390.0, 1523.0, 1072.0, 36.0], shoonya_2sYSZAET834TWE, 5734374]
[paragraph, [390.0, 1559.0, 1072.0, 36.0], shoonya_2sYSZAET834TWE, 5734374]
[paragraph, [390.0, 1595.0, 1072.0, 36.0], shoonya_2sYSZAET834TWE, 5734374]
[paragraph, [390.0, 1631.0, 1072.0, 36.0], shoonya_2sYSZAET834TWE, 5734374]
[paragraph, [390.0, 1667.0, 1072.0, 36.0], shoonya_2sYSZAET834TWE, 5734374]
[paragraph, [390.0, 1703.0, 1072.0, 36.0], shoonya_2sYSZAET834TWE, 5734374]
[paragraph, [388.0, 1773.0, 1078.0, 36.0], shoonya_3sLJLF7UNZMNWS, 5734374]
[paragraph, [388.0, 1809.0, 1078.0, 36.0], shoonya_3sLJLF7UNZMNWS, 5734374]
[paragraph, [361.0, 1884.0, 1122.0, 36.0], vgXL01dCyj, 5734374]
[paragraph, [361.0, 1920.0, 1122.0, 36.0], vgXL01dCyj, 5734374]
[paragraph, [361.0, 1956.0, 1122.0, 36.0], vgXL01dCyj, 5734374]
[paragraph, [361.0, 1992.0, 1122.0, 36.0], vgXL01dCyj, 5734374]
[paragraph, [361.0, 2028.0, 1122.0, 36.0], vgXL01dCyj, 5734374]
[paragraph, [361.0, 2064.0, 1122.0, 36.0], vgXL01dCyj, 5734374]
[folio, [856.0, 2180.0, 536.0, 36.0], MW7PHGeuFl, 5734374]
