[1425, 1088]
[chapter-title, [108.0, 118.0, 844.0, 30.0], shoonya_6sOYLKWMG3KV6Q, 5759245]
[chapter-title, [108.0, 148.0, 844.0, 30.0], shoonya_6sOYLKWMG3KV6Q, 5759245]
[chapter-title, [108.0, 178.0, 844.0, 30.0], shoonya_6sOYLKWMG3KV6Q, 5759245]
[paragraph, [99.0, 257.0, 849.0, 18.0], shoonya_2sRI4LEOX1XQGG, 5759245]
[paragraph, [99.0, 275.0, 849.0, 18.0], shoonya_2sRI4LEOX1XQGG, 5759245]
[paragraph, [99.0, 293.0, 849.0, 18.0], shoonya_2sRI4LEOX1XQGG, 5759245]
[paragraph, [99.0, 311.0, 849.0, 18.0], shoonya_2sRI4LEOX1XQGG, 5759245]
[paragraph, [99.0, 329.0, 849.0, 18.0], shoonya_2sRI4LEOX1XQGG, 5759245]
[paragraph, [99.0, 347.0, 849.0, 18.0], shoonya_2sRI4LEOX1XQGG, 5759245]
[paragraph, [99.0, 365.0, 849.0, 18.0], shoonya_2sRI4LEOX1XQGG, 5759245]
[paragraph, [99.0, 383.0, 849.0, 18.0], shoonya_2sRI4LEOX1XQGG, 5759245]
[paragraph, [99.0, 401.0, 849.0, 18.0], shoonya_2sRI4LEOX1XQGG, 5759245]
[paragraph, [99.0, 419.0, 849.0, 18.0], shoonya_2sRI4LEOX1XQGG, 5759245]
[paragraph, [99.0, 437.0, 849.0, 18.0], shoonya_2sRI4LEOX1XQGG, 5759245]
[paragraph, [99.0, 455.0, 849.0, 18.0], shoonya_2sRI4LEOX1XQGG, 5759245]
[paragraph, [99.0, 479.0, 848.0, 18.0], hUAa5ZrFit, 5759245]
[paragraph, [99.0, 497.0, 848.0, 18.0], hUAa5ZrFit, 5759245]
[paragraph, [99.0, 515.0, 848.0, 18.0], hUAa5ZrFit, 5759245]
[paragraph, [99.0, 533.0, 848.0, 18.0], hUAa5ZrFit, 5759245]
[paragraph, [99.0, 551.0, 848.0, 18.0], hUAa5ZrFit, 5759245]
[paragraph, [97.0, 579.0, 853.0, 18.0], QZYPirpsRW, 5759245]
[paragraph, [97.0, 597.0, 853.0, 18.0], QZYPirpsRW, 5759245]
[paragraph, [97.0, 615.0, 853.0, 18.0], QZYPirpsRW, 5759245]
[paragraph, [97.0, 633.0, 853.0, 18.0], QZYPirpsRW, 5759245]
[paragraph, [97.0, 651.0, 853.0, 18.0], QZYPirpsRW, 5759245]
[paragraph, [97.0, 669.0, 853.0, 18.0], QZYPirpsRW, 5759245]
[paragraph, [97.0, 687.0, 853.0, 18.0], QZYPirpsRW, 5759245]
[paragraph, [97.0, 705.0, 853.0, 18.0], QZYPirpsRW, 5759245]
[paragraph, [97.0, 723.0, 853.0, 18.0], QZYPirpsRW, 5759245]
[paragraph, [97.0, 741.0, 853.0, 18.0], QZYPirpsRW, 5759245]
[section-title, [178.0, 816.0, 768.0, 30.0], BxB-We653Q, 5759245]
[section-title, [178.0, 846.0, 768.0, 30.0], BxB-We653Q, 5759245]
[paragraph, [101.0, 912.0, 850.0, 18.0], shoonya_4s7L3NQXIAAQ1W, 5759245]
[paragraph, [101.0, 930.0, 850.0, 18.0], shoonya_4s7L3NQXIAAQ1W, 5759245]
[paragraph, [101.0, 948.0, 850.0, 18.0], shoonya_4s7L3NQXIAAQ1W, 5759245]
[paragraph, [101.0, 966.0, 850.0, 18.0], shoonya_4s7L3NQXIAAQ1W, 5759245]
[paragraph, [101.0, 984.0, 850.0, 18.0], shoonya_4s7L3NQXIAAQ1W, 5759245]
[paragraph, [101.0, 1002.0, 850.0, 18.0], shoonya_4s7L3NQXIAAQ1W, 5759245]
[paragraph, [101.0, 1020.0, 850.0, 18.0], shoonya_4s7L3NQXIAAQ1W, 5759245]
[paragraph, [101.0, 1038.0, 850.0, 18.0], shoonya_4s7L3NQXIAAQ1W, 5759245]
[paragraph, [101.0, 1056.0, 850.0, 18.0], shoonya_4s7L3NQXIAAQ1W, 5759245]
[ordered-list, [73.0, 1088.0, 906.0, 18.0], shoonya_5s2DVRDHBFAZCT, 5759245]
[ordered-list, [73.0, 1106.0, 906.0, 18.0], shoonya_5s2DVRDHBFAZCT, 5759245]
[ordered-list, [73.0, 1124.0, 906.0, 18.0], shoonya_5s2DVRDHBFAZCT, 5759245]
[ordered-list, [73.0, 1142.0, 906.0, 18.0], shoonya_5s2DVRDHBFAZCT, 5759245]
[ordered-list, [73.0, 1160.0, 906.0, 18.0], shoonya_5s2DVRDHBFAZCT, 5759245]
[ordered-list, [73.0, 1178.0, 906.0, 18.0], shoonya_5s2DVRDHBFAZCT, 5759245]
[ordered-list, [73.0, 1196.0, 906.0, 18.0], shoonya_5s2DVRDHBFAZCT, 5759245]
[ordered-list, [73.0, 1214.0, 906.0, 18.0], shoonya_5s2DVRDHBFAZCT, 5759245]
[ordered-list, [73.0, 1232.0, 906.0, 18.0], shoonya_5s2DVRDHBFAZCT, 5759245]
[ordered-list, [73.0, 1250.0, 906.0, 18.0], shoonya_5s2DVRDHBFAZCT, 5759245]
[ordered-list, [73.0, 1268.0, 906.0, 18.0], shoonya_5s2DVRDHBFAZCT, 5759245]
[ordered-list, [73.0, 1286.0, 906.0, 18.0], shoonya_5s2DVRDHBFAZCT, 5759245]
[folio, [96.0, 1339.0, 170.0, 18.0], shoonya_1sATHKDQ5H41EB, 5759245]
