[644, 393]
[folio, [166.0, 31.0, 78.0, 18.0], w9FsxhPQ7n, 6459026]
[paragraph, [26.0, 56.0, 340.0, 18.0], xuKxBiwR_u, 6459026]
[paragraph, [26.0, 74.0, 340.0, 18.0], xuKxBiwR_u, 6459026]
[paragraph, [26.0, 92.0, 340.0, 18.0], xuKxBiwR_u, 6459026]
[paragraph, [26.0, 110.0, 340.0, 18.0], xuKxBiwR_u, 6459026]
[paragraph, [26.0, 128.0, 340.0, 18.0], xuKxBiwR_u, 6459026]
[paragraph, [26.0, 146.0, 340.0, 18.0], xuKxBiwR_u, 6459026]
[paragraph, [26.0, 164.0, 340.0, 18.0], xuKxBiwR_u, 6459026]
[paragraph, [26.0, 182.0, 340.0, 18.0], xuKxBiwR_u, 6459026]
[paragraph, [26.0, 200.0, 340.0, 18.0], xuKxBiwR_u, 6459026]
[paragraph, [26.0, 218.0, 340.0, 18.0], xuKxBiwR_u, 6459026]
[paragraph, [26.0, 236.0, 340.0, 18.0], xuKxBiwR_u, 6459026]
[paragraph, [26.0, 254.0, 340.0, 18.0], xuKxBiwR_u, 6459026]
[paragraph, [26.0, 272.0, 340.0, 18.0], xuKxBiwR_u, 6459026]
[paragraph, [26.0, 290.0, 340.0, 18.0], xuKxBiwR_u, 6459026]
[paragraph, [26.0, 308.0, 340.0, 18.0], xuKxBiwR_u, 6459026]
[paragraph, [26.0, 326.0, 340.0, 18.0], xuKxBiwR_u, 6459026]
[paragraph, [26.0, 344.0, 340.0, 18.0], xuKxBiwR_u, 6459026]
[paragraph, [26.0, 362.0, 340.0, 18.0], xuKxBiwR_u, 6459026]
[paragraph, [26.0, 380.0, 340.0, 18.0], xuKxBiwR_u, 6459026]
[paragraph, [26.0, 398.0, 340.0, 18.0], xuKxBiwR_u, 6459026]
[paragraph, [26.0, 416.0, 340.0, 18.0], xuKxBiwR_u, 6459026]
[paragraph, [26.0, 434.0, 340.0, 18.0], xuKxBiwR_u, 6459026]
[paragraph, [26.0, 452.0, 340.0, 18.0], xuKxBiwR_u, 6459026]
[paragraph, [26.0, 470.0, 340.0, 18.0], xuKxBiwR_u, 6459026]
[paragraph, [26.0, 488.0, 340.0, 18.0], xuKxBiwR_u, 6459026]
[paragraph, [26.0, 506.0, 340.0, 18.0], xuKxBiwR_u, 6459026]
[paragraph, [26.0, 524.0, 340.0, 18.0], xuKxBiwR_u, 6459026]
[paragraph, [26.0, 542.0, 340.0, 18.0], xuKxBiwR_u, 6459026]
[paragraph, [26.0, 560.0, 340.0, 18.0], xuKxBiwR_u, 6459026]
[paragraph, [26.0, 578.0, 340.0, 18.0], xuKxBiwR_u, 6459026]
