[1162, 749]
[folio, [307.0, 77.0, 154.0, 18.0], shoonya_5sTG4QQ7PC7WAC, 5699791]
[paragraph, [87.0, 123.0, 583.0, 18.0], shoonya_2sJ6ALQ1Y2OV3M, 5699791]
[paragraph, [87.0, 141.0, 583.0, 18.0], shoonya_2sJ6ALQ1Y2OV3M, 5699791]
[paragraph, [87.0, 159.0, 583.0, 18.0], shoonya_2sJ6ALQ1Y2OV3M, 5699791]
[paragraph, [87.0, 177.0, 583.0, 18.0], shoonya_2sJ6ALQ1Y2OV3M, 5699791]
[paragraph, [87.0, 195.0, 583.0, 18.0], shoonya_2sJ6ALQ1Y2OV3M, 5699791]
[paragraph, [87.0, 213.0, 583.0, 18.0], shoonya_2sJ6ALQ1Y2OV3M, 5699791]
[paragraph, [87.0, 231.0, 583.0, 18.0], shoonya_2sJ6ALQ1Y2OV3M, 5699791]
[paragraph, [87.0, 249.0, 583.0, 18.0], shoonya_2sJ6ALQ1Y2OV3M, 5699791]
[paragraph, [87.0, 267.0, 583.0, 18.0], shoonya_2sJ6ALQ1Y2OV3M, 5699791]
[paragraph, [87.0, 285.0, 583.0, 18.0], shoonya_2sJ6ALQ1Y2OV3M, 5699791]
[paragraph, [87.0, 303.0, 583.0, 18.0], shoonya_2sJ6ALQ1Y2OV3M, 5699791]
[paragraph, [87.0, 331.0, 578.0, 18.0], shoonya_3sW2CT2ON0KWDD, 5699791]
[paragraph, [87.0, 349.0, 578.0, 18.0], shoonya_3sW2CT2ON0KWDD, 5699791]
[paragraph, [87.0, 367.0, 578.0, 18.0], shoonya_3sW2CT2ON0KWDD, 5699791]
[paragraph, [87.0, 385.0, 578.0, 18.0], shoonya_3sW2CT2ON0KWDD, 5699791]
[paragraph, [87.0, 403.0, 578.0, 18.0], shoonya_3sW2CT2ON0KWDD, 5699791]
[paragraph, [87.0, 421.0, 578.0, 18.0], shoonya_3sW2CT2ON0KWDD, 5699791]
[paragraph, [87.0, 439.0, 578.0, 18.0], shoonya_3sW2CT2ON0KWDD, 5699791]
[paragraph, [83.0, 470.0, 581.0, 18.0], shoonya_0sRL48T6N4OEPB, 5699791]
[paragraph, [83.0, 488.0, 581.0, 18.0], shoonya_0sRL48T6N4OEPB, 5699791]
[paragraph, [83.0, 506.0, 581.0, 18.0], shoonya_0sRL48T6N4OEPB, 5699791]
[paragraph, [83.0, 524.0, 581.0, 18.0], shoonya_0sRL48T6N4OEPB, 5699791]
[paragraph, [83.0, 542.0, 581.0, 18.0], shoonya_0sRL48T6N4OEPB, 5699791]
[paragraph, [83.0, 560.0, 581.0, 18.0], shoonya_0sRL48T6N4OEPB, 5699791]
[paragraph, [83.0, 578.0, 581.0, 18.0], shoonya_0sRL48T6N4OEPB, 5699791]
[paragraph, [83.0, 596.0, 581.0, 18.0], shoonya_0sRL48T6N4OEPB, 5699791]
[paragraph, [83.0, 614.0, 581.0, 18.0], shoonya_0sRL48T6N4OEPB, 5699791]
[paragraph, [83.0, 632.0, 581.0, 18.0], shoonya_0sRL48T6N4OEPB, 5699791]
[paragraph, [83.0, 650.0, 581.0, 18.0], shoonya_0sRL48T6N4OEPB, 5699791]
[paragraph, [83.0, 668.0, 581.0, 18.0], shoonya_0sRL48T6N4OEPB, 5699791]
[paragraph, [83.0, 686.0, 581.0, 18.0], shoonya_0sRL48T6N4OEPB, 5699791]
[paragraph, [83.0, 704.0, 581.0, 18.0], shoonya_0sRL48T6N4OEPB, 5699791]
[paragraph, [83.0, 722.0, 581.0, 18.0], shoonya_0sRL48T6N4OEPB, 5699791]
[paragraph, [83.0, 740.0, 581.0, 18.0], shoonya_0sRL48T6N4OEPB, 5699791]
[paragraph, [83.0, 758.0, 581.0, 18.0], shoonya_0sRL48T6N4OEPB, 5699791]
[paragraph, [83.0, 776.0, 581.0, 18.0], shoonya_0sRL48T6N4OEPB, 5699791]
[paragraph, [83.0, 794.0, 581.0, 18.0], shoonya_0sRL48T6N4OEPB, 5699791]
[paragraph, [83.0, 812.0, 581.0, 18.0], shoonya_0sRL48T6N4OEPB, 5699791]
[paragraph, [83.0, 830.0, 581.0, 18.0], shoonya_0sRL48T6N4OEPB, 5699791]
[paragraph, [83.0, 848.0, 581.0, 18.0], shoonya_0sRL48T6N4OEPB, 5699791]
[paragraph, [82.0, 882.0, 584.0, 18.0], shoonya_1sTW56UNY5FHWW, 5699791]
[paragraph, [82.0, 900.0, 584.0, 18.0], shoonya_1sTW56UNY5FHWW, 5699791]
[paragraph, [82.0, 918.0, 584.0, 18.0], shoonya_1sTW56UNY5FHWW, 5699791]
[paragraph, [82.0, 936.0, 584.0, 18.0], shoonya_1sTW56UNY5FHWW, 5699791]
[paragraph, [82.0, 954.0, 584.0, 18.0], shoonya_1sTW56UNY5FHWW, 5699791]
[paragraph, [82.0, 972.0, 584.0, 18.0], shoonya_1sTW56UNY5FHWW, 5699791]
[paragraph, [82.0, 990.0, 584.0, 18.0], shoonya_1sTW56UNY5FHWW, 5699791]
[paragraph, [82.0, 1008.0, 584.0, 18.0], shoonya_1sTW56UNY5FHWW, 5699791]
[paragraph, [82.0, 1026.0, 584.0, 18.0], shoonya_1sTW56UNY5FHWW, 5699791]
[paragraph, [82.0, 1044.0, 584.0, 18.0], shoonya_1sTW56UNY5FHWW, 5699791]
[paragraph, [82.0, 1062.0, 584.0, 18.0], shoonya_1sTW56UNY5FHWW, 5699791]
