[567, 454]
[paragraph, [35.0, 26.0, 195.0, 18.0], xjWlCvMx9v, 6460409]
[paragraph, [35.0, 44.0, 195.0, 18.0], xjWlCvMx9v, 6460409]
[paragraph, [35.0, 62.0, 195.0, 18.0], xjWlCvMx9v, 6460409]
[paragraph, [35.0, 80.0, 195.0, 18.0], xjWlCvMx9v, 6460409]
[paragraph, [35.0, 98.0, 195.0, 18.0], xjWlCvMx9v, 6460409]
[paragraph, [35.0, 116.0, 195.0, 18.0], xjWlCvMx9v, 6460409]
[paragraph, [35.0, 134.0, 195.0, 18.0], xjWlCvMx9v, 6460409]
[paragraph, [35.0, 152.0, 195.0, 18.0], xjWlCvMx9v, 6460409]
[paragraph, [35.0, 170.0, 195.0, 18.0], xjWlCvMx9v, 6460409]
[paragraph, [35.0, 188.0, 195.0, 18.0], xjWlCvMx9v, 6460409]
[paragraph, [35.0, 206.0, 195.0, 18.0], xjWlCvMx9v, 6460409]
[paragraph, [35.0, 224.0, 195.0, 18.0], xjWlCvMx9v, 6460409]
[paragraph, [35.0, 242.0, 195.0, 18.0], xjWlCvMx9v, 6460409]
[paragraph, [230.0, 270.0, 188.0, 18.0], t1guy7KnB4, 6460409]
[paragraph, [230.0, 288.0, 188.0, 18.0], t1guy7KnB4, 6460409]
[paragraph, [34.0, 275.0, 193.0, 18.0], 3okARfgYH8, 6460409]
[paragraph, [34.0, 293.0, 193.0, 18.0], 3okARfgYH8, 6460409]
[paragraph, [34.0, 311.0, 193.0, 18.0], 3okARfgYH8, 6460409]
[paragraph, [34.0, 329.0, 193.0, 18.0], 3okARfgYH8, 6460409]
[paragraph, [34.0, 347.0, 193.0, 18.0], 3okARfgYH8, 6460409]
[paragraph, [34.0, 365.0, 193.0, 18.0], 3okARfgYH8, 6460409]
[paragraph, [229.0, 313.0, 196.0, 18.0], gfnnJyTebm, 6460409]
[paragraph, [229.0, 331.0, 196.0, 18.0], gfnnJyTebm, 6460409]
[paragraph, [229.0, 349.0, 196.0, 18.0], gfnnJyTebm, 6460409]
[paragraph, [229.0, 367.0, 196.0, 18.0], gfnnJyTebm, 6460409]
[paragraph, [229.0, 385.0, 196.0, 18.0], gfnnJyTebm, 6460409]
[paragraph, [229.0, 403.0, 196.0, 18.0], gfnnJyTebm, 6460409]
[paragraph, [229.0, 421.0, 196.0, 18.0], gfnnJyTebm, 6460409]
[paragraph, [229.0, 439.0, 196.0, 18.0], gfnnJyTebm, 6460409]
[paragraph, [229.0, 457.0, 196.0, 18.0], gfnnJyTebm, 6460409]
[paragraph, [229.0, 475.0, 196.0, 18.0], gfnnJyTebm, 6460409]
[paragraph, [35.0, 386.0, 194.0, 18.0], MQHAiTBCSA, 6460409]
[paragraph, [35.0, 404.0, 194.0, 18.0], MQHAiTBCSA, 6460409]
[paragraph, [35.0, 422.0, 194.0, 18.0], MQHAiTBCSA, 6460409]
[paragraph, [35.0, 440.0, 194.0, 18.0], MQHAiTBCSA, 6460409]
[paragraph, [35.0, 458.0, 194.0, 18.0], MQHAiTBCSA, 6460409]
[paragraph, [35.0, 476.0, 194.0, 18.0], MQHAiTBCSA, 6460409]
[paragraph, [239.0, 496.0, 178.0, 18.0], mE1uoHL6-V, 6460409]
[paragraph, [34.0, 498.0, 197.0, 18.0], Au9_j9ydxw, 6460409]
