[1818, 1374]
[folio, [489.0, 188.0, 401.0, 36.0], shoonya_1sDBRH2F2LHC1V, 5683375]
[paragraph, [111.0, 250.0, 570.0, 36.0], shoonya_0sZHIEVY1OJ649, 5683375]
[paragraph, [111.0, 286.0, 570.0, 36.0], shoonya_0sZHIEVY1OJ649, 5683375]
[paragraph, [111.0, 322.0, 570.0, 36.0], shoonya_0sZHIEVY1OJ649, 5683375]
[paragraph, [111.0, 358.0, 570.0, 36.0], shoonya_0sZHIEVY1OJ649, 5683375]
[paragraph, [111.0, 394.0, 570.0, 36.0], shoonya_0sZHIEVY1OJ649, 5683375]
[paragraph, [111.0, 430.0, 570.0, 36.0], shoonya_0sZHIEVY1OJ649, 5683375]
[paragraph, [111.0, 466.0, 570.0, 36.0], shoonya_0sZHIEVY1OJ649, 5683375]
[paragraph, [111.0, 502.0, 570.0, 36.0], shoonya_0sZHIEVY1OJ649, 5683375]
[paragraph, [111.0, 538.0, 570.0, 36.0], shoonya_0sZHIEVY1OJ649, 5683375]
[paragraph, [111.0, 574.0, 570.0, 36.0], shoonya_0sZHIEVY1OJ649, 5683375]
[paragraph, [111.0, 610.0, 570.0, 36.0], shoonya_0sZHIEVY1OJ649, 5683375]
[paragraph, [111.0, 646.0, 570.0, 36.0], shoonya_0sZHIEVY1OJ649, 5683375]
[paragraph, [111.0, 682.0, 570.0, 36.0], shoonya_0sZHIEVY1OJ649, 5683375]
[paragraph, [111.0, 718.0, 570.0, 36.0], shoonya_0sZHIEVY1OJ649, 5683375]
[paragraph, [111.0, 754.0, 570.0, 36.0], shoonya_0sZHIEVY1OJ649, 5683375]
[paragraph, [111.0, 790.0, 570.0, 36.0], shoonya_0sZHIEVY1OJ649, 5683375]
[paragraph, [111.0, 826.0, 570.0, 36.0], shoonya_0sZHIEVY1OJ649, 5683375]
[paragraph, [111.0, 862.0, 570.0, 36.0], shoonya_0sZHIEVY1OJ649, 5683375]
[paragraph, [111.0, 898.0, 570.0, 36.0], shoonya_0sZHIEVY1OJ649, 5683375]
[paragraph, [111.0, 934.0, 570.0, 36.0], shoonya_0sZHIEVY1OJ649, 5683375]
[paragraph, [111.0, 970.0, 570.0, 36.0], shoonya_0sZHIEVY1OJ649, 5683375]
[paragraph, [111.0, 1006.0, 570.0, 36.0], shoonya_0sZHIEVY1OJ649, 5683375]
[paragraph, [111.0, 1042.0, 570.0, 36.0], shoonya_0sZHIEVY1OJ649, 5683375]
[paragraph, [111.0, 1078.0, 570.0, 36.0], shoonya_0sZHIEVY1OJ649, 5683375]
[paragraph, [111.0, 1114.0, 570.0, 36.0], shoonya_0sZHIEVY1OJ649, 5683375]
[paragraph, [111.0, 1150.0, 570.0, 36.0], shoonya_0sZHIEVY1OJ649, 5683375]
[paragraph, [111.0, 1186.0, 570.0, 36.0], shoonya_0sZHIEVY1OJ649, 5683375]
[paragraph, [111.0, 1222.0, 570.0, 36.0], shoonya_0sZHIEVY1OJ649, 5683375]
[paragraph, [111.0, 1258.0, 570.0, 36.0], shoonya_0sZHIEVY1OJ649, 5683375]
[paragraph, [111.0, 1294.0, 570.0, 36.0], shoonya_0sZHIEVY1OJ649, 5683375]
[paragraph, [111.0, 1330.0, 570.0, 36.0], shoonya_0sZHIEVY1OJ649, 5683375]
[paragraph, [111.0, 1366.0, 570.0, 36.0], shoonya_0sZHIEVY1OJ649, 5683375]
[paragraph, [111.0, 1402.0, 570.0, 36.0], shoonya_0sZHIEVY1OJ649, 5683375]
[paragraph, [111.0, 1438.0, 570.0, 36.0], shoonya_0sZHIEVY1OJ649, 5683375]
[paragraph, [111.0, 1474.0, 570.0, 36.0], shoonya_0sZHIEVY1OJ649, 5683375]
[paragraph, [111.0, 1510.0, 570.0, 36.0], shoonya_0sZHIEVY1OJ649, 5683375]
[paragraph, [111.0, 1546.0, 570.0, 36.0], shoonya_0sZHIEVY1OJ649, 5683375]
[paragraph, [111.0, 1582.0, 570.0, 36.0], shoonya_0sZHIEVY1OJ649, 5683375]
[paragraph, [111.0, 1618.0, 570.0, 36.0], shoonya_0sZHIEVY1OJ649, 5683375]
[paragraph, [111.0, 1654.0, 570.0, 36.0], shoonya_0sZHIEVY1OJ649, 5683375]
[paragraph, [702.0, 251.0, 565.0, 36.0], shoonya_2sK217BAMOZUTU, 5683375]
[paragraph, [702.0, 287.0, 565.0, 36.0], shoonya_2sK217BAMOZUTU, 5683375]
[paragraph, [702.0, 323.0, 565.0, 36.0], shoonya_2sK217BAMOZUTU, 5683375]
[paragraph, [702.0, 359.0, 565.0, 36.0], shoonya_2sK217BAMOZUTU, 5683375]
[paragraph, [702.0, 395.0, 565.0, 36.0], shoonya_2sK217BAMOZUTU, 5683375]
[paragraph, [702.0, 431.0, 565.0, 36.0], shoonya_2sK217BAMOZUTU, 5683375]
[paragraph, [702.0, 467.0, 565.0, 36.0], shoonya_2sK217BAMOZUTU, 5683375]
[paragraph, [702.0, 503.0, 565.0, 36.0], shoonya_2sK217BAMOZUTU, 5683375]
[paragraph, [702.0, 539.0, 565.0, 36.0], shoonya_2sK217BAMOZUTU, 5683375]
[paragraph, [702.0, 575.0, 565.0, 36.0], shoonya_2sK217BAMOZUTU, 5683375]
[paragraph, [702.0, 611.0, 565.0, 36.0], shoonya_2sK217BAMOZUTU, 5683375]
[paragraph, [702.0, 647.0, 565.0, 36.0], shoonya_2sK217BAMOZUTU, 5683375]
[paragraph, [702.0, 683.0, 565.0, 36.0], shoonya_2sK217BAMOZUTU, 5683375]
[paragraph, [702.0, 719.0, 565.0, 36.0], shoonya_2sK217BAMOZUTU, 5683375]
[paragraph, [700.0, 787.0, 566.0, 36.0], Gd854cyzDg, 5683375]
[paragraph, [700.0, 823.0, 566.0, 36.0], Gd854cyzDg, 5683375]
[paragraph, [700.0, 859.0, 566.0, 36.0], Gd854cyzDg, 5683375]
[paragraph, [700.0, 895.0, 566.0, 36.0], Gd854cyzDg, 5683375]
[paragraph, [700.0, 931.0, 566.0, 36.0], Gd854cyzDg, 5683375]
[paragraph, [698.0, 990.0, 565.0, 36.0], VqmOWFI20e, 5683375]
[paragraph, [698.0, 1026.0, 565.0, 36.0], VqmOWFI20e, 5683375]
[paragraph, [699.0, 1070.0, 563.0, 36.0], OE3MTI865o, 5683375]
[paragraph, [699.0, 1106.0, 563.0, 36.0], OE3MTI865o, 5683375]
[paragraph, [698.0, 1152.0, 562.0, 36.0], VL1ySz26Kr, 5683375]
[paragraph, [698.0, 1188.0, 562.0, 36.0], VL1ySz26Kr, 5683375]
[paragraph, [698.0, 1224.0, 562.0, 36.0], VL1ySz26Kr, 5683375]
[paragraph, [698.0, 1260.0, 562.0, 36.0], VL1ySz26Kr, 5683375]
