[827, 532]
[folio, [214.0, 54.0, 98.0, 18.0], shoonya_0sHMNFOYC82KO6, 5740977]
[paragraph, [44.0, 99.0, 443.0, 18.0], DITpoYetli, 5740977]
[paragraph, [44.0, 117.0, 443.0, 18.0], DITpoYetli, 5740977]
[paragraph, [44.0, 135.0, 443.0, 18.0], DITpoYetli, 5740977]
[paragraph, [44.0, 153.0, 443.0, 18.0], DITpoYetli, 5740977]
[paragraph, [43.0, 192.0, 451.0, 18.0], TudfC_nATr, 5740977]
[paragraph, [43.0, 210.0, 451.0, 18.0], TudfC_nATr, 5740977]
[paragraph, [43.0, 228.0, 451.0, 18.0], TudfC_nATr, 5740977]
[paragraph, [43.0, 246.0, 451.0, 18.0], TudfC_nATr, 5740977]
[paragraph, [43.0, 264.0, 451.0, 18.0], TudfC_nATr, 5740977]
[paragraph, [43.0, 282.0, 451.0, 18.0], TudfC_nATr, 5740977]
[paragraph, [43.0, 300.0, 451.0, 18.0], TudfC_nATr, 5740977]
[paragraph, [43.0, 318.0, 451.0, 18.0], TudfC_nATr, 5740977]
[paragraph, [43.0, 336.0, 451.0, 18.0], TudfC_nATr, 5740977]
[paragraph, [43.0, 354.0, 451.0, 18.0], TudfC_nATr, 5740977]
[paragraph, [43.0, 372.0, 451.0, 18.0], TudfC_nATr, 5740977]
[paragraph, [43.0, 390.0, 451.0, 18.0], TudfC_nATr, 5740977]
[paragraph, [43.0, 408.0, 451.0, 18.0], TudfC_nATr, 5740977]
[paragraph, [43.0, 426.0, 451.0, 18.0], TudfC_nATr, 5740977]
[paragraph, [43.0, 444.0, 451.0, 18.0], TudfC_nATr, 5740977]
[paragraph, [43.0, 462.0, 451.0, 18.0], TudfC_nATr, 5740977]
[paragraph, [43.0, 480.0, 451.0, 18.0], TudfC_nATr, 5740977]
[paragraph, [43.0, 498.0, 451.0, 18.0], TudfC_nATr, 5740977]
[paragraph, [43.0, 516.0, 451.0, 18.0], TudfC_nATr, 5740977]
[paragraph, [43.0, 534.0, 451.0, 18.0], TudfC_nATr, 5740977]
[paragraph, [43.0, 552.0, 451.0, 18.0], TudfC_nATr, 5740977]
[paragraph, [43.0, 570.0, 451.0, 18.0], TudfC_nATr, 5740977]
[paragraph, [43.0, 588.0, 451.0, 18.0], TudfC_nATr, 5740977]
[paragraph, [43.0, 606.0, 451.0, 18.0], TudfC_nATr, 5740977]
[paragraph, [43.0, 624.0, 451.0, 18.0], TudfC_nATr, 5740977]
[paragraph, [43.0, 642.0, 451.0, 18.0], TudfC_nATr, 5740977]
[paragraph, [43.0, 660.0, 451.0, 18.0], TudfC_nATr, 5740977]
[paragraph, [43.0, 678.0, 451.0, 18.0], TudfC_nATr, 5740977]
[paragraph, [43.0, 696.0, 451.0, 18.0], TudfC_nATr, 5740977]
[paragraph, [43.0, 714.0, 451.0, 18.0], TudfC_nATr, 5740977]
[paragraph, [43.0, 732.0, 451.0, 18.0], TudfC_nATr, 5740977]
[paragraph, [43.0, 750.0, 451.0, 18.0], TudfC_nATr, 5740977]
[footnote, [214.0, 785.0, 266.0, 18.0], tB3PLQU7rH, 5740977]
