[1754, 1241]
[paragraph, [214.0, 142.0, 888.0, 36.0], shoonya_1s5C0Y2Q86YGN8, 6470379]
[paragraph, [214.0, 178.0, 888.0, 36.0], shoonya_1s5C0Y2Q86YGN8, 6470379]
[paragraph, [214.0, 214.0, 888.0, 36.0], shoonya_1s5C0Y2Q86YGN8, 6470379]
[paragraph, [214.0, 250.0, 888.0, 36.0], shoonya_1s5C0Y2Q86YGN8, 6470379]
[paragraph, [214.0, 286.0, 888.0, 36.0], shoonya_1s5C0Y2Q86YGN8, 6470379]
[paragraph, [214.0, 322.0, 888.0, 36.0], shoonya_1s5C0Y2Q86YGN8, 6470379]
[paragraph, [214.0, 358.0, 888.0, 36.0], shoonya_1s5C0Y2Q86YGN8, 6470379]
[paragraph, [214.0, 394.0, 888.0, 36.0], shoonya_1s5C0Y2Q86YGN8, 6470379]
[paragraph, [214.0, 430.0, 888.0, 36.0], shoonya_1s5C0Y2Q86YGN8, 6470379]
[paragraph, [218.0, 487.0, 884.0, 36.0], shoonya_6s3HE8VGD36IXI, 6470379]
[paragraph, [218.0, 523.0, 884.0, 36.0], shoonya_6s3HE8VGD36IXI, 6470379]
[paragraph, [218.0, 559.0, 884.0, 36.0], shoonya_6s3HE8VGD36IXI, 6470379]
[paragraph, [218.0, 595.0, 884.0, 36.0], shoonya_6s3HE8VGD36IXI, 6470379]
[paragraph, [212.0, 662.0, 889.0, 36.0], shoonya_3s929CQLKBVXKR, 6470379]
[paragraph, [212.0, 698.0, 889.0, 36.0], shoonya_3s929CQLKBVXKR, 6470379]
[paragraph, [212.0, 734.0, 889.0, 36.0], shoonya_3s929CQLKBVXKR, 6470379]
[paragraph, [212.0, 770.0, 889.0, 36.0], shoonya_3s929CQLKBVXKR, 6470379]
[paragraph, [214.0, 833.0, 889.0, 36.0], shoonya_2sMRE5GDQI21UB, 6470379]
[paragraph, [214.0, 869.0, 889.0, 36.0], shoonya_2sMRE5GDQI21UB, 6470379]
[paragraph, [214.0, 905.0, 889.0, 36.0], shoonya_2sMRE5GDQI21UB, 6470379]
[paragraph, [214.0, 941.0, 889.0, 36.0], shoonya_2sMRE5GDQI21UB, 6470379]
[paragraph, [214.0, 977.0, 889.0, 36.0], shoonya_2sMRE5GDQI21UB, 6470379]
[paragraph, [214.0, 1013.0, 889.0, 36.0], shoonya_2sMRE5GDQI21UB, 6470379]
[paragraph, [214.0, 1049.0, 889.0, 36.0], shoonya_2sMRE5GDQI21UB, 6470379]
[paragraph, [214.0, 1085.0, 889.0, 36.0], shoonya_2sMRE5GDQI21UB, 6470379]
[paragraph, [214.0, 1121.0, 889.0, 36.0], shoonya_2sMRE5GDQI21UB, 6470379]
[paragraph, [214.0, 1179.0, 888.0, 36.0], shoonya_4s2LNKJ2S4XNID, 6470379]
[paragraph, [214.0, 1215.0, 888.0, 36.0], shoonya_4s2LNKJ2S4XNID, 6470379]
[paragraph, [214.0, 1251.0, 888.0, 36.0], shoonya_4s2LNKJ2S4XNID, 6470379]
[paragraph, [214.0, 1287.0, 888.0, 36.0], shoonya_4s2LNKJ2S4XNID, 6470379]
[paragraph, [214.0, 1323.0, 888.0, 36.0], shoonya_4s2LNKJ2S4XNID, 6470379]
[paragraph, [214.0, 1359.0, 888.0, 36.0], shoonya_4s2LNKJ2S4XNID, 6470379]
[paragraph, [214.0, 1395.0, 888.0, 36.0], shoonya_4s2LNKJ2S4XNID, 6470379]
[footnote, [214.0, 1484.0, 888.0, 36.0], shoonya_0sULRGFVMRYFLV, 6470379]
[footnote, [214.0, 1520.0, 888.0, 36.0], shoonya_0sULRGFVMRYFLV, 6470379]
[footnote, [214.0, 1556.0, 888.0, 36.0], shoonya_0sULRGFVMRYFLV, 6470379]
