[3509, 2482]
[folio, [868.0, 207.0, 493.0, 52.5], SF0P0sL1h8, 5691587]
[paragraph, [257.0, 362.0, 1675.0, 52.5], J50FhBrvkV, 5691587]
[paragraph, [257.0, 414.5, 1675.0, 52.5], J50FhBrvkV, 5691587]
[paragraph, [257.0, 467.0, 1675.0, 52.5], J50FhBrvkV, 5691587]
[paragraph, [257.0, 519.5, 1675.0, 52.5], J50FhBrvkV, 5691587]
[paragraph, [257.0, 572.0, 1675.0, 52.5], J50FhBrvkV, 5691587]
[paragraph, [257.0, 624.5, 1675.0, 52.5], J50FhBrvkV, 5691587]
[paragraph, [257.0, 677.0, 1675.0, 52.5], J50FhBrvkV, 5691587]
[paragraph, [257.0, 729.5, 1675.0, 52.5], J50FhBrvkV, 5691587]
[paragraph, [257.0, 782.0, 1675.0, 52.5], J50FhBrvkV, 5691587]
[paragraph, [257.0, 834.5, 1675.0, 52.5], J50FhBrvkV, 5691587]
[paragraph, [257.0, 887.0, 1675.0, 52.5], J50FhBrvkV, 5691587]
[paragraph, [257.0, 939.5, 1675.0, 52.5], J50FhBrvkV, 5691587]
[paragraph, [257.0, 992.0, 1675.0, 52.5], J50FhBrvkV, 5691587]
[paragraph, [257.0, 1044.5, 1675.0, 52.5], J50FhBrvkV, 5691587]
[paragraph, [257.0, 1097.0, 1675.0, 52.5], J50FhBrvkV, 5691587]
[paragraph, [257.0, 1149.5, 1675.0, 52.5], J50FhBrvkV, 5691587]
[paragraph, [257.0, 1202.0, 1675.0, 52.5], J50FhBrvkV, 5691587]
[paragraph, [257.0, 1254.5, 1675.0, 52.5], J50FhBrvkV, 5691587]
[paragraph, [257.0, 1307.0, 1675.0, 52.5], J50FhBrvkV, 5691587]
[paragraph, [257.0, 1359.5, 1675.0, 52.5], J50FhBrvkV, 5691587]
[paragraph, [257.0, 1412.0, 1675.0, 52.5], J50FhBrvkV, 5691587]
[paragraph, [257.0, 1464.5, 1675.0, 52.5], J50FhBrvkV, 5691587]
[paragraph, [257.0, 1517.0, 1675.0, 52.5], J50FhBrvkV, 5691587]
[paragraph, [257.0, 1569.5, 1675.0, 52.5], J50FhBrvkV, 5691587]
[section-title, [977.0, 1833.0, 269.0, 93.0], itEJcdZmgj, 5691587]
[paragraph, [231.0, 1971.0, 1775.0, 52.5], shoonya_0sEDIXUDGAZ0Y3, 5691587]
[paragraph, [231.0, 2023.5, 1775.0, 52.5], shoonya_0sEDIXUDGAZ0Y3, 5691587]
[paragraph, [231.0, 2076.0, 1775.0, 52.5], shoonya_0sEDIXUDGAZ0Y3, 5691587]
[paragraph, [231.0, 2128.5, 1775.0, 52.5], shoonya_0sEDIXUDGAZ0Y3, 5691587]
[paragraph, [231.0, 2181.0, 1775.0, 52.5], shoonya_0sEDIXUDGAZ0Y3, 5691587]
[paragraph, [231.0, 2233.5, 1775.0, 52.5], shoonya_0sEDIXUDGAZ0Y3, 5691587]
[paragraph, [231.0, 2286.0, 1775.0, 52.5], shoonya_0sEDIXUDGAZ0Y3, 5691587]
[paragraph, [231.0, 2338.5, 1775.0, 52.5], shoonya_0sEDIXUDGAZ0Y3, 5691587]
[paragraph, [231.0, 2391.0, 1775.0, 52.5], shoonya_0sEDIXUDGAZ0Y3, 5691587]
[paragraph, [231.0, 2443.5, 1775.0, 52.5], shoonya_0sEDIXUDGAZ0Y3, 5691587]
[paragraph, [231.0, 2496.0, 1775.0, 52.5], shoonya_0sEDIXUDGAZ0Y3, 5691587]
[paragraph, [231.0, 2548.5, 1775.0, 52.5], shoonya_0sEDIXUDGAZ0Y3, 5691587]
[paragraph, [231.0, 2601.0, 1775.0, 52.5], shoonya_0sEDIXUDGAZ0Y3, 5691587]
[paragraph, [231.0, 2653.5, 1775.0, 52.5], shoonya_0sEDIXUDGAZ0Y3, 5691587]
[paragraph, [231.0, 2706.0, 1775.0, 52.5], shoonya_0sEDIXUDGAZ0Y3, 5691587]
[paragraph, [231.0, 2758.5, 1775.0, 52.5], shoonya_0sEDIXUDGAZ0Y3, 5691587]
[paragraph, [231.0, 2811.0, 1775.0, 52.5], shoonya_0sEDIXUDGAZ0Y3, 5691587]
[paragraph, [231.0, 2863.5, 1775.0, 52.5], shoonya_0sEDIXUDGAZ0Y3, 5691587]
[paragraph, [229.0, 2925.0, 1821.0, 52.5], eA_96z8xhk, 5691587]
[paragraph, [229.0, 2977.5, 1821.0, 52.5], eA_96z8xhk, 5691587]
[paragraph, [214.0, 3080.0, 1793.0, 52.5], 3fO88xtfAk, 5691587]
[paragraph, [214.0, 3132.5, 1793.0, 52.5], 3fO88xtfAk, 5691587]
[paragraph, [214.0, 3185.0, 1793.0, 52.5], 3fO88xtfAk, 5691587]
[paragraph, [214.0, 3237.5, 1793.0, 52.5], 3fO88xtfAk, 5691587]
