[2200, 1700]
[paragraph, [274.0, 222.0, 1149.0, 36.0], shoonya_0sWXV9LYP241XO, 5686217]
[paragraph, [274.0, 258.0, 1149.0, 36.0], shoonya_0sWXV9LYP241XO, 5686217]
[paragraph, [274.0, 294.0, 1149.0, 36.0], shoonya_0sWXV9LYP241XO, 5686217]
[paragraph, [274.0, 330.0, 1149.0, 36.0], shoonya_0sWXV9LYP241XO, 5686217]
[paragraph, [274.0, 366.0, 1149.0, 36.0], shoonya_0sWXV9LYP241XO, 5686217]
[paragraph, [274.0, 402.0, 1149.0, 36.0], shoonya_0sWXV9LYP241XO, 5686217]
[paragraph, [275.0, 491.0, 524.0, 36.0], shoonya_1sJ0J8Q1SZZLS0, 5686217]
[reference, [807.0, 499.0, 225.0, 36.0], -c-L8GANrs, 5686217]
[paragraph, [281.0, 588.0, 1134.0, 36.0], shoonya_3sF37EZ7O7I2SR, 5686217]
[paragraph, [281.0, 624.0, 1134.0, 36.0], shoonya_3sF37EZ7O7I2SR, 5686217]
[paragraph, [281.0, 660.0, 1134.0, 36.0], shoonya_3sF37EZ7O7I2SR, 5686217]
[paragraph, [281.0, 696.0, 1134.0, 36.0], shoonya_3sF37EZ7O7I2SR, 5686217]
[paragraph, [275.0, 762.0, 1147.0, 36.0], shoonya_7sWIQJIVBIJXGE, 5686217]
[paragraph, [275.0, 798.0, 1147.0, 36.0], shoonya_7sWIQJIVBIJXGE, 5686217]
[paragraph, [275.0, 834.0, 1147.0, 36.0], shoonya_7sWIQJIVBIJXGE, 5686217]
[paragraph, [275.0, 870.0, 1147.0, 36.0], shoonya_7sWIQJIVBIJXGE, 5686217]
[paragraph, [275.0, 906.0, 1147.0, 36.0], shoonya_7sWIQJIVBIJXGE, 5686217]
[paragraph, [275.0, 942.0, 1147.0, 36.0], shoonya_7sWIQJIVBIJXGE, 5686217]
[paragraph, [275.0, 978.0, 1147.0, 36.0], shoonya_7sWIQJIVBIJXGE, 5686217]
[paragraph, [275.0, 1014.0, 1147.0, 36.0], shoonya_7sWIQJIVBIJXGE, 5686217]
[paragraph, [275.0, 1050.0, 1147.0, 36.0], shoonya_7sWIQJIVBIJXGE, 5686217]
[paragraph, [275.0, 1086.0, 1147.0, 36.0], shoonya_7sWIQJIVBIJXGE, 5686217]
[paragraph, [275.0, 1122.0, 1147.0, 36.0], shoonya_7sWIQJIVBIJXGE, 5686217]
[paragraph, [275.0, 1158.0, 1147.0, 36.0], shoonya_7sWIQJIVBIJXGE, 5686217]
[paragraph, [275.0, 1194.0, 1147.0, 36.0], shoonya_7sWIQJIVBIJXGE, 5686217]
[paragraph, [275.0, 1230.0, 1147.0, 36.0], shoonya_7sWIQJIVBIJXGE, 5686217]
[paragraph, [277.0, 1316.0, 1141.0, 36.0], shoonya_4sO91DDWC8L2PM, 5686217]
[paragraph, [277.0, 1352.0, 1141.0, 36.0], shoonya_4sO91DDWC8L2PM, 5686217]
[paragraph, [277.0, 1388.0, 1141.0, 36.0], shoonya_4sO91DDWC8L2PM, 5686217]
[paragraph, [277.0, 1424.0, 1141.0, 36.0], shoonya_4sO91DDWC8L2PM, 5686217]
[paragraph, [277.0, 1460.0, 1141.0, 36.0], shoonya_4sO91DDWC8L2PM, 5686217]
[paragraph, [277.0, 1496.0, 1141.0, 36.0], shoonya_4sO91DDWC8L2PM, 5686217]
[ordered-list, [389.0, 1592.0, 205.0, 36.0], shoonya_6sQWOXGQCM2PL7, 5686217]
[ordered-list, [389.0, 1628.0, 205.0, 36.0], shoonya_6sQWOXGQCM2PL7, 5686217]
[ordered-list, [389.0, 1664.0, 205.0, 36.0], shoonya_6sQWOXGQCM2PL7, 5686217]
[ordered-list, [389.0, 1700.0, 205.0, 36.0], shoonya_6sQWOXGQCM2PL7, 5686217]
[ordered-list, [389.0, 1736.0, 205.0, 36.0], shoonya_6sQWOXGQCM2PL7, 5686217]
[ordered-list, [389.0, 1772.0, 205.0, 36.0], shoonya_6sQWOXGQCM2PL7, 5686217]
[ordered-list, [389.0, 1808.0, 205.0, 36.0], shoonya_6sQWOXGQCM2PL7, 5686217]
[ordered-list, [389.0, 1844.0, 205.0, 36.0], shoonya_6sQWOXGQCM2PL7, 5686217]
[ordered-list, [389.0, 1880.0, 205.0, 36.0], shoonya_6sQWOXGQCM2PL7, 5686217]
