[1650, 1275]
[paragraph, [139.0, 105.0, 1006.0, 36.0], shoonya_1s7RWHOLS9KNPX, 5774580]
[paragraph, [139.0, 141.0, 1006.0, 36.0], shoonya_1s7RWHOLS9KNPX, 5774580]
[paragraph, [139.0, 177.0, 1006.0, 36.0], shoonya_1s7RWHOLS9KNPX, 5774580]
[paragraph, [139.0, 213.0, 1006.0, 36.0], shoonya_1s7RWHOLS9KNPX, 5774580]
[paragraph, [139.0, 249.0, 1006.0, 36.0], shoonya_1s7RWHOLS9KNPX, 5774580]
[paragraph, [139.0, 285.0, 1006.0, 36.0], shoonya_1s7RWHOLS9KNPX, 5774580]
[paragraph, [139.0, 321.0, 1006.0, 36.0], shoonya_1s7RWHOLS9KNPX, 5774580]
[paragraph, [139.0, 357.0, 1006.0, 36.0], shoonya_1s7RWHOLS9KNPX, 5774580]
[paragraph, [139.0, 393.0, 1006.0, 36.0], shoonya_1s7RWHOLS9KNPX, 5774580]
[paragraph, [139.0, 429.0, 1006.0, 36.0], shoonya_1s7RWHOLS9KNPX, 5774580]
[paragraph, [139.0, 465.0, 1006.0, 36.0], shoonya_1s7RWHOLS9KNPX, 5774580]
[paragraph, [139.0, 501.0, 1006.0, 36.0], shoonya_1s7RWHOLS9KNPX, 5774580]
[paragraph, [139.0, 537.0, 1006.0, 36.0], shoonya_1s7RWHOLS9KNPX, 5774580]
[paragraph, [139.0, 573.0, 1006.0, 36.0], shoonya_1s7RWHOLS9KNPX, 5774580]
[paragraph, [139.0, 609.0, 1006.0, 36.0], shoonya_1s7RWHOLS9KNPX, 5774580]
[paragraph, [139.0, 645.0, 1006.0, 36.0], shoonya_1s7RWHOLS9KNPX, 5774580]
[paragraph, [139.0, 681.0, 1006.0, 36.0], shoonya_1s7RWHOLS9KNPX, 5774580]
[paragraph, [139.0, 717.0, 1006.0, 36.0], shoonya_1s7RWHOLS9KNPX, 5774580]
[paragraph, [139.0, 753.0, 1006.0, 36.0], shoonya_1s7RWHOLS9KNPX, 5774580]
[paragraph, [139.0, 789.0, 1006.0, 36.0], shoonya_1s7RWHOLS9KNPX, 5774580]
[paragraph, [139.0, 825.0, 1006.0, 36.0], shoonya_1s7RWHOLS9KNPX, 5774580]
[paragraph, [139.0, 861.0, 1006.0, 36.0], shoonya_1s7RWHOLS9KNPX, 5774580]
[paragraph, [139.0, 897.0, 1006.0, 36.0], shoonya_1s7RWHOLS9KNPX, 5774580]
[paragraph, [139.0, 933.0, 1006.0, 36.0], shoonya_1s7RWHOLS9KNPX, 5774580]
[paragraph, [139.0, 969.0, 1006.0, 36.0], shoonya_1s7RWHOLS9KNPX, 5774580]
[paragraph, [139.0, 1005.0, 1006.0, 36.0], shoonya_1s7RWHOLS9KNPX, 5774580]
[paragraph, [139.0, 1041.0, 1006.0, 36.0], shoonya_1s7RWHOLS9KNPX, 5774580]
[paragraph, [139.0, 1077.0, 1006.0, 36.0], shoonya_1s7RWHOLS9KNPX, 5774580]
[paragraph, [139.0, 1113.0, 1006.0, 36.0], shoonya_1s7RWHOLS9KNPX, 5774580]
[paragraph, [139.0, 1149.0, 1006.0, 36.0], shoonya_1s7RWHOLS9KNPX, 5774580]
[paragraph, [139.0, 1185.0, 1006.0, 36.0], shoonya_1s7RWHOLS9KNPX, 5774580]
[paragraph, [139.0, 1221.0, 1006.0, 36.0], shoonya_1s7RWHOLS9KNPX, 5774580]
[paragraph, [139.0, 1257.0, 1006.0, 36.0], shoonya_1s7RWHOLS9KNPX, 5774580]
[paragraph, [139.0, 1293.0, 1006.0, 36.0], shoonya_1s7RWHOLS9KNPX, 5774580]
[paragraph, [139.0, 1329.0, 1006.0, 36.0], shoonya_1s7RWHOLS9KNPX, 5774580]
[paragraph, [139.0, 1365.0, 1006.0, 36.0], shoonya_1s7RWHOLS9KNPX, 5774580]
[paragraph, [139.0, 1401.0, 1006.0, 36.0], shoonya_1s7RWHOLS9KNPX, 5774580]
[paragraph, [139.0, 1437.0, 1006.0, 36.0], shoonya_1s7RWHOLS9KNPX, 5774580]
[paragraph, [139.0, 1473.0, 1006.0, 36.0], shoonya_1s7RWHOLS9KNPX, 5774580]
[paragraph, [135.0, 1570.0, 285.0, 36.0], jrwY4i-210, 5774580]
[website-link, [280.0, 1576.0, 132.0, 18.0], F-eQNJNCgw, 5774580]
