[4767, 3325]
[folio, [1762.0, 361.0, 993.0, 52.5], shoonya_2sGWWVMFHRI0NG, 5709905]
[folio, [1762.0, 413.5, 993.0, 52.5], shoonya_2sGWWVMFHRI0NG, 5709905]
[paragraph, [303.0, 507.0, 2497.0, 52.5], mcbrD3CcBM, 5709905]
[paragraph, [303.0, 559.5, 2497.0, 52.5], mcbrD3CcBM, 5709905]
[paragraph, [303.0, 612.0, 2497.0, 52.5], mcbrD3CcBM, 5709905]
[paragraph, [303.0, 664.5, 2497.0, 52.5], mcbrD3CcBM, 5709905]
[paragraph, [303.0, 717.0, 2497.0, 52.5], mcbrD3CcBM, 5709905]
[paragraph, [303.0, 769.5, 2497.0, 52.5], mcbrD3CcBM, 5709905]
[paragraph, [303.0, 822.0, 2497.0, 52.5], mcbrD3CcBM, 5709905]
[paragraph, [303.0, 874.5, 2497.0, 52.5], mcbrD3CcBM, 5709905]
[paragraph, [303.0, 927.0, 2497.0, 52.5], mcbrD3CcBM, 5709905]
[paragraph, [303.0, 979.5, 2497.0, 52.5], mcbrD3CcBM, 5709905]
[paragraph, [303.0, 1032.0, 2497.0, 52.5], mcbrD3CcBM, 5709905]
[paragraph, [303.0, 1130.0, 2522.0, 52.5], R0jb2RCW8T, 5709905]
[paragraph, [303.0, 1182.5, 2522.0, 52.5], R0jb2RCW8T, 5709905]
[paragraph, [303.0, 1235.0, 2522.0, 52.5], R0jb2RCW8T, 5709905]
[paragraph, [303.0, 1287.5, 2522.0, 52.5], R0jb2RCW8T, 5709905]
[paragraph, [303.0, 1340.0, 2522.0, 52.5], R0jb2RCW8T, 5709905]
[paragraph, [303.0, 1392.5, 2522.0, 52.5], R0jb2RCW8T, 5709905]
[paragraph, [303.0, 1445.0, 2522.0, 52.5], R0jb2RCW8T, 5709905]
[paragraph, [303.0, 1497.5, 2522.0, 52.5], R0jb2RCW8T, 5709905]
[paragraph, [303.0, 1550.0, 2522.0, 52.5], R0jb2RCW8T, 5709905]
[paragraph, [303.0, 1602.5, 2522.0, 52.5], R0jb2RCW8T, 5709905]
[paragraph, [303.0, 1655.0, 2522.0, 52.5], R0jb2RCW8T, 5709905]
[paragraph, [315.0, 1733.0, 2485.0, 52.5], AfvY1lcFvD, 5709905]
[paragraph, [315.0, 1785.5, 2485.0, 52.5], AfvY1lcFvD, 5709905]
[paragraph, [315.0, 1838.0, 2485.0, 52.5], AfvY1lcFvD, 5709905]
[paragraph, [315.0, 1890.5, 2485.0, 52.5], AfvY1lcFvD, 5709905]
[paragraph, [315.0, 1943.0, 2485.0, 52.5], AfvY1lcFvD, 5709905]
[paragraph, [315.0, 1995.5, 2485.0, 52.5], AfvY1lcFvD, 5709905]
[paragraph, [315.0, 2048.0, 2485.0, 52.5], AfvY1lcFvD, 5709905]
[paragraph, [315.0, 2100.5, 2485.0, 52.5], AfvY1lcFvD, 5709905]
[paragraph, [315.0, 2153.0, 2485.0, 52.5], AfvY1lcFvD, 5709905]
[paragraph, [315.0, 2205.5, 2485.0, 52.5], AfvY1lcFvD, 5709905]
[paragraph, [315.0, 2258.0, 2485.0, 52.5], AfvY1lcFvD, 5709905]
[paragraph, [315.0, 2310.5, 2485.0, 52.5], AfvY1lcFvD, 5709905]
[paragraph, [315.0, 2363.0, 2485.0, 52.5], AfvY1lcFvD, 5709905]
[paragraph, [315.0, 2415.5, 2485.0, 52.5], AfvY1lcFvD, 5709905]
[paragraph, [315.0, 2468.0, 2485.0, 52.5], AfvY1lcFvD, 5709905]
[paragraph, [315.0, 2520.5, 2485.0, 52.5], AfvY1lcFvD, 5709905]
[paragraph, [315.0, 2573.0, 2485.0, 52.5], AfvY1lcFvD, 5709905]
[paragraph, [315.0, 2625.5, 2485.0, 52.5], AfvY1lcFvD, 5709905]
[paragraph, [315.0, 2678.0, 2485.0, 52.5], AfvY1lcFvD, 5709905]
[paragraph, [315.0, 2730.5, 2485.0, 52.5], AfvY1lcFvD, 5709905]
[paragraph, [315.0, 2783.0, 2485.0, 52.5], AfvY1lcFvD, 5709905]
[paragraph, [315.0, 2835.5, 2485.0, 52.5], AfvY1lcFvD, 5709905]
[paragraph, [315.0, 2888.0, 2485.0, 52.5], AfvY1lcFvD, 5709905]
[paragraph, [315.0, 2940.5, 2485.0, 52.5], AfvY1lcFvD, 5709905]
[paragraph, [315.0, 2993.0, 2485.0, 52.5], AfvY1lcFvD, 5709905]
[paragraph, [315.0, 3045.5, 2485.0, 52.5], AfvY1lcFvD, 5709905]
[paragraph, [315.0, 3098.0, 2485.0, 52.5], AfvY1lcFvD, 5709905]
[paragraph, [315.0, 3150.5, 2485.0, 52.5], AfvY1lcFvD, 5709905]
[paragraph, [315.0, 3203.0, 2485.0, 52.5], AfvY1lcFvD, 5709905]
[paragraph, [315.0, 3255.5, 2485.0, 52.5], AfvY1lcFvD, 5709905]
[paragraph, [315.0, 3308.0, 2485.0, 52.5], AfvY1lcFvD, 5709905]
[paragraph, [315.0, 3360.5, 2485.0, 52.5], AfvY1lcFvD, 5709905]
[paragraph, [311.0, 3428.0, 2481.0, 52.5], omY5jq5F28, 5709905]
[paragraph, [311.0, 3480.5, 2481.0, 52.5], omY5jq5F28, 5709905]
[paragraph, [311.0, 3533.0, 2481.0, 52.5], omY5jq5F28, 5709905]
[paragraph, [311.0, 3585.5, 2481.0, 52.5], omY5jq5F28, 5709905]
[paragraph, [311.0, 3638.0, 2481.0, 52.5], omY5jq5F28, 5709905]
[paragraph, [311.0, 3690.5, 2481.0, 52.5], omY5jq5F28, 5709905]
[paragraph, [311.0, 3743.0, 2481.0, 52.5], omY5jq5F28, 5709905]
[paragraph, [311.0, 3795.5, 2481.0, 52.5], omY5jq5F28, 5709905]
[paragraph, [311.0, 3848.0, 2481.0, 52.5], omY5jq5F28, 5709905]
[paragraph, [311.0, 3900.5, 2481.0, 52.5], omY5jq5F28, 5709905]
[paragraph, [311.0, 3953.0, 2481.0, 52.5], omY5jq5F28, 5709905]
[paragraph, [311.0, 4005.5, 2481.0, 52.5], omY5jq5F28, 5709905]
[paragraph, [311.0, 4058.0, 2481.0, 52.5], omY5jq5F28, 5709905]
[paragraph, [311.0, 4110.5, 2481.0, 52.5], omY5jq5F28, 5709905]
