[554, 326]
[paragraph, [27.0, 46.0, 282.0, 18.0], shoonya_3sHHVBHFTBTEFF, 5680990]
[paragraph, [26.0, 76.0, 284.0, 18.0], shoonya_1sQT79M10NC1LC, 5680990]
[paragraph, [26.0, 94.0, 284.0, 18.0], shoonya_1sQT79M10NC1LC, 5680990]
[paragraph, [26.0, 112.0, 284.0, 18.0], shoonya_1sQT79M10NC1LC, 5680990]
[paragraph, [26.0, 130.0, 284.0, 18.0], shoonya_1sQT79M10NC1LC, 5680990]
[paragraph, [26.0, 148.0, 284.0, 18.0], shoonya_1sQT79M10NC1LC, 5680990]
[paragraph, [26.0, 166.0, 284.0, 18.0], shoonya_1sQT79M10NC1LC, 5680990]
[paragraph, [26.0, 184.0, 284.0, 18.0], shoonya_1sQT79M10NC1LC, 5680990]
[paragraph, [26.0, 202.0, 284.0, 18.0], shoonya_1sQT79M10NC1LC, 5680990]
[paragraph, [26.0, 220.0, 284.0, 18.0], shoonya_1sQT79M10NC1LC, 5680990]
[paragraph, [26.0, 238.0, 284.0, 18.0], shoonya_1sQT79M10NC1LC, 5680990]
[paragraph, [26.0, 256.0, 284.0, 18.0], shoonya_1sQT79M10NC1LC, 5680990]
[paragraph, [27.0, 321.0, 281.0, 18.0], shoonya_0sOFK6HCGCVZNB, 5680990]
[paragraph, [27.0, 339.0, 281.0, 18.0], shoonya_0sOFK6HCGCVZNB, 5680990]
[paragraph, [27.0, 357.0, 281.0, 18.0], shoonya_0sOFK6HCGCVZNB, 5680990]
[paragraph, [27.0, 375.0, 281.0, 18.0], shoonya_0sOFK6HCGCVZNB, 5680990]
[paragraph, [27.0, 393.0, 281.0, 18.0], shoonya_0sOFK6HCGCVZNB, 5680990]
[paragraph, [27.0, 411.0, 281.0, 18.0], shoonya_0sOFK6HCGCVZNB, 5680990]
[paragraph, [27.0, 429.0, 281.0, 18.0], shoonya_0sOFK6HCGCVZNB, 5680990]
[paragraph, [27.0, 447.0, 281.0, 18.0], shoonya_0sOFK6HCGCVZNB, 5680990]
[paragraph, [27.0, 465.0, 281.0, 18.0], shoonya_0sOFK6HCGCVZNB, 5680990]
[paragraph, [27.0, 483.0, 281.0, 18.0], shoonya_0sOFK6HCGCVZNB, 5680990]
[paragraph, [27.0, 501.0, 281.0, 18.0], shoonya_0sOFK6HCGCVZNB, 5680990]
