[819, 612]
[folio, [325.0, 90.0, 89.0, 18.0], shoonya_2sRHUEQQONLXHK, 6460688]
[paragraph, [207.0, 127.0, 326.0, 18.0], shoonya_0s1XTDNVJGUJSS, 6460688]
[paragraph, [207.0, 145.0, 326.0, 18.0], shoonya_0s1XTDNVJGUJSS, 6460688]
[paragraph, [207.0, 163.0, 326.0, 18.0], shoonya_0s1XTDNVJGUJSS, 6460688]
[paragraph, [207.0, 181.0, 326.0, 18.0], shoonya_0s1XTDNVJGUJSS, 6460688]
[paragraph, [207.0, 199.0, 326.0, 18.0], shoonya_0s1XTDNVJGUJSS, 6460688]
[paragraph, [207.0, 217.0, 326.0, 18.0], shoonya_0s1XTDNVJGUJSS, 6460688]
[paragraph, [207.0, 235.0, 326.0, 18.0], shoonya_0s1XTDNVJGUJSS, 6460688]
[paragraph, [207.0, 253.0, 326.0, 18.0], shoonya_0s1XTDNVJGUJSS, 6460688]
[paragraph, [207.0, 271.0, 326.0, 18.0], shoonya_0s1XTDNVJGUJSS, 6460688]
[paragraph, [207.0, 289.0, 326.0, 18.0], shoonya_0s1XTDNVJGUJSS, 6460688]
[paragraph, [207.0, 307.0, 326.0, 18.0], shoonya_0s1XTDNVJGUJSS, 6460688]
[paragraph, [207.0, 325.0, 326.0, 18.0], shoonya_0s1XTDNVJGUJSS, 6460688]
[paragraph, [207.0, 343.0, 326.0, 18.0], shoonya_0s1XTDNVJGUJSS, 6460688]
[paragraph, [207.0, 361.0, 326.0, 18.0], shoonya_0s1XTDNVJGUJSS, 6460688]
[paragraph, [207.0, 379.0, 326.0, 18.0], shoonya_0s1XTDNVJGUJSS, 6460688]
[paragraph, [207.0, 397.0, 326.0, 18.0], shoonya_0s1XTDNVJGUJSS, 6460688]
[paragraph, [207.0, 415.0, 326.0, 18.0], shoonya_0s1XTDNVJGUJSS, 6460688]
[paragraph, [207.0, 433.0, 326.0, 18.0], shoonya_0s1XTDNVJGUJSS, 6460688]
[paragraph, [207.0, 451.0, 326.0, 18.0], shoonya_0s1XTDNVJGUJSS, 6460688]
[paragraph, [207.0, 469.0, 326.0, 18.0], shoonya_0s1XTDNVJGUJSS, 6460688]
[paragraph, [207.0, 487.0, 326.0, 18.0], shoonya_0s1XTDNVJGUJSS, 6460688]
[paragraph, [207.0, 505.0, 326.0, 18.0], shoonya_0s1XTDNVJGUJSS, 6460688]
[paragraph, [207.0, 523.0, 326.0, 18.0], shoonya_0s1XTDNVJGUJSS, 6460688]
[paragraph, [207.0, 541.0, 326.0, 18.0], shoonya_0s1XTDNVJGUJSS, 6460688]
[paragraph, [207.0, 559.0, 326.0, 18.0], shoonya_0s1XTDNVJGUJSS, 6460688]
[paragraph, [207.0, 577.0, 326.0, 18.0], shoonya_0s1XTDNVJGUJSS, 6460688]
[paragraph, [207.0, 595.0, 326.0, 18.0], shoonya_0s1XTDNVJGUJSS, 6460688]
[paragraph, [207.0, 613.0, 326.0, 18.0], shoonya_0s1XTDNVJGUJSS, 6460688]
