[1606, 1056]
[folio, [444.0, 102.0, 158.0, 36.0], shoonya_1s8U74AKQD2EDY, 5683636]
[paragraph, [95.0, 147.0, 876.0, 36.0], shoonya_0sMUNZ1EBGZ2F8, 5683636]
[paragraph, [95.0, 183.0, 876.0, 36.0], shoonya_0sMUNZ1EBGZ2F8, 5683636]
[paragraph, [95.0, 219.0, 876.0, 36.0], shoonya_0sMUNZ1EBGZ2F8, 5683636]
[paragraph, [95.0, 255.0, 876.0, 36.0], shoonya_0sMUNZ1EBGZ2F8, 5683636]
[paragraph, [95.0, 291.0, 876.0, 36.0], shoonya_0sMUNZ1EBGZ2F8, 5683636]
[paragraph, [95.0, 327.0, 876.0, 36.0], shoonya_0sMUNZ1EBGZ2F8, 5683636]
[paragraph, [95.0, 363.0, 876.0, 36.0], shoonya_0sMUNZ1EBGZ2F8, 5683636]
[paragraph, [95.0, 399.0, 876.0, 36.0], shoonya_0sMUNZ1EBGZ2F8, 5683636]
[paragraph, [95.0, 435.0, 876.0, 36.0], shoonya_0sMUNZ1EBGZ2F8, 5683636]
[paragraph, [95.0, 471.0, 876.0, 36.0], shoonya_0sMUNZ1EBGZ2F8, 5683636]
[paragraph, [95.0, 507.0, 876.0, 36.0], shoonya_0sMUNZ1EBGZ2F8, 5683636]
[paragraph, [95.0, 543.0, 876.0, 36.0], shoonya_0sMUNZ1EBGZ2F8, 5683636]
[paragraph, [95.0, 579.0, 876.0, 36.0], shoonya_0sMUNZ1EBGZ2F8, 5683636]
[paragraph, [95.0, 615.0, 876.0, 36.0], shoonya_0sMUNZ1EBGZ2F8, 5683636]
[paragraph, [95.0, 651.0, 876.0, 36.0], shoonya_0sMUNZ1EBGZ2F8, 5683636]
[paragraph, [95.0, 687.0, 876.0, 36.0], shoonya_0sMUNZ1EBGZ2F8, 5683636]
[paragraph, [95.0, 723.0, 876.0, 36.0], shoonya_0sMUNZ1EBGZ2F8, 5683636]
[paragraph, [95.0, 759.0, 876.0, 36.0], shoonya_0sMUNZ1EBGZ2F8, 5683636]
[paragraph, [95.0, 795.0, 876.0, 36.0], shoonya_0sMUNZ1EBGZ2F8, 5683636]
[paragraph, [95.0, 831.0, 876.0, 36.0], shoonya_0sMUNZ1EBGZ2F8, 5683636]
[paragraph, [95.0, 867.0, 876.0, 36.0], shoonya_0sMUNZ1EBGZ2F8, 5683636]
[paragraph, [95.0, 903.0, 876.0, 36.0], shoonya_0sMUNZ1EBGZ2F8, 5683636]
[paragraph, [95.0, 939.0, 876.0, 36.0], shoonya_0sMUNZ1EBGZ2F8, 5683636]
[paragraph, [95.0, 975.0, 876.0, 36.0], shoonya_0sMUNZ1EBGZ2F8, 5683636]
[paragraph, [95.0, 1011.0, 876.0, 36.0], shoonya_0sMUNZ1EBGZ2F8, 5683636]
[paragraph, [95.0, 1047.0, 876.0, 36.0], shoonya_0sMUNZ1EBGZ2F8, 5683636]
[paragraph, [95.0, 1083.0, 876.0, 36.0], shoonya_0sMUNZ1EBGZ2F8, 5683636]
[paragraph, [95.0, 1119.0, 876.0, 36.0], shoonya_0sMUNZ1EBGZ2F8, 5683636]
[paragraph, [95.0, 1155.0, 876.0, 36.0], shoonya_0sMUNZ1EBGZ2F8, 5683636]
[paragraph, [95.0, 1191.0, 876.0, 36.0], shoonya_0sMUNZ1EBGZ2F8, 5683636]
[paragraph, [95.0, 1227.0, 876.0, 36.0], shoonya_0sMUNZ1EBGZ2F8, 5683636]
[paragraph, [95.0, 1263.0, 876.0, 36.0], shoonya_0sMUNZ1EBGZ2F8, 5683636]
[paragraph, [95.0, 1299.0, 876.0, 36.0], shoonya_0sMUNZ1EBGZ2F8, 5683636]
[paragraph, [95.0, 1335.0, 876.0, 36.0], shoonya_0sMUNZ1EBGZ2F8, 5683636]
[paragraph, [95.0, 1371.0, 876.0, 36.0], shoonya_0sMUNZ1EBGZ2F8, 5683636]
[paragraph, [95.0, 1407.0, 876.0, 36.0], shoonya_0sMUNZ1EBGZ2F8, 5683636]
[paragraph, [95.0, 1443.0, 876.0, 36.0], shoonya_0sMUNZ1EBGZ2F8, 5683636]
[paragraph, [95.0, 1479.0, 876.0, 36.0], shoonya_0sMUNZ1EBGZ2F8, 5683636]
