[1275, 1650]
[unordered-list, [45.0, 93.0, 464.0, 18.0], shoonya_8sQU7T09CVWDN9, 6473822]
[unordered-list, [45.0, 111.0, 464.0, 18.0], shoonya_8sQU7T09CVWDN9, 6473822]
[unordered-list, [45.0, 129.0, 464.0, 18.0], shoonya_8sQU7T09CVWDN9, 6473822]
[unordered-list, [45.0, 147.0, 464.0, 18.0], shoonya_8sQU7T09CVWDN9, 6473822]
[unordered-list, [45.0, 165.0, 464.0, 18.0], shoonya_8sQU7T09CVWDN9, 6473822]
[unordered-list, [45.0, 183.0, 464.0, 18.0], shoonya_8sQU7T09CVWDN9, 6473822]
[unordered-list, [45.0, 201.0, 464.0, 18.0], shoonya_8sQU7T09CVWDN9, 6473822]
[unordered-list, [45.0, 219.0, 464.0, 18.0], shoonya_8sQU7T09CVWDN9, 6473822]
[unordered-list, [45.0, 237.0, 464.0, 18.0], shoonya_8sQU7T09CVWDN9, 6473822]
[unordered-list, [45.0, 255.0, 464.0, 18.0], shoonya_8sQU7T09CVWDN9, 6473822]
[unordered-list, [45.0, 273.0, 464.0, 18.0], shoonya_8sQU7T09CVWDN9, 6473822]
[unordered-list, [45.0, 291.0, 464.0, 18.0], shoonya_8sQU7T09CVWDN9, 6473822]
[unordered-list, [45.0, 309.0, 464.0, 18.0], shoonya_8sQU7T09CVWDN9, 6473822]
[unordered-list, [45.0, 327.0, 464.0, 18.0], shoonya_8sQU7T09CVWDN9, 6473822]
[unordered-list, [45.0, 345.0, 464.0, 18.0], shoonya_8sQU7T09CVWDN9, 6473822]
[unordered-list, [45.0, 363.0, 464.0, 18.0], shoonya_8sQU7T09CVWDN9, 6473822]
[unordered-list, [45.0, 381.0, 464.0, 18.0], shoonya_8sQU7T09CVWDN9, 6473822]
[unordered-list, [45.0, 399.0, 464.0, 18.0], shoonya_8sQU7T09CVWDN9, 6473822]
[unordered-list, [45.0, 417.0, 464.0, 18.0], shoonya_8sQU7T09CVWDN9, 6473822]
[unordered-list, [45.0, 435.0, 464.0, 18.0], shoonya_8sQU7T09CVWDN9, 6473822]
[unordered-list, [45.0, 453.0, 464.0, 18.0], shoonya_8sQU7T09CVWDN9, 6473822]
[unordered-list, [587.0, 94.0, 477.0, 18.0], shoonya_4sB3XTZYN06NH5, 6473822]
[unordered-list, [587.0, 112.0, 477.0, 18.0], shoonya_4sB3XTZYN06NH5, 6473822]
[unordered-list, [587.0, 130.0, 477.0, 18.0], shoonya_4sB3XTZYN06NH5, 6473822]
[unordered-list, [587.0, 148.0, 477.0, 18.0], shoonya_4sB3XTZYN06NH5, 6473822]
[unordered-list, [587.0, 166.0, 477.0, 18.0], shoonya_4sB3XTZYN06NH5, 6473822]
[unordered-list, [587.0, 184.0, 477.0, 18.0], shoonya_4sB3XTZYN06NH5, 6473822]
[unordered-list, [587.0, 202.0, 477.0, 18.0], shoonya_4sB3XTZYN06NH5, 6473822]
[unordered-list, [587.0, 220.0, 477.0, 18.0], shoonya_4sB3XTZYN06NH5, 6473822]
[unordered-list, [587.0, 238.0, 477.0, 18.0], shoonya_4sB3XTZYN06NH5, 6473822]
[unordered-list, [587.0, 256.0, 477.0, 18.0], shoonya_4sB3XTZYN06NH5, 6473822]
[unordered-list, [587.0, 274.0, 477.0, 18.0], shoonya_4sB3XTZYN06NH5, 6473822]
[unordered-list, [587.0, 292.0, 477.0, 18.0], shoonya_4sB3XTZYN06NH5, 6473822]
[unordered-list, [587.0, 310.0, 477.0, 18.0], shoonya_4sB3XTZYN06NH5, 6473822]
[unordered-list, [587.0, 328.0, 477.0, 18.0], shoonya_4sB3XTZYN06NH5, 6473822]
[unordered-list, [587.0, 346.0, 477.0, 18.0], shoonya_4sB3XTZYN06NH5, 6473822]
[unordered-list, [587.0, 364.0, 477.0, 18.0], shoonya_4sB3XTZYN06NH5, 6473822]
[unordered-list, [587.0, 382.0, 477.0, 18.0], shoonya_4sB3XTZYN06NH5, 6473822]
[folio, [1221.0, 208.0, 288.0, 18.0], 5Ux6T9Hhzl, 6473822]
[folio, [1221.0, 226.0, 288.0, 18.0], 5Ux6T9Hhzl, 6473822]
[headline, [1157.0, 286.0, 434.0, 25.5], 2bFhY7oGWl, 6473822]
[headline, [1157.0, 311.5, 434.0, 25.5], 2bFhY7oGWl, 6473822]
[headline, [1157.0, 337.0, 434.0, 25.5], 2bFhY7oGWl, 6473822]
[headline, [1157.0, 362.5, 434.0, 25.5], 2bFhY7oGWl, 6473822]
[headline, [1157.0, 388.0, 434.0, 25.5], 2bFhY7oGWl, 6473822]
[headline, [1157.0, 413.5, 434.0, 25.5], 2bFhY7oGWl, 6473822]
[headline, [1157.0, 439.0, 434.0, 25.5], 2bFhY7oGWl, 6473822]
[headline, [1157.0, 464.5, 434.0, 25.5], 2bFhY7oGWl, 6473822]
[headline, [1157.0, 490.0, 434.0, 25.5], 2bFhY7oGWl, 6473822]
[section-title, [755.0, 461.0, 140.0, 30.0], shoonya_2s2U1ANNML1JN1, 6473822]
[section-title, [45.0, 494.0, 467.0, 30.0], shoonya_3s5VIQ6PCZJIW4, 6473822]
[section-title, [45.0, 524.0, 467.0, 30.0], shoonya_3s5VIQ6PCZJIW4, 6473822]
[paragraph, [591.0, 537.0, 469.0, 18.0], shoonya_0sIW0IAI4SK66Y, 6473822]
[paragraph, [591.0, 555.0, 469.0, 18.0], shoonya_0sIW0IAI4SK66Y, 6473822]
[paragraph, [591.0, 573.0, 469.0, 18.0], shoonya_0sIW0IAI4SK66Y, 6473822]
[paragraph, [591.0, 591.0, 469.0, 18.0], shoonya_0sIW0IAI4SK66Y, 6473822]
[paragraph, [591.0, 609.0, 469.0, 18.0], shoonya_0sIW0IAI4SK66Y, 6473822]
[paragraph, [591.0, 627.0, 469.0, 18.0], shoonya_0sIW0IAI4SK66Y, 6473822]
[paragraph, [591.0, 645.0, 469.0, 18.0], shoonya_0sIW0IAI4SK66Y, 6473822]
[paragraph, [591.0, 663.0, 469.0, 18.0], shoonya_0sIW0IAI4SK66Y, 6473822]
[paragraph, [591.0, 681.0, 469.0, 18.0], shoonya_0sIW0IAI4SK66Y, 6473822]
[paragraph, [591.0, 699.0, 469.0, 18.0], shoonya_0sIW0IAI4SK66Y, 6473822]
[paragraph, [591.0, 717.0, 469.0, 18.0], shoonya_0sIW0IAI4SK66Y, 6473822]
[unordered-list, [39.0, 586.0, 472.0, 18.0], shoonya_7sI1FTJMF50BT8, 6473822]
[unordered-list, [39.0, 604.0, 472.0, 18.0], shoonya_7sI1FTJMF50BT8, 6473822]
[unordered-list, [39.0, 622.0, 472.0, 18.0], shoonya_7sI1FTJMF50BT8, 6473822]
[unordered-list, [39.0, 640.0, 472.0, 18.0], shoonya_7sI1FTJMF50BT8, 6473822]
[unordered-list, [39.0, 658.0, 472.0, 18.0], shoonya_7sI1FTJMF50BT8, 6473822]
[unordered-list, [39.0, 676.0, 472.0, 18.0], shoonya_7sI1FTJMF50BT8, 6473822]
[unordered-list, [39.0, 694.0, 472.0, 18.0], shoonya_7sI1FTJMF50BT8, 6473822]
[unordered-list, [39.0, 712.0, 472.0, 18.0], shoonya_7sI1FTJMF50BT8, 6473822]
[unordered-list, [39.0, 730.0, 472.0, 18.0], shoonya_7sI1FTJMF50BT8, 6473822]
[unordered-list, [39.0, 748.0, 472.0, 18.0], shoonya_7sI1FTJMF50BT8, 6473822]
[unordered-list, [39.0, 766.0, 472.0, 18.0], shoonya_7sI1FTJMF50BT8, 6473822]
