[709, 412]
[folio, [175.0, 29.0, 58.0, 18.0], Ve0rwMINAT, 5740800]
[paragraph, [22.0, 57.0, 181.0, 18.0], 1uLZhg19b0, 5740800]
[paragraph, [22.0, 75.0, 181.0, 18.0], 1uLZhg19b0, 5740800]
[paragraph, [22.0, 93.0, 181.0, 18.0], 1uLZhg19b0, 5740800]
[paragraph, [22.0, 111.0, 181.0, 18.0], 1uLZhg19b0, 5740800]
[paragraph, [22.0, 129.0, 181.0, 18.0], 1uLZhg19b0, 5740800]
[paragraph, [22.0, 147.0, 181.0, 18.0], 1uLZhg19b0, 5740800]
[paragraph, [22.0, 165.0, 181.0, 18.0], 1uLZhg19b0, 5740800]
[paragraph, [22.0, 183.0, 181.0, 18.0], 1uLZhg19b0, 5740800]
[paragraph, [22.0, 201.0, 181.0, 18.0], 1uLZhg19b0, 5740800]
[paragraph, [22.0, 219.0, 181.0, 18.0], 1uLZhg19b0, 5740800]
[paragraph, [22.0, 237.0, 181.0, 18.0], 1uLZhg19b0, 5740800]
[paragraph, [22.0, 255.0, 181.0, 18.0], 1uLZhg19b0, 5740800]
[paragraph, [22.0, 273.0, 181.0, 18.0], 1uLZhg19b0, 5740800]
[paragraph, [22.0, 291.0, 181.0, 18.0], 1uLZhg19b0, 5740800]
[paragraph, [22.0, 309.0, 181.0, 18.0], 1uLZhg19b0, 5740800]
[paragraph, [22.0, 327.0, 181.0, 18.0], 1uLZhg19b0, 5740800]
[paragraph, [22.0, 345.0, 181.0, 18.0], 1uLZhg19b0, 5740800]
[paragraph, [22.0, 363.0, 181.0, 18.0], 1uLZhg19b0, 5740800]
[paragraph, [22.0, 381.0, 181.0, 18.0], 1uLZhg19b0, 5740800]
[paragraph, [22.0, 399.0, 181.0, 18.0], 1uLZhg19b0, 5740800]
[paragraph, [22.0, 417.0, 181.0, 18.0], 1uLZhg19b0, 5740800]
[paragraph, [22.0, 435.0, 181.0, 18.0], 1uLZhg19b0, 5740800]
[paragraph, [22.0, 453.0, 181.0, 18.0], 1uLZhg19b0, 5740800]
[paragraph, [22.0, 471.0, 181.0, 18.0], 1uLZhg19b0, 5740800]
[paragraph, [22.0, 489.0, 181.0, 18.0], 1uLZhg19b0, 5740800]
[paragraph, [22.0, 507.0, 181.0, 18.0], 1uLZhg19b0, 5740800]
[paragraph, [22.0, 525.0, 181.0, 18.0], 1uLZhg19b0, 5740800]
[paragraph, [22.0, 543.0, 181.0, 18.0], 1uLZhg19b0, 5740800]
