[2200, 1700]
[paragraph, [371.0, 116.0, 1132.0, 36.0], shoonya_2sM2UDS1XJ7WBG, 5734215]
[paragraph, [371.0, 152.0, 1132.0, 36.0], shoonya_2sM2UDS1XJ7WBG, 5734215]
[paragraph, [371.0, 188.0, 1132.0, 36.0], shoonya_2sM2UDS1XJ7WBG, 5734215]
[paragraph, [371.0, 224.0, 1132.0, 36.0], shoonya_2sM2UDS1XJ7WBG, 5734215]
[paragraph, [368.0, 301.0, 1136.0, 36.0], shoonya_1s549GP0GKFSQL, 5734215]
[paragraph, [368.0, 337.0, 1136.0, 36.0], shoonya_1s549GP0GKFSQL, 5734215]
[paragraph, [368.0, 373.0, 1136.0, 36.0], shoonya_1s549GP0GKFSQL, 5734215]
[paragraph, [368.0, 409.0, 1136.0, 36.0], shoonya_1s549GP0GKFSQL, 5734215]
[paragraph, [368.0, 445.0, 1136.0, 36.0], shoonya_1s549GP0GKFSQL, 5734215]
[paragraph, [368.0, 481.0, 1136.0, 36.0], shoonya_1s549GP0GKFSQL, 5734215]
[paragraph, [368.0, 517.0, 1136.0, 36.0], shoonya_1s549GP0GKFSQL, 5734215]
[paragraph, [368.0, 553.0, 1136.0, 36.0], shoonya_1s549GP0GKFSQL, 5734215]
[paragraph, [368.0, 589.0, 1136.0, 36.0], shoonya_1s549GP0GKFSQL, 5734215]
[paragraph, [368.0, 625.0, 1136.0, 36.0], shoonya_1s549GP0GKFSQL, 5734215]
[paragraph, [368.0, 661.0, 1136.0, 36.0], shoonya_1s549GP0GKFSQL, 5734215]
[paragraph, [368.0, 697.0, 1136.0, 36.0], shoonya_1s549GP0GKFSQL, 5734215]
[paragraph, [368.0, 733.0, 1136.0, 36.0], shoonya_1s549GP0GKFSQL, 5734215]
[paragraph, [368.0, 769.0, 1136.0, 36.0], shoonya_1s549GP0GKFSQL, 5734215]
[paragraph, [368.0, 805.0, 1136.0, 36.0], shoonya_1s549GP0GKFSQL, 5734215]
[paragraph, [368.0, 841.0, 1136.0, 36.0], shoonya_1s549GP0GKFSQL, 5734215]
[paragraph, [368.0, 877.0, 1136.0, 36.0], shoonya_1s549GP0GKFSQL, 5734215]
[paragraph, [368.0, 913.0, 1136.0, 36.0], shoonya_1s549GP0GKFSQL, 5734215]
[paragraph, [368.0, 949.0, 1136.0, 36.0], shoonya_1s549GP0GKFSQL, 5734215]
[paragraph, [368.0, 985.0, 1136.0, 36.0], shoonya_1s549GP0GKFSQL, 5734215]
[paragraph, [368.0, 1021.0, 1136.0, 36.0], shoonya_1s549GP0GKFSQL, 5734215]
[paragraph, [368.0, 1057.0, 1136.0, 36.0], shoonya_1s549GP0GKFSQL, 5734215]
[paragraph, [368.0, 1093.0, 1136.0, 36.0], shoonya_1s549GP0GKFSQL, 5734215]
[paragraph, [368.0, 1129.0, 1136.0, 36.0], shoonya_1s549GP0GKFSQL, 5734215]
[paragraph, [368.0, 1165.0, 1136.0, 36.0], shoonya_1s549GP0GKFSQL, 5734215]
[paragraph, [368.0, 1201.0, 1136.0, 36.0], shoonya_1s549GP0GKFSQL, 5734215]
[paragraph, [368.0, 1237.0, 1136.0, 36.0], shoonya_1s549GP0GKFSQL, 5734215]
[paragraph, [368.0, 1273.0, 1136.0, 36.0], shoonya_1s549GP0GKFSQL, 5734215]
[paragraph, [368.0, 1309.0, 1136.0, 36.0], shoonya_1s549GP0GKFSQL, 5734215]
[paragraph, [368.0, 1345.0, 1136.0, 36.0], shoonya_1s549GP0GKFSQL, 5734215]
[paragraph, [368.0, 1381.0, 1136.0, 36.0], shoonya_1s549GP0GKFSQL, 5734215]
[paragraph, [368.0, 1417.0, 1136.0, 36.0], shoonya_1s549GP0GKFSQL, 5734215]
[paragraph, [368.0, 1453.0, 1136.0, 36.0], shoonya_1s549GP0GKFSQL, 5734215]
[paragraph, [368.0, 1489.0, 1136.0, 36.0], shoonya_1s549GP0GKFSQL, 5734215]
[paragraph, [368.0, 1525.0, 1136.0, 36.0], shoonya_1s549GP0GKFSQL, 5734215]
[paragraph, [368.0, 1561.0, 1136.0, 36.0], shoonya_1s549GP0GKFSQL, 5734215]
[paragraph, [368.0, 1597.0, 1136.0, 36.0], shoonya_1s549GP0GKFSQL, 5734215]
[paragraph, [368.0, 1633.0, 1136.0, 36.0], shoonya_1s549GP0GKFSQL, 5734215]
[paragraph, [368.0, 1669.0, 1136.0, 36.0], shoonya_1s549GP0GKFSQL, 5734215]
[paragraph, [368.0, 1705.0, 1136.0, 36.0], shoonya_1s549GP0GKFSQL, 5734215]
[paragraph, [368.0, 1741.0, 1136.0, 36.0], shoonya_1s549GP0GKFSQL, 5734215]
[paragraph, [370.0, 1828.0, 1136.0, 36.0], shoonya_0s8HG8QHW1Q6GM, 5734215]
[paragraph, [370.0, 1864.0, 1136.0, 36.0], shoonya_0s8HG8QHW1Q6GM, 5734215]
[paragraph, [370.0, 1900.0, 1136.0, 36.0], shoonya_0s8HG8QHW1Q6GM, 5734215]
[paragraph, [370.0, 1936.0, 1136.0, 36.0], shoonya_0s8HG8QHW1Q6GM, 5734215]
[paragraph, [370.0, 1972.0, 1136.0, 36.0], shoonya_0s8HG8QHW1Q6GM, 5734215]
[paragraph, [370.0, 2008.0, 1136.0, 36.0], shoonya_0s8HG8QHW1Q6GM, 5734215]
