[1987, 1270]
[folio, [602.0, 128.0, 90.0, 36.0], shoonya_1s2CUAU98G8F4N, 5682379]
[paragraph, [189.0, 196.0, 961.0, 36.0], shoonya_3sQ0C8QPQKSHPN, 5682379]
[paragraph, [139.0, 251.0, 1011.0, 36.0], shoonya_4s00VST0XU79QR, 5682379]
[paragraph, [139.0, 287.0, 1011.0, 36.0], shoonya_4s00VST0XU79QR, 5682379]
[paragraph, [139.0, 323.0, 1011.0, 36.0], shoonya_4s00VST0XU79QR, 5682379]
[paragraph, [139.0, 359.0, 1011.0, 36.0], shoonya_4s00VST0XU79QR, 5682379]
[paragraph, [139.0, 395.0, 1011.0, 36.0], shoonya_4s00VST0XU79QR, 5682379]
[paragraph, [139.0, 431.0, 1011.0, 36.0], shoonya_4s00VST0XU79QR, 5682379]
[paragraph, [139.0, 467.0, 1011.0, 36.0], shoonya_4s00VST0XU79QR, 5682379]
[paragraph, [139.0, 503.0, 1011.0, 36.0], shoonya_4s00VST0XU79QR, 5682379]
[paragraph, [138.0, 560.0, 1006.0, 36.0], shoonya_5sQA2FKMUBTXDJ, 5682379]
[paragraph, [138.0, 596.0, 1006.0, 36.0], shoonya_5sQA2FKMUBTXDJ, 5682379]
[paragraph, [138.0, 632.0, 1006.0, 36.0], shoonya_5sQA2FKMUBTXDJ, 5682379]
[paragraph, [138.0, 668.0, 1006.0, 36.0], shoonya_5sQA2FKMUBTXDJ, 5682379]
[paragraph, [138.0, 704.0, 1006.0, 36.0], shoonya_5sQA2FKMUBTXDJ, 5682379]
[paragraph, [138.0, 740.0, 1006.0, 36.0], shoonya_5sQA2FKMUBTXDJ, 5682379]
[paragraph, [138.0, 776.0, 1006.0, 36.0], shoonya_5sQA2FKMUBTXDJ, 5682379]
[paragraph, [134.0, 824.0, 1005.0, 36.0], shoonya_6sXE8WQ9ETL0AB, 5682379]
[paragraph, [134.0, 860.0, 1005.0, 36.0], shoonya_6sXE8WQ9ETL0AB, 5682379]
[paragraph, [134.0, 896.0, 1005.0, 36.0], shoonya_6sXE8WQ9ETL0AB, 5682379]
[paragraph, [134.0, 932.0, 1005.0, 36.0], shoonya_6sXE8WQ9ETL0AB, 5682379]
[paragraph, [134.0, 968.0, 1005.0, 36.0], shoonya_6sXE8WQ9ETL0AB, 5682379]
[paragraph, [134.0, 1004.0, 1005.0, 36.0], shoonya_6sXE8WQ9ETL0AB, 5682379]
[paragraph, [134.0, 1040.0, 1005.0, 36.0], shoonya_6sXE8WQ9ETL0AB, 5682379]
[paragraph, [134.0, 1076.0, 1005.0, 36.0], shoonya_6sXE8WQ9ETL0AB, 5682379]
[paragraph, [179.0, 1135.0, 342.0, 36.0], shoonya_7sJDJGGCEHI0T0, 5682379]
[paragraph, [134.0, 1185.0, 1005.0, 36.0], shoonya_8s6K5N07XVHF4B, 5682379]
[paragraph, [134.0, 1221.0, 1005.0, 36.0], shoonya_8s6K5N07XVHF4B, 5682379]
[paragraph, [134.0, 1257.0, 1005.0, 36.0], shoonya_8s6K5N07XVHF4B, 5682379]
[paragraph, [134.0, 1293.0, 1005.0, 36.0], shoonya_8s6K5N07XVHF4B, 5682379]
[paragraph, [131.0, 1345.0, 1006.0, 36.0], shoonya_9sFSD01US2GWKW, 5682379]
[paragraph, [131.0, 1381.0, 1006.0, 36.0], shoonya_9sFSD01US2GWKW, 5682379]
[paragraph, [176.0, 1450.0, 760.0, 36.0], shoonya_10s2TYKY63VBK1, 5682379]
[paragraph, [127.0, 1504.0, 1009.0, 36.0], iLQ9zz3Jux, 5682379]
[paragraph, [127.0, 1540.0, 1009.0, 36.0], iLQ9zz3Jux, 5682379]
[paragraph, [127.0, 1576.0, 1009.0, 36.0], iLQ9zz3Jux, 5682379]
[paragraph, [127.0, 1612.0, 1009.0, 36.0], iLQ9zz3Jux, 5682379]
[paragraph, [127.0, 1660.0, 1004.0, 36.0], JShhOxwNdy, 5682379]
[paragraph, [127.0, 1696.0, 1004.0, 36.0], JShhOxwNdy, 5682379]
[paragraph, [123.0, 1763.0, 1008.0, 36.0], x_mRSWA_z4, 5682379]
[paragraph, [123.0, 1799.0, 1008.0, 36.0], x_mRSWA_z4, 5682379]
