[1034, 680]
[folio, [235.0, 64.0, 212.0, 18.0], shoonya_0sNG96TLIVBAZF, 5739898]
[folio, [235.0, 82.0, 212.0, 18.0], shoonya_0sNG96TLIVBAZF, 5739898]
[paragraph, [48.0, 120.0, 599.0, 18.0], 2xwP1BSMAc, 5739898]
[paragraph, [48.0, 138.0, 599.0, 18.0], 2xwP1BSMAc, 5739898]
[paragraph, [48.0, 156.0, 599.0, 18.0], 2xwP1BSMAc, 5739898]
[paragraph, [48.0, 174.0, 599.0, 18.0], 2xwP1BSMAc, 5739898]
[paragraph, [48.0, 192.0, 599.0, 18.0], 2xwP1BSMAc, 5739898]
[paragraph, [48.0, 210.0, 599.0, 18.0], 2xwP1BSMAc, 5739898]
[paragraph, [48.0, 228.0, 599.0, 18.0], 2xwP1BSMAc, 5739898]
[paragraph, [48.0, 246.0, 599.0, 18.0], 2xwP1BSMAc, 5739898]
[paragraph, [48.0, 264.0, 599.0, 18.0], 2xwP1BSMAc, 5739898]
[paragraph, [48.0, 282.0, 599.0, 18.0], 2xwP1BSMAc, 5739898]
[paragraph, [48.0, 300.0, 599.0, 18.0], 2xwP1BSMAc, 5739898]
[paragraph, [48.0, 318.0, 599.0, 18.0], 2xwP1BSMAc, 5739898]
[paragraph, [48.0, 336.0, 599.0, 18.0], 2xwP1BSMAc, 5739898]
[paragraph, [48.0, 354.0, 599.0, 18.0], 2xwP1BSMAc, 5739898]
[paragraph, [48.0, 372.0, 599.0, 18.0], 2xwP1BSMAc, 5739898]
[paragraph, [48.0, 390.0, 599.0, 18.0], 2xwP1BSMAc, 5739898]
[paragraph, [48.0, 408.0, 599.0, 18.0], 2xwP1BSMAc, 5739898]
[paragraph, [48.0, 426.0, 599.0, 18.0], 2xwP1BSMAc, 5739898]
[paragraph, [48.0, 444.0, 599.0, 18.0], 2xwP1BSMAc, 5739898]
[paragraph, [48.0, 462.0, 599.0, 18.0], 2xwP1BSMAc, 5739898]
[paragraph, [48.0, 480.0, 599.0, 18.0], 2xwP1BSMAc, 5739898]
[paragraph, [48.0, 498.0, 599.0, 18.0], 2xwP1BSMAc, 5739898]
[paragraph, [48.0, 516.0, 599.0, 18.0], 2xwP1BSMAc, 5739898]
[paragraph, [48.0, 534.0, 599.0, 18.0], 2xwP1BSMAc, 5739898]
[paragraph, [48.0, 552.0, 599.0, 18.0], 2xwP1BSMAc, 5739898]
[paragraph, [48.0, 570.0, 599.0, 18.0], 2xwP1BSMAc, 5739898]
[paragraph, [48.0, 588.0, 599.0, 18.0], 2xwP1BSMAc, 5739898]
[paragraph, [48.0, 606.0, 599.0, 18.0], 2xwP1BSMAc, 5739898]
[paragraph, [47.0, 635.0, 572.0, 18.0], 8fHnkTj0TY, 5739898]
[paragraph, [47.0, 653.0, 572.0, 18.0], 8fHnkTj0TY, 5739898]
[paragraph, [47.0, 671.0, 572.0, 18.0], 8fHnkTj0TY, 5739898]
[paragraph, [47.0, 689.0, 572.0, 18.0], 8fHnkTj0TY, 5739898]
[paragraph, [47.0, 707.0, 572.0, 18.0], 8fHnkTj0TY, 5739898]
[paragraph, [47.0, 725.0, 572.0, 18.0], 8fHnkTj0TY, 5739898]
[paragraph, [47.0, 743.0, 572.0, 18.0], 8fHnkTj0TY, 5739898]
[paragraph, [47.0, 761.0, 572.0, 18.0], 8fHnkTj0TY, 5739898]
[paragraph, [47.0, 779.0, 572.0, 18.0], 8fHnkTj0TY, 5739898]
[paragraph, [47.0, 797.0, 572.0, 18.0], 8fHnkTj0TY, 5739898]
[paragraph, [47.0, 815.0, 572.0, 18.0], 8fHnkTj0TY, 5739898]
[paragraph, [47.0, 833.0, 572.0, 18.0], 8fHnkTj0TY, 5739898]
[paragraph, [47.0, 851.0, 572.0, 18.0], 8fHnkTj0TY, 5739898]
[paragraph, [47.0, 869.0, 572.0, 18.0], 8fHnkTj0TY, 5739898]
[paragraph, [65.0, 898.0, 549.0, 18.0], shoonya_1sPKLWQ92CEM44, 5739898]
[paragraph, [65.0, 916.0, 549.0, 18.0], shoonya_1sPKLWQ92CEM44, 5739898]
[paragraph, [65.0, 934.0, 549.0, 18.0], shoonya_1sPKLWQ92CEM44, 5739898]
