[2481, 1654]
[folio, [349.0, 105.0, 124.0, 36.0], AyEmIxcdwV, 5721822]
[paragraph, [227.0, 221.0, 1261.0, 36.0], 0QRRYszIIm, 5721822]
[paragraph, [227.0, 257.0, 1261.0, 36.0], 0QRRYszIIm, 5721822]
[paragraph, [227.0, 293.0, 1261.0, 36.0], 0QRRYszIIm, 5721822]
[paragraph, [227.0, 329.0, 1261.0, 36.0], 0QRRYszIIm, 5721822]
[paragraph, [227.0, 374.0, 1265.0, 36.0], 2ei7741Gg_, 5721822]
[paragraph, [227.0, 410.0, 1265.0, 36.0], 2ei7741Gg_, 5721822]
[paragraph, [227.0, 446.0, 1265.0, 36.0], 2ei7741Gg_, 5721822]
[paragraph, [227.0, 482.0, 1265.0, 36.0], 2ei7741Gg_, 5721822]
[paragraph, [227.0, 518.0, 1265.0, 36.0], 2ei7741Gg_, 5721822]
[paragraph, [227.0, 554.0, 1265.0, 36.0], 2ei7741Gg_, 5721822]
[paragraph, [227.0, 590.0, 1265.0, 36.0], 2ei7741Gg_, 5721822]
[paragraph, [228.0, 625.0, 1260.0, 36.0], shoonya_4s9DPKFBL56XD8, 5721822]
[paragraph, [228.0, 661.0, 1260.0, 36.0], shoonya_4s9DPKFBL56XD8, 5721822]
[paragraph, [228.0, 697.0, 1260.0, 36.0], shoonya_4s9DPKFBL56XD8, 5721822]
[paragraph, [228.0, 733.0, 1260.0, 36.0], shoonya_4s9DPKFBL56XD8, 5721822]
[paragraph, [225.0, 781.0, 1259.0, 36.0], shoonya_2sP4SUC3THI7DT, 5721822]
[paragraph, [225.0, 817.0, 1259.0, 36.0], shoonya_2sP4SUC3THI7DT, 5721822]
[paragraph, [225.0, 853.0, 1259.0, 36.0], shoonya_2sP4SUC3THI7DT, 5721822]
[paragraph, [225.0, 889.0, 1259.0, 36.0], shoonya_2sP4SUC3THI7DT, 5721822]
[paragraph, [225.0, 925.0, 1259.0, 36.0], shoonya_2sP4SUC3THI7DT, 5721822]
[paragraph, [225.0, 961.0, 1259.0, 36.0], shoonya_2sP4SUC3THI7DT, 5721822]
[paragraph, [225.0, 997.0, 1259.0, 36.0], shoonya_2sP4SUC3THI7DT, 5721822]
[paragraph, [225.0, 1033.0, 1259.0, 36.0], shoonya_2sP4SUC3THI7DT, 5721822]
[paragraph, [225.0, 1069.0, 1259.0, 36.0], shoonya_2sP4SUC3THI7DT, 5721822]
[paragraph, [225.0, 1105.0, 1259.0, 36.0], shoonya_2sP4SUC3THI7DT, 5721822]
[paragraph, [225.0, 1141.0, 1259.0, 36.0], shoonya_2sP4SUC3THI7DT, 5721822]
[paragraph, [225.0, 1177.0, 1259.0, 36.0], shoonya_2sP4SUC3THI7DT, 5721822]
[paragraph, [225.0, 1213.0, 1259.0, 36.0], shoonya_2sP4SUC3THI7DT, 5721822]
[paragraph, [225.0, 1249.0, 1259.0, 36.0], shoonya_2sP4SUC3THI7DT, 5721822]
[paragraph, [225.0, 1285.0, 1259.0, 36.0], shoonya_2sP4SUC3THI7DT, 5721822]
[paragraph, [230.0, 1332.0, 1260.0, 36.0], shoonya_3sBOF2DWIS6TF2, 5721822]
[paragraph, [230.0, 1368.0, 1260.0, 36.0], shoonya_3sBOF2DWIS6TF2, 5721822]
[paragraph, [230.0, 1404.0, 1260.0, 36.0], shoonya_3sBOF2DWIS6TF2, 5721822]
[paragraph, [230.0, 1440.0, 1260.0, 36.0], shoonya_3sBOF2DWIS6TF2, 5721822]
[paragraph, [270.0, 1483.0, 336.0, 36.0], _blxiNAaer, 5721822]
[paragraph, [291.0, 1533.0, 352.0, 36.0], shoonya_5sQYXR4JH7XNL6, 5721822]
[paragraph, [222.0, 1584.0, 1277.0, 36.0], shoonya_1sBEIAZR4ZRK9X, 5721822]
[paragraph, [222.0, 1620.0, 1277.0, 36.0], shoonya_1sBEIAZR4ZRK9X, 5721822]
[paragraph, [222.0, 1656.0, 1277.0, 36.0], shoonya_1sBEIAZR4ZRK9X, 5721822]
[paragraph, [222.0, 1692.0, 1277.0, 36.0], shoonya_1sBEIAZR4ZRK9X, 5721822]
[paragraph, [222.0, 1728.0, 1277.0, 36.0], shoonya_1sBEIAZR4ZRK9X, 5721822]
[paragraph, [222.0, 1764.0, 1277.0, 36.0], shoonya_1sBEIAZR4ZRK9X, 5721822]
[paragraph, [222.0, 1800.0, 1277.0, 36.0], shoonya_1sBEIAZR4ZRK9X, 5721822]
[paragraph, [222.0, 1836.0, 1277.0, 36.0], shoonya_1sBEIAZR4ZRK9X, 5721822]
[paragraph, [222.0, 1872.0, 1277.0, 36.0], shoonya_1sBEIAZR4ZRK9X, 5721822]
[paragraph, [222.0, 1908.0, 1277.0, 36.0], shoonya_1sBEIAZR4ZRK9X, 5721822]
[paragraph, [222.0, 1944.0, 1277.0, 36.0], shoonya_1sBEIAZR4ZRK9X, 5721822]
[paragraph, [221.0, 1986.0, 1269.0, 36.0], Y-fJ0Gl3zC, 5721822]
[paragraph, [221.0, 2022.0, 1269.0, 36.0], Y-fJ0Gl3zC, 5721822]
[paragraph, [287.0, 2092.0, 674.0, 36.0], YnLeIx6xHb, 5721822]
[paragraph, [283.0, 2143.0, 839.0, 36.0], p6YxD2KWUl, 5721822]
