[1220, 753]
[paragraph, [68.0, 57.0, 631.0, 18.0], shoonya_8sZ0JYJL7B0Y37, 6468495]
[paragraph, [68.0, 75.0, 631.0, 18.0], shoonya_8sZ0JYJL7B0Y37, 6468495]
[paragraph, [68.0, 93.0, 631.0, 18.0], shoonya_8sZ0JYJL7B0Y37, 6468495]
[paragraph, [66.0, 130.0, 639.0, 18.0], shoonya_5sU2Q5Y7JIEW8Z, 6468495]
[paragraph, [66.0, 148.0, 639.0, 18.0], shoonya_5sU2Q5Y7JIEW8Z, 6468495]
[paragraph, [66.0, 166.0, 639.0, 18.0], shoonya_5sU2Q5Y7JIEW8Z, 6468495]
[paragraph, [66.0, 184.0, 639.0, 18.0], shoonya_5sU2Q5Y7JIEW8Z, 6468495]
[paragraph, [66.0, 202.0, 639.0, 18.0], shoonya_5sU2Q5Y7JIEW8Z, 6468495]
[paragraph, [65.0, 222.0, 635.0, 18.0], shoonya_4sEEIZX2USEBE3, 6468495]
[paragraph, [65.0, 240.0, 635.0, 18.0], shoonya_4sEEIZX2USEBE3, 6468495]
[paragraph, [65.0, 258.0, 635.0, 18.0], shoonya_4sEEIZX2USEBE3, 6468495]
[paragraph, [65.0, 276.0, 635.0, 18.0], shoonya_4sEEIZX2USEBE3, 6468495]
[paragraph, [65.0, 294.0, 635.0, 18.0], shoonya_4sEEIZX2USEBE3, 6468495]
[paragraph, [65.0, 312.0, 635.0, 18.0], shoonya_4sEEIZX2USEBE3, 6468495]
[paragraph, [65.0, 330.0, 635.0, 18.0], shoonya_4sEEIZX2USEBE3, 6468495]
[paragraph, [65.0, 348.0, 635.0, 18.0], shoonya_4sEEIZX2USEBE3, 6468495]
[paragraph, [65.0, 366.0, 635.0, 18.0], shoonya_4sEEIZX2USEBE3, 6468495]
[paragraph, [65.0, 384.0, 635.0, 18.0], shoonya_4sEEIZX2USEBE3, 6468495]
[paragraph, [65.0, 402.0, 635.0, 18.0], shoonya_4sEEIZX2USEBE3, 6468495]
[paragraph, [62.0, 439.0, 636.0, 18.0], shoonya_1s7IQ50PJ6JSYQ, 6468495]
[paragraph, [62.0, 457.0, 636.0, 18.0], shoonya_1s7IQ50PJ6JSYQ, 6468495]
[paragraph, [62.0, 475.0, 636.0, 18.0], shoonya_1s7IQ50PJ6JSYQ, 6468495]
[paragraph, [62.0, 493.0, 636.0, 18.0], shoonya_1s7IQ50PJ6JSYQ, 6468495]
[paragraph, [62.0, 511.0, 636.0, 18.0], shoonya_1s7IQ50PJ6JSYQ, 6468495]
[paragraph, [62.0, 529.0, 636.0, 18.0], shoonya_1s7IQ50PJ6JSYQ, 6468495]
[paragraph, [62.0, 547.0, 636.0, 18.0], shoonya_1s7IQ50PJ6JSYQ, 6468495]
[paragraph, [62.0, 565.0, 636.0, 18.0], shoonya_1s7IQ50PJ6JSYQ, 6468495]
[paragraph, [62.0, 583.0, 636.0, 18.0], shoonya_1s7IQ50PJ6JSYQ, 6468495]
[paragraph, [96.0, 620.0, 585.0, 18.0], shoonya_0sVCB0LXU6DRNR, 6468495]
[paragraph, [96.0, 638.0, 585.0, 18.0], shoonya_0sVCB0LXU6DRNR, 6468495]
[paragraph, [66.0, 659.0, 635.0, 18.0], shoonya_2sH7Z23RBHSWTY, 6468495]
[paragraph, [66.0, 677.0, 635.0, 18.0], shoonya_2sH7Z23RBHSWTY, 6468495]
[paragraph, [66.0, 695.0, 635.0, 18.0], shoonya_2sH7Z23RBHSWTY, 6468495]
[paragraph, [66.0, 713.0, 635.0, 18.0], shoonya_2sH7Z23RBHSWTY, 6468495]
[paragraph, [66.0, 731.0, 635.0, 18.0], shoonya_2sH7Z23RBHSWTY, 6468495]
[paragraph, [66.0, 749.0, 635.0, 18.0], shoonya_2sH7Z23RBHSWTY, 6468495]
[paragraph, [66.0, 767.0, 635.0, 18.0], shoonya_2sH7Z23RBHSWTY, 6468495]
[paragraph, [66.0, 785.0, 635.0, 18.0], shoonya_2sH7Z23RBHSWTY, 6468495]
[paragraph, [66.0, 803.0, 635.0, 18.0], shoonya_2sH7Z23RBHSWTY, 6468495]
[paragraph, [66.0, 842.0, 640.0, 18.0], shoonya_3sIA0B9X79T9L6, 6468495]
[paragraph, [66.0, 860.0, 640.0, 18.0], shoonya_3sIA0B9X79T9L6, 6468495]
[paragraph, [66.0, 878.0, 640.0, 18.0], shoonya_3sIA0B9X79T9L6, 6468495]
[paragraph, [66.0, 896.0, 640.0, 18.0], shoonya_3sIA0B9X79T9L6, 6468495]
[paragraph, [66.0, 914.0, 640.0, 18.0], shoonya_3sIA0B9X79T9L6, 6468495]
[paragraph, [66.0, 932.0, 640.0, 18.0], shoonya_3sIA0B9X79T9L6, 6468495]
[paragraph, [61.0, 967.0, 643.0, 18.0], shoonya_7sZ8OQY99A960T, 6468495]
[paragraph, [61.0, 985.0, 643.0, 18.0], shoonya_7sZ8OQY99A960T, 6468495]
[paragraph, [61.0, 1003.0, 643.0, 18.0], shoonya_7sZ8OQY99A960T, 6468495]
[paragraph, [61.0, 1021.0, 643.0, 18.0], shoonya_7sZ8OQY99A960T, 6468495]
[paragraph, [61.0, 1039.0, 643.0, 18.0], shoonya_7sZ8OQY99A960T, 6468495]
[paragraph, [61.0, 1057.0, 643.0, 18.0], shoonya_7sZ8OQY99A960T, 6468495]
[paragraph, [91.0, 1094.0, 605.0, 18.0], Si5a3ASdfL, 6468495]
