[1736, 1323]
[paragraph, [118.0, 138.0, 444.0, 36.0], shoonya_2s2HSP5SZDS15Q, 5772234]
[paragraph, [118.0, 174.0, 444.0, 36.0], shoonya_2s2HSP5SZDS15Q, 5772234]
[paragraph, [118.0, 210.0, 444.0, 36.0], shoonya_2s2HSP5SZDS15Q, 5772234]
[paragraph, [118.0, 246.0, 444.0, 36.0], shoonya_2s2HSP5SZDS15Q, 5772234]
[paragraph, [118.0, 282.0, 444.0, 36.0], shoonya_2s2HSP5SZDS15Q, 5772234]
[paragraph, [118.0, 318.0, 444.0, 36.0], shoonya_2s2HSP5SZDS15Q, 5772234]
[paragraph, [118.0, 354.0, 444.0, 36.0], shoonya_2s2HSP5SZDS15Q, 5772234]
[paragraph, [118.0, 390.0, 444.0, 36.0], shoonya_2s2HSP5SZDS15Q, 5772234]
[paragraph, [118.0, 426.0, 444.0, 36.0], shoonya_2s2HSP5SZDS15Q, 5772234]
[paragraph, [118.0, 462.0, 444.0, 36.0], shoonya_2s2HSP5SZDS15Q, 5772234]
[paragraph, [118.0, 498.0, 444.0, 36.0], shoonya_2s2HSP5SZDS15Q, 5772234]
[paragraph, [118.0, 534.0, 444.0, 36.0], shoonya_2s2HSP5SZDS15Q, 5772234]
[quote, [896.0, 185.0, 172.0, 36.0], FQoasqLiJ_, 5772234]
[quote, [896.0, 221.0, 172.0, 36.0], FQoasqLiJ_, 5772234]
[quote, [896.0, 257.0, 172.0, 36.0], FQoasqLiJ_, 5772234]
[quote, [727.0, 271.0, 203.0, 36.0], lv9BSI1LWL, 5772234]
[quote, [727.0, 307.0, 203.0, 36.0], lv9BSI1LWL, 5772234]
[quote, [727.0, 343.0, 203.0, 36.0], lv9BSI1LWL, 5772234]
[quote, [1024.0, 280.0, 184.0, 36.0], cLXpkckbf1, 5772234]
[quote, [1024.0, 316.0, 184.0, 36.0], cLXpkckbf1, 5772234]
[quote, [1024.0, 352.0, 184.0, 36.0], cLXpkckbf1, 5772234]
[quote, [1024.0, 388.0, 184.0, 36.0], cLXpkckbf1, 5772234]
[author, [1072.0, 467.0, 109.0, 36.0], 1No4Qu9D53, 5772234]
[paragraph, [111.0, 586.0, 445.0, 36.0], U5Oh2rsLBA, 5772234]
[paragraph, [111.0, 622.0, 445.0, 36.0], U5Oh2rsLBA, 5772234]
[paragraph, [111.0, 682.0, 317.0, 36.0], shoonya_10sMOYX6CD243C, 5772234]
[paragraph, [111.0, 718.0, 317.0, 36.0], shoonya_10sMOYX6CD243C, 5772234]
[paragraph, [111.0, 754.0, 317.0, 36.0], shoonya_10sMOYX6CD243C, 5772234]
[paragraph, [111.0, 790.0, 317.0, 36.0], shoonya_10sMOYX6CD243C, 5772234]
[paragraph, [111.0, 826.0, 317.0, 36.0], shoonya_10sMOYX6CD243C, 5772234]
[paragraph, [111.0, 862.0, 317.0, 36.0], shoonya_10sMOYX6CD243C, 5772234]
[paragraph, [111.0, 898.0, 317.0, 36.0], shoonya_10sMOYX6CD243C, 5772234]
[paragraph, [111.0, 934.0, 317.0, 36.0], shoonya_10sMOYX6CD243C, 5772234]
[paragraph, [111.0, 970.0, 317.0, 36.0], shoonya_10sMOYX6CD243C, 5772234]
[paragraph, [111.0, 1006.0, 317.0, 36.0], shoonya_10sMOYX6CD243C, 5772234]
[paragraph, [111.0, 1042.0, 317.0, 36.0], shoonya_10sMOYX6CD243C, 5772234]
[paragraph, [911.0, 687.0, 290.0, 36.0], shoonya_5sGADM2KT6LYVW, 5772234]
[paragraph, [911.0, 723.0, 290.0, 36.0], shoonya_5sGADM2KT6LYVW, 5772234]
[paragraph, [911.0, 759.0, 290.0, 36.0], shoonya_5sGADM2KT6LYVW, 5772234]
[paragraph, [911.0, 795.0, 290.0, 36.0], shoonya_5sGADM2KT6LYVW, 5772234]
[paragraph, [911.0, 831.0, 290.0, 36.0], shoonya_5sGADM2KT6LYVW, 5772234]
[paragraph, [911.0, 867.0, 290.0, 36.0], shoonya_5sGADM2KT6LYVW, 5772234]
[paragraph, [905.0, 909.0, 299.0, 36.0], shoonya_1s5P56WEUGI1LD, 5772234]
[paragraph, [905.0, 945.0, 299.0, 36.0], shoonya_1s5P56WEUGI1LD, 5772234]
[paragraph, [905.0, 981.0, 299.0, 36.0], shoonya_1s5P56WEUGI1LD, 5772234]
[paragraph, [905.0, 1017.0, 299.0, 36.0], shoonya_1s5P56WEUGI1LD, 5772234]
[paragraph, [905.0, 1053.0, 299.0, 36.0], shoonya_1s5P56WEUGI1LD, 5772234]
[paragraph, [905.0, 1089.0, 299.0, 36.0], shoonya_1s5P56WEUGI1LD, 5772234]
[paragraph, [905.0, 1125.0, 299.0, 36.0], shoonya_1s5P56WEUGI1LD, 5772234]
[paragraph, [905.0, 1161.0, 299.0, 36.0], shoonya_1s5P56WEUGI1LD, 5772234]
[paragraph, [905.0, 1197.0, 299.0, 36.0], shoonya_1s5P56WEUGI1LD, 5772234]
[paragraph, [905.0, 1233.0, 299.0, 36.0], shoonya_1s5P56WEUGI1LD, 5772234]
[paragraph, [117.0, 1087.0, 315.0, 36.0], shoonya_4sODVMA8PWZ0IS, 5772234]
[paragraph, [117.0, 1123.0, 315.0, 36.0], shoonya_4sODVMA8PWZ0IS, 5772234]
[paragraph, [117.0, 1159.0, 315.0, 36.0], shoonya_4sODVMA8PWZ0IS, 5772234]
[paragraph, [117.0, 1195.0, 315.0, 36.0], shoonya_4sODVMA8PWZ0IS, 5772234]
[paragraph, [117.0, 1231.0, 315.0, 36.0], shoonya_4sODVMA8PWZ0IS, 5772234]
[paragraph, [117.0, 1267.0, 315.0, 36.0], shoonya_4sODVMA8PWZ0IS, 5772234]
[paragraph, [659.0, 1309.0, 548.0, 36.0], shoonya_14sPTSCMB10QXO, 5772234]
[paragraph, [659.0, 1345.0, 548.0, 36.0], shoonya_14sPTSCMB10QXO, 5772234]
[paragraph, [659.0, 1381.0, 548.0, 36.0], shoonya_14sPTSCMB10QXO, 5772234]
[paragraph, [659.0, 1417.0, 548.0, 36.0], shoonya_14sPTSCMB10QXO, 5772234]
