[576, 360]
[folio, [66.0, 32.0, 72.0, 18.0], cJVFFOU9n_, 6514072]
[paragraph, [27.0, 56.0, 132.0, 18.0], Cg96ofevDA, 6514072]
[paragraph, [28.0, 99.0, 301.0, 18.0], shoonya_0s8JNXHJWRI4QH, 6514072]
[paragraph, [28.0, 117.0, 301.0, 18.0], shoonya_0s8JNXHJWRI4QH, 6514072]
[paragraph, [28.0, 135.0, 301.0, 18.0], shoonya_0s8JNXHJWRI4QH, 6514072]
[paragraph, [28.0, 153.0, 301.0, 18.0], shoonya_0s8JNXHJWRI4QH, 6514072]
[paragraph, [28.0, 171.0, 301.0, 18.0], shoonya_0s8JNXHJWRI4QH, 6514072]
[paragraph, [29.0, 207.0, 177.0, 18.0], Mq5veYk507, 6514072]
[paragraph, [29.0, 225.0, 177.0, 18.0], Mq5veYk507, 6514072]
[paragraph, [29.0, 243.0, 177.0, 18.0], Mq5veYk507, 6514072]
[paragraph, [29.0, 261.0, 177.0, 18.0], Mq5veYk507, 6514072]
[paragraph, [29.0, 279.0, 177.0, 18.0], Mq5veYk507, 6514072]
[paragraph, [29.0, 297.0, 177.0, 18.0], Mq5veYk507, 6514072]
[paragraph, [29.0, 315.0, 177.0, 18.0], Mq5veYk507, 6514072]
[paragraph, [29.0, 333.0, 177.0, 18.0], Mq5veYk507, 6514072]
[paragraph, [29.0, 351.0, 177.0, 18.0], Mq5veYk507, 6514072]
[paragraph, [29.0, 369.0, 177.0, 18.0], Mq5veYk507, 6514072]
[paragraph, [29.0, 387.0, 177.0, 18.0], Mq5veYk507, 6514072]
[paragraph, [30.0, 426.0, 303.0, 18.0], shoonya_2s3G0YLJQPWVZZ, 6514072]
[paragraph, [30.0, 444.0, 303.0, 18.0], shoonya_2s3G0YLJQPWVZZ, 6514072]
[paragraph, [31.0, 492.0, 66.0, 18.0], shoonya_3sD5X1I37U9562, 6514072]
[paragraph, [31.0, 510.0, 66.0, 18.0], shoonya_3sD5X1I37U9562, 6514072]
