[1447, 1063]
[folio, [438.0, 52.0, 213.0, 18.0], shoonya_4sUY9EG2S7TUZV, 5763183]
[paragraph, [533.0, 90.0, 438.0, 18.0], shoonya_3sJERULH552XWN, 5763183]
[paragraph, [533.0, 108.0, 438.0, 18.0], shoonya_3sJERULH552XWN, 5763183]
[paragraph, [533.0, 126.0, 438.0, 18.0], shoonya_3sJERULH552XWN, 5763183]
[paragraph, [533.0, 144.0, 438.0, 18.0], shoonya_3sJERULH552XWN, 5763183]
[paragraph, [533.0, 162.0, 438.0, 18.0], shoonya_3sJERULH552XWN, 5763183]
[paragraph, [533.0, 180.0, 438.0, 18.0], shoonya_3sJERULH552XWN, 5763183]
[paragraph, [533.0, 198.0, 438.0, 18.0], shoonya_3sJERULH552XWN, 5763183]
[paragraph, [533.0, 216.0, 438.0, 18.0], shoonya_3sJERULH552XWN, 5763183]
[paragraph, [533.0, 234.0, 438.0, 18.0], shoonya_3sJERULH552XWN, 5763183]
[paragraph, [533.0, 252.0, 438.0, 18.0], shoonya_3sJERULH552XWN, 5763183]
[paragraph, [533.0, 270.0, 438.0, 18.0], shoonya_3sJERULH552XWN, 5763183]
[paragraph, [533.0, 288.0, 438.0, 18.0], shoonya_3sJERULH552XWN, 5763183]
[paragraph, [533.0, 306.0, 438.0, 18.0], shoonya_3sJERULH552XWN, 5763183]
[paragraph, [533.0, 324.0, 438.0, 18.0], shoonya_3sJERULH552XWN, 5763183]
[paragraph, [533.0, 342.0, 438.0, 18.0], shoonya_3sJERULH552XWN, 5763183]
[paragraph, [533.0, 360.0, 438.0, 18.0], shoonya_3sJERULH552XWN, 5763183]
[paragraph, [533.0, 378.0, 438.0, 18.0], shoonya_3sJERULH552XWN, 5763183]
[paragraph, [533.0, 396.0, 438.0, 18.0], shoonya_3sJERULH552XWN, 5763183]
[paragraph, [533.0, 414.0, 438.0, 18.0], shoonya_3sJERULH552XWN, 5763183]
[paragraph, [533.0, 432.0, 438.0, 18.0], shoonya_3sJERULH552XWN, 5763183]
[paragraph, [533.0, 450.0, 438.0, 18.0], shoonya_3sJERULH552XWN, 5763183]
[paragraph, [533.0, 468.0, 438.0, 18.0], shoonya_3sJERULH552XWN, 5763183]
[paragraph, [533.0, 486.0, 438.0, 18.0], shoonya_3sJERULH552XWN, 5763183]
[paragraph, [533.0, 504.0, 438.0, 18.0], shoonya_3sJERULH552XWN, 5763183]
[paragraph, [533.0, 522.0, 438.0, 18.0], shoonya_3sJERULH552XWN, 5763183]
[paragraph, [533.0, 540.0, 438.0, 18.0], shoonya_3sJERULH552XWN, 5763183]
[paragraph, [533.0, 558.0, 438.0, 18.0], shoonya_3sJERULH552XWN, 5763183]
[paragraph, [533.0, 576.0, 438.0, 18.0], shoonya_3sJERULH552XWN, 5763183]
[paragraph, [533.0, 594.0, 438.0, 18.0], shoonya_3sJERULH552XWN, 5763183]
[paragraph, [533.0, 612.0, 438.0, 18.0], shoonya_3sJERULH552XWN, 5763183]
[paragraph, [533.0, 630.0, 438.0, 18.0], shoonya_3sJERULH552XWN, 5763183]
[paragraph, [533.0, 648.0, 438.0, 18.0], shoonya_3sJERULH552XWN, 5763183]
[paragraph, [533.0, 666.0, 438.0, 18.0], shoonya_3sJERULH552XWN, 5763183]
[paragraph, [533.0, 684.0, 438.0, 18.0], shoonya_3sJERULH552XWN, 5763183]
[paragraph, [533.0, 702.0, 438.0, 18.0], shoonya_3sJERULH552XWN, 5763183]
[paragraph, [533.0, 720.0, 438.0, 18.0], shoonya_3sJERULH552XWN, 5763183]
[paragraph, [533.0, 738.0, 438.0, 18.0], shoonya_3sJERULH552XWN, 5763183]
[paragraph, [533.0, 756.0, 438.0, 18.0], shoonya_3sJERULH552XWN, 5763183]
[paragraph, [533.0, 774.0, 438.0, 18.0], shoonya_3sJERULH552XWN, 5763183]
[paragraph, [533.0, 792.0, 438.0, 18.0], shoonya_3sJERULH552XWN, 5763183]
[paragraph, [533.0, 810.0, 438.0, 18.0], shoonya_3sJERULH552XWN, 5763183]
[paragraph, [533.0, 828.0, 438.0, 18.0], shoonya_3sJERULH552XWN, 5763183]
