[2067, 1567]
[folio, [1060.0, 195.0, 307.0, 36.0], qxjd1xW9Gi, 5735917]
[folio, [185.0, 199.0, 138.0, 36.0], Y2z6xu9oOa, 5735917]
[paragraph, [192.0, 250.0, 579.0, 36.0], shoonya_4sBVR6T2CAZSS8, 5735917]
[paragraph, [192.0, 286.0, 579.0, 36.0], shoonya_4sBVR6T2CAZSS8, 5735917]
[paragraph, [790.0, 255.0, 582.0, 36.0], shoonya_2sAHKGG2OQOLB2, 5735917]
[paragraph, [790.0, 291.0, 582.0, 36.0], shoonya_2sAHKGG2OQOLB2, 5735917]
[paragraph, [790.0, 327.0, 582.0, 36.0], shoonya_2sAHKGG2OQOLB2, 5735917]
[paragraph, [790.0, 363.0, 582.0, 36.0], shoonya_2sAHKGG2OQOLB2, 5735917]
[paragraph, [790.0, 399.0, 582.0, 36.0], shoonya_2sAHKGG2OQOLB2, 5735917]
[paragraph, [790.0, 435.0, 582.0, 36.0], shoonya_2sAHKGG2OQOLB2, 5735917]
[paragraph, [790.0, 471.0, 582.0, 36.0], shoonya_2sAHKGG2OQOLB2, 5735917]
[paragraph, [790.0, 507.0, 582.0, 36.0], shoonya_2sAHKGG2OQOLB2, 5735917]
[paragraph, [790.0, 543.0, 582.0, 36.0], shoonya_2sAHKGG2OQOLB2, 5735917]
[paragraph, [193.0, 336.0, 578.0, 36.0], shoonya_0s7NI4LWKP2YPT, 5735917]
[paragraph, [193.0, 372.0, 578.0, 36.0], shoonya_0s7NI4LWKP2YPT, 5735917]
[paragraph, [193.0, 408.0, 578.0, 36.0], shoonya_0s7NI4LWKP2YPT, 5735917]
[paragraph, [193.0, 444.0, 578.0, 36.0], shoonya_0s7NI4LWKP2YPT, 5735917]
[paragraph, [193.0, 480.0, 578.0, 36.0], shoonya_0s7NI4LWKP2YPT, 5735917]
[paragraph, [193.0, 516.0, 578.0, 36.0], shoonya_0s7NI4LWKP2YPT, 5735917]
[paragraph, [193.0, 552.0, 578.0, 36.0], shoonya_0s7NI4LWKP2YPT, 5735917]
[paragraph, [193.0, 588.0, 578.0, 36.0], shoonya_0s7NI4LWKP2YPT, 5735917]
[paragraph, [193.0, 624.0, 578.0, 36.0], shoonya_0s7NI4LWKP2YPT, 5735917]
[paragraph, [193.0, 660.0, 578.0, 36.0], shoonya_0s7NI4LWKP2YPT, 5735917]
[paragraph, [193.0, 696.0, 578.0, 36.0], shoonya_0s7NI4LWKP2YPT, 5735917]
[paragraph, [193.0, 732.0, 578.0, 36.0], shoonya_0s7NI4LWKP2YPT, 5735917]
[paragraph, [193.0, 768.0, 578.0, 36.0], shoonya_0s7NI4LWKP2YPT, 5735917]
[paragraph, [193.0, 804.0, 578.0, 36.0], shoonya_0s7NI4LWKP2YPT, 5735917]
[paragraph, [193.0, 840.0, 578.0, 36.0], shoonya_0s7NI4LWKP2YPT, 5735917]
[paragraph, [193.0, 876.0, 578.0, 36.0], shoonya_0s7NI4LWKP2YPT, 5735917]
[paragraph, [193.0, 912.0, 578.0, 36.0], shoonya_0s7NI4LWKP2YPT, 5735917]
[paragraph, [193.0, 948.0, 578.0, 36.0], shoonya_0s7NI4LWKP2YPT, 5735917]
[paragraph, [193.0, 984.0, 578.0, 36.0], shoonya_0s7NI4LWKP2YPT, 5735917]
[paragraph, [788.0, 606.0, 581.0, 36.0], shoonya_3sOOBLIXI576SW, 5735917]
[paragraph, [788.0, 642.0, 581.0, 36.0], shoonya_3sOOBLIXI576SW, 5735917]
[paragraph, [788.0, 678.0, 581.0, 36.0], shoonya_3sOOBLIXI576SW, 5735917]
[paragraph, [788.0, 714.0, 581.0, 36.0], shoonya_3sOOBLIXI576SW, 5735917]
[paragraph, [788.0, 750.0, 581.0, 36.0], shoonya_3sOOBLIXI576SW, 5735917]
[paragraph, [788.0, 786.0, 581.0, 36.0], shoonya_3sOOBLIXI576SW, 5735917]
[paragraph, [788.0, 822.0, 581.0, 36.0], shoonya_3sOOBLIXI576SW, 5735917]
[paragraph, [788.0, 858.0, 581.0, 36.0], shoonya_3sOOBLIXI576SW, 5735917]
[paragraph, [788.0, 894.0, 581.0, 36.0], shoonya_3sOOBLIXI576SW, 5735917]
[paragraph, [788.0, 930.0, 581.0, 36.0], shoonya_3sOOBLIXI576SW, 5735917]
[paragraph, [788.0, 966.0, 581.0, 36.0], shoonya_3sOOBLIXI576SW, 5735917]
