[1823, 1375]
[folio, [996.0, 119.0, 283.0, 36.0], shoonya_4sI4LWOW5KEPVT, 5684349]
[folio, [625.0, 125.0, 139.0, 36.0], ZKPn2JQy_A, 5684349]
[paragraph, [128.0, 184.0, 552.0, 36.0], shoonya_0s1IGATJCULR3N, 5684349]
[paragraph, [128.0, 220.0, 552.0, 36.0], shoonya_0s1IGATJCULR3N, 5684349]
[ordered-list, [699.0, 192.0, 563.0, 36.0], shoonya_5sH9U15UWQICK0, 5684349]
[ordered-list, [699.0, 228.0, 563.0, 36.0], shoonya_5sH9U15UWQICK0, 5684349]
[ordered-list, [699.0, 264.0, 563.0, 36.0], shoonya_5sH9U15UWQICK0, 5684349]
[ordered-list, [699.0, 300.0, 563.0, 36.0], shoonya_5sH9U15UWQICK0, 5684349]
[ordered-list, [699.0, 336.0, 563.0, 36.0], shoonya_5sH9U15UWQICK0, 5684349]
[ordered-list, [699.0, 372.0, 563.0, 36.0], shoonya_5sH9U15UWQICK0, 5684349]
[ordered-list, [699.0, 408.0, 563.0, 36.0], shoonya_5sH9U15UWQICK0, 5684349]
[ordered-list, [699.0, 444.0, 563.0, 36.0], shoonya_5sH9U15UWQICK0, 5684349]
[ordered-list, [699.0, 480.0, 563.0, 36.0], shoonya_5sH9U15UWQICK0, 5684349]
[ordered-list, [699.0, 516.0, 563.0, 36.0], shoonya_5sH9U15UWQICK0, 5684349]
[ordered-list, [699.0, 552.0, 563.0, 36.0], shoonya_5sH9U15UWQICK0, 5684349]
[ordered-list, [699.0, 588.0, 563.0, 36.0], shoonya_5sH9U15UWQICK0, 5684349]
[ordered-list, [699.0, 624.0, 563.0, 36.0], shoonya_5sH9U15UWQICK0, 5684349]
[ordered-list, [699.0, 660.0, 563.0, 36.0], shoonya_5sH9U15UWQICK0, 5684349]
[ordered-list, [699.0, 696.0, 563.0, 36.0], shoonya_5sH9U15UWQICK0, 5684349]
[ordered-list, [699.0, 732.0, 563.0, 36.0], shoonya_5sH9U15UWQICK0, 5684349]
[ordered-list, [699.0, 768.0, 563.0, 36.0], shoonya_5sH9U15UWQICK0, 5684349]
[ordered-list, [699.0, 804.0, 563.0, 36.0], shoonya_5sH9U15UWQICK0, 5684349]
[ordered-list, [699.0, 840.0, 563.0, 36.0], shoonya_5sH9U15UWQICK0, 5684349]
[ordered-list, [699.0, 876.0, 563.0, 36.0], shoonya_5sH9U15UWQICK0, 5684349]
[ordered-list, [699.0, 912.0, 563.0, 36.0], shoonya_5sH9U15UWQICK0, 5684349]
[ordered-list, [699.0, 948.0, 563.0, 36.0], shoonya_5sH9U15UWQICK0, 5684349]
[ordered-list, [699.0, 984.0, 563.0, 36.0], shoonya_5sH9U15UWQICK0, 5684349]
[ordered-list, [699.0, 1020.0, 563.0, 36.0], shoonya_5sH9U15UWQICK0, 5684349]
[ordered-list, [699.0, 1056.0, 563.0, 36.0], shoonya_5sH9U15UWQICK0, 5684349]
[ordered-list, [699.0, 1092.0, 563.0, 36.0], shoonya_5sH9U15UWQICK0, 5684349]
[ordered-list, [699.0, 1128.0, 563.0, 36.0], shoonya_5sH9U15UWQICK0, 5684349]
[ordered-list, [699.0, 1164.0, 563.0, 36.0], shoonya_5sH9U15UWQICK0, 5684349]
[ordered-list, [699.0, 1200.0, 563.0, 36.0], shoonya_5sH9U15UWQICK0, 5684349]
[ordered-list, [699.0, 1236.0, 563.0, 36.0], shoonya_5sH9U15UWQICK0, 5684349]
[ordered-list, [699.0, 1272.0, 563.0, 36.0], shoonya_5sH9U15UWQICK0, 5684349]
[ordered-list, [699.0, 1308.0, 563.0, 36.0], shoonya_5sH9U15UWQICK0, 5684349]
[ordered-list, [699.0, 1344.0, 563.0, 36.0], shoonya_5sH9U15UWQICK0, 5684349]
[ordered-list, [116.0, 277.0, 563.0, 36.0], shoonya_6s4MKU331JMIF4, 5684349]
[ordered-list, [116.0, 313.0, 563.0, 36.0], shoonya_6s4MKU331JMIF4, 5684349]
[ordered-list, [116.0, 349.0, 563.0, 36.0], shoonya_6s4MKU331JMIF4, 5684349]
[ordered-list, [116.0, 385.0, 563.0, 36.0], shoonya_6s4MKU331JMIF4, 5684349]
[ordered-list, [116.0, 421.0, 563.0, 36.0], shoonya_6s4MKU331JMIF4, 5684349]
[ordered-list, [116.0, 457.0, 563.0, 36.0], shoonya_6s4MKU331JMIF4, 5684349]
[ordered-list, [116.0, 493.0, 563.0, 36.0], shoonya_6s4MKU331JMIF4, 5684349]
[ordered-list, [116.0, 529.0, 563.0, 36.0], shoonya_6s4MKU331JMIF4, 5684349]
[ordered-list, [116.0, 565.0, 563.0, 36.0], shoonya_6s4MKU331JMIF4, 5684349]
[ordered-list, [116.0, 601.0, 563.0, 36.0], shoonya_6s4MKU331JMIF4, 5684349]
[ordered-list, [116.0, 637.0, 563.0, 36.0], shoonya_6s4MKU331JMIF4, 5684349]
[ordered-list, [116.0, 673.0, 563.0, 36.0], shoonya_6s4MKU331JMIF4, 5684349]
[ordered-list, [116.0, 709.0, 563.0, 36.0], shoonya_6s4MKU331JMIF4, 5684349]
[ordered-list, [116.0, 745.0, 563.0, 36.0], shoonya_6s4MKU331JMIF4, 5684349]
[ordered-list, [116.0, 781.0, 563.0, 36.0], shoonya_6s4MKU331JMIF4, 5684349]
[ordered-list, [116.0, 817.0, 563.0, 36.0], shoonya_6s4MKU331JMIF4, 5684349]
[ordered-list, [116.0, 853.0, 563.0, 36.0], shoonya_6s4MKU331JMIF4, 5684349]
[ordered-list, [116.0, 889.0, 563.0, 36.0], shoonya_6s4MKU331JMIF4, 5684349]
