[1372, 849]
[section-title, [269.0, 196.0, 313.0, 30.0], shoonya_0sI8TK0QNRL6D9, 5709779]
[paragraph, [59.0, 270.0, 722.0, 18.0], shoonya_1sP6XJX04E3FQP, 5709779]
[paragraph, [59.0, 288.0, 722.0, 18.0], shoonya_1sP6XJX04E3FQP, 5709779]
[paragraph, [59.0, 306.0, 722.0, 18.0], shoonya_1sP6XJX04E3FQP, 5709779]
[paragraph, [59.0, 324.0, 722.0, 18.0], shoonya_1sP6XJX04E3FQP, 5709779]
[paragraph, [59.0, 342.0, 722.0, 18.0], shoonya_1sP6XJX04E3FQP, 5709779]
[paragraph, [59.0, 360.0, 722.0, 18.0], shoonya_1sP6XJX04E3FQP, 5709779]
[paragraph, [59.0, 378.0, 722.0, 18.0], shoonya_1sP6XJX04E3FQP, 5709779]
[paragraph, [59.0, 396.0, 722.0, 18.0], shoonya_1sP6XJX04E3FQP, 5709779]
[paragraph, [59.0, 414.0, 722.0, 18.0], shoonya_1sP6XJX04E3FQP, 5709779]
[paragraph, [59.0, 432.0, 722.0, 18.0], shoonya_1sP6XJX04E3FQP, 5709779]
[paragraph, [59.0, 450.0, 722.0, 18.0], shoonya_1sP6XJX04E3FQP, 5709779]
[paragraph, [59.0, 468.0, 722.0, 18.0], shoonya_1sP6XJX04E3FQP, 5709779]
[paragraph, [59.0, 486.0, 722.0, 18.0], shoonya_1sP6XJX04E3FQP, 5709779]
[paragraph, [59.0, 504.0, 722.0, 18.0], shoonya_1sP6XJX04E3FQP, 5709779]
[paragraph, [59.0, 522.0, 722.0, 18.0], shoonya_1sP6XJX04E3FQP, 5709779]
[paragraph, [59.0, 540.0, 722.0, 18.0], shoonya_1sP6XJX04E3FQP, 5709779]
[paragraph, [59.0, 558.0, 722.0, 18.0], shoonya_1sP6XJX04E3FQP, 5709779]
[paragraph, [59.0, 576.0, 722.0, 18.0], shoonya_1sP6XJX04E3FQP, 5709779]
[paragraph, [59.0, 594.0, 722.0, 18.0], shoonya_1sP6XJX04E3FQP, 5709779]
[paragraph, [59.0, 612.0, 722.0, 18.0], shoonya_1sP6XJX04E3FQP, 5709779]
[paragraph, [59.0, 630.0, 722.0, 18.0], shoonya_1sP6XJX04E3FQP, 5709779]
[paragraph, [59.0, 648.0, 722.0, 18.0], shoonya_1sP6XJX04E3FQP, 5709779]
[paragraph, [59.0, 666.0, 722.0, 18.0], shoonya_1sP6XJX04E3FQP, 5709779]
[paragraph, [59.0, 684.0, 722.0, 18.0], shoonya_1sP6XJX04E3FQP, 5709779]
[paragraph, [59.0, 702.0, 722.0, 18.0], shoonya_1sP6XJX04E3FQP, 5709779]
[paragraph, [59.0, 720.0, 722.0, 18.0], shoonya_1sP6XJX04E3FQP, 5709779]
[paragraph, [59.0, 738.0, 722.0, 18.0], shoonya_1sP6XJX04E3FQP, 5709779]
[paragraph, [59.0, 756.0, 722.0, 18.0], shoonya_1sP6XJX04E3FQP, 5709779]
[paragraph, [59.0, 774.0, 722.0, 18.0], shoonya_1sP6XJX04E3FQP, 5709779]
[paragraph, [59.0, 792.0, 722.0, 18.0], shoonya_1sP6XJX04E3FQP, 5709779]
[paragraph, [59.0, 810.0, 722.0, 18.0], shoonya_1sP6XJX04E3FQP, 5709779]
[paragraph, [59.0, 828.0, 722.0, 18.0], shoonya_1sP6XJX04E3FQP, 5709779]
[paragraph, [59.0, 846.0, 722.0, 18.0], shoonya_1sP6XJX04E3FQP, 5709779]
[paragraph, [59.0, 864.0, 722.0, 18.0], shoonya_1sP6XJX04E3FQP, 5709779]
[paragraph, [59.0, 882.0, 722.0, 18.0], shoonya_1sP6XJX04E3FQP, 5709779]
[paragraph, [59.0, 900.0, 722.0, 18.0], shoonya_1sP6XJX04E3FQP, 5709779]
[paragraph, [59.0, 918.0, 722.0, 18.0], shoonya_1sP6XJX04E3FQP, 5709779]
[paragraph, [59.0, 936.0, 722.0, 18.0], shoonya_1sP6XJX04E3FQP, 5709779]
[paragraph, [59.0, 954.0, 722.0, 18.0], shoonya_1sP6XJX04E3FQP, 5709779]
[paragraph, [59.0, 972.0, 722.0, 18.0], shoonya_1sP6XJX04E3FQP, 5709779]
[paragraph, [59.0, 990.0, 722.0, 18.0], shoonya_1sP6XJX04E3FQP, 5709779]
[paragraph, [59.0, 1008.0, 722.0, 18.0], shoonya_1sP6XJX04E3FQP, 5709779]
[paragraph, [59.0, 1026.0, 722.0, 18.0], shoonya_1sP6XJX04E3FQP, 5709779]
[paragraph, [59.0, 1044.0, 722.0, 18.0], shoonya_1sP6XJX04E3FQP, 5709779]
[paragraph, [59.0, 1062.0, 722.0, 18.0], shoonya_1sP6XJX04E3FQP, 5709779]
[paragraph, [59.0, 1080.0, 722.0, 18.0], shoonya_1sP6XJX04E3FQP, 5709779]
[paragraph, [59.0, 1098.0, 722.0, 18.0], shoonya_1sP6XJX04E3FQP, 5709779]
[paragraph, [59.0, 1116.0, 722.0, 18.0], shoonya_1sP6XJX04E3FQP, 5709779]
[paragraph, [59.0, 1134.0, 722.0, 18.0], shoonya_1sP6XJX04E3FQP, 5709779]
[paragraph, [59.0, 1152.0, 722.0, 18.0], shoonya_1sP6XJX04E3FQP, 5709779]
[paragraph, [59.0, 1170.0, 722.0, 18.0], shoonya_1sP6XJX04E3FQP, 5709779]
[paragraph, [59.0, 1188.0, 722.0, 18.0], shoonya_1sP6XJX04E3FQP, 5709779]
[paragraph, [59.0, 1206.0, 722.0, 18.0], shoonya_1sP6XJX04E3FQP, 5709779]
[paragraph, [59.0, 1224.0, 722.0, 18.0], shoonya_1sP6XJX04E3FQP, 5709779]
[paragraph, [59.0, 1242.0, 722.0, 18.0], shoonya_1sP6XJX04E3FQP, 5709779]
[paragraph, [59.0, 1260.0, 722.0, 18.0], shoonya_1sP6XJX04E3FQP, 5709779]
