[792, 612]
[paragraph, [60.0, 52.0, 160.0, 18.0], TTRLQwF_2G, 6514447]
[paragraph, [60.0, 70.0, 160.0, 18.0], TTRLQwF_2G, 6514447]
[paragraph, [60.0, 88.0, 160.0, 18.0], TTRLQwF_2G, 6514447]
[paragraph, [223.0, 52.0, 162.0, 18.0], GZ2OWpxzVz, 6514447]
[paragraph, [223.0, 70.0, 162.0, 18.0], GZ2OWpxzVz, 6514447]
[paragraph, [223.0, 88.0, 162.0, 18.0], GZ2OWpxzVz, 6514447]
[paragraph, [223.0, 106.0, 162.0, 18.0], GZ2OWpxzVz, 6514447]
[paragraph, [223.0, 124.0, 162.0, 18.0], GZ2OWpxzVz, 6514447]
[paragraph, [223.0, 142.0, 162.0, 18.0], GZ2OWpxzVz, 6514447]
[paragraph, [223.0, 160.0, 162.0, 18.0], GZ2OWpxzVz, 6514447]
[paragraph, [223.0, 178.0, 162.0, 18.0], GZ2OWpxzVz, 6514447]
[paragraph, [223.0, 196.0, 162.0, 18.0], GZ2OWpxzVz, 6514447]
[paragraph, [223.0, 214.0, 162.0, 18.0], GZ2OWpxzVz, 6514447]
[paragraph, [223.0, 232.0, 162.0, 18.0], GZ2OWpxzVz, 6514447]
[paragraph, [223.0, 250.0, 162.0, 18.0], GZ2OWpxzVz, 6514447]
[paragraph, [393.0, 54.0, 156.0, 18.0], qy6ImqnPyw, 6514447]
[paragraph, [393.0, 72.0, 156.0, 18.0], qy6ImqnPyw, 6514447]
[paragraph, [393.0, 90.0, 156.0, 18.0], qy6ImqnPyw, 6514447]
[paragraph, [63.0, 112.0, 154.0, 18.0], dsKmR-v4ef, 6514447]
[paragraph, [63.0, 130.0, 154.0, 18.0], dsKmR-v4ef, 6514447]
[paragraph, [63.0, 148.0, 154.0, 18.0], dsKmR-v4ef, 6514447]
[paragraph, [63.0, 166.0, 154.0, 18.0], dsKmR-v4ef, 6514447]
[paragraph, [63.0, 184.0, 154.0, 18.0], dsKmR-v4ef, 6514447]
[paragraph, [63.0, 202.0, 154.0, 18.0], dsKmR-v4ef, 6514447]
[paragraph, [63.0, 220.0, 154.0, 18.0], dsKmR-v4ef, 6514447]
[paragraph, [63.0, 238.0, 154.0, 18.0], dsKmR-v4ef, 6514447]
[paragraph, [63.0, 256.0, 154.0, 18.0], dsKmR-v4ef, 6514447]
[paragraph, [63.0, 274.0, 154.0, 18.0], dsKmR-v4ef, 6514447]
[paragraph, [391.0, 113.0, 157.0, 18.0], u4dQWdlvpu, 6514447]
[paragraph, [391.0, 131.0, 157.0, 18.0], u4dQWdlvpu, 6514447]
[paragraph, [391.0, 149.0, 157.0, 18.0], u4dQWdlvpu, 6514447]
[paragraph, [391.0, 182.0, 161.0, 18.0], nLc8CogQxQ, 6514447]
[paragraph, [391.0, 200.0, 161.0, 18.0], nLc8CogQxQ, 6514447]
[paragraph, [390.0, 225.0, 158.0, 18.0], pZ03AbYOSo, 6514447]
[paragraph, [390.0, 243.0, 158.0, 18.0], pZ03AbYOSo, 6514447]
[paragraph, [389.0, 268.0, 159.0, 18.0], DO7vww3R5F, 6514447]
[paragraph, [389.0, 286.0, 159.0, 18.0], DO7vww3R5F, 6514447]
[paragraph, [389.0, 304.0, 159.0, 18.0], DO7vww3R5F, 6514447]
[paragraph, [389.0, 322.0, 159.0, 18.0], DO7vww3R5F, 6514447]
[paragraph, [389.0, 340.0, 159.0, 18.0], DO7vww3R5F, 6514447]
[paragraph, [389.0, 358.0, 159.0, 18.0], DO7vww3R5F, 6514447]
[paragraph, [389.0, 376.0, 159.0, 18.0], DO7vww3R5F, 6514447]
[paragraph, [389.0, 394.0, 159.0, 18.0], DO7vww3R5F, 6514447]
[paragraph, [389.0, 412.0, 159.0, 18.0], DO7vww3R5F, 6514447]
[paragraph, [224.0, 282.0, 159.0, 18.0], 18_4bD-yQu, 6514447]
[paragraph, [224.0, 300.0, 159.0, 18.0], 18_4bD-yQu, 6514447]
[paragraph, [224.0, 318.0, 159.0, 18.0], 18_4bD-yQu, 6514447]
[paragraph, [224.0, 336.0, 159.0, 18.0], 18_4bD-yQu, 6514447]
[paragraph, [224.0, 354.0, 159.0, 18.0], 18_4bD-yQu, 6514447]
[paragraph, [224.0, 372.0, 159.0, 18.0], 18_4bD-yQu, 6514447]
[paragraph, [224.0, 390.0, 159.0, 18.0], 18_4bD-yQu, 6514447]
[paragraph, [224.0, 408.0, 159.0, 18.0], 18_4bD-yQu, 6514447]
[paragraph, [224.0, 426.0, 159.0, 18.0], 18_4bD-yQu, 6514447]
[paragraph, [224.0, 444.0, 159.0, 18.0], 18_4bD-yQu, 6514447]
[paragraph, [224.0, 462.0, 159.0, 18.0], 18_4bD-yQu, 6514447]
[paragraph, [224.0, 480.0, 159.0, 18.0], 18_4bD-yQu, 6514447]
[paragraph, [224.0, 498.0, 159.0, 18.0], 18_4bD-yQu, 6514447]
[paragraph, [224.0, 516.0, 159.0, 18.0], 18_4bD-yQu, 6514447]
[paragraph, [64.0, 310.0, 154.0, 18.0], VCKy8ASnfz, 6514447]
[paragraph, [64.0, 328.0, 154.0, 18.0], VCKy8ASnfz, 6514447]
[paragraph, [64.0, 346.0, 154.0, 18.0], VCKy8ASnfz, 6514447]
[paragraph, [64.0, 364.0, 154.0, 18.0], VCKy8ASnfz, 6514447]
[paragraph, [63.0, 416.0, 158.0, 18.0], yiL0BlXF1Q, 6514447]
[paragraph, [63.0, 434.0, 158.0, 18.0], yiL0BlXF1Q, 6514447]
[paragraph, [63.0, 452.0, 158.0, 18.0], yiL0BlXF1Q, 6514447]
[paragraph, [63.0, 470.0, 158.0, 18.0], yiL0BlXF1Q, 6514447]
[paragraph, [63.0, 488.0, 158.0, 18.0], yiL0BlXF1Q, 6514447]
[paragraph, [63.0, 506.0, 158.0, 18.0], yiL0BlXF1Q, 6514447]
[paragraph, [63.0, 524.0, 158.0, 18.0], yiL0BlXF1Q, 6514447]
[paragraph, [63.0, 542.0, 158.0, 18.0], yiL0BlXF1Q, 6514447]
[paragraph, [63.0, 560.0, 158.0, 18.0], yiL0BlXF1Q, 6514447]
[paragraph, [63.0, 578.0, 158.0, 18.0], yiL0BlXF1Q, 6514447]
[paragraph, [63.0, 596.0, 158.0, 18.0], yiL0BlXF1Q, 6514447]
[paragraph, [63.0, 614.0, 158.0, 18.0], yiL0BlXF1Q, 6514447]
[paragraph, [63.0, 632.0, 158.0, 18.0], yiL0BlXF1Q, 6514447]
[paragraph, [63.0, 650.0, 158.0, 18.0], yiL0BlXF1Q, 6514447]
[paragraph, [63.0, 668.0, 158.0, 18.0], yiL0BlXF1Q, 6514447]
[paragraph, [63.0, 686.0, 158.0, 18.0], yiL0BlXF1Q, 6514447]
[paragraph, [388.0, 447.0, 163.0, 18.0], 3A3ZySCLZn, 6514447]
[paragraph, [388.0, 465.0, 163.0, 18.0], 3A3ZySCLZn, 6514447]
[paragraph, [388.0, 483.0, 163.0, 18.0], 3A3ZySCLZn, 6514447]
[paragraph, [392.0, 521.0, 159.0, 18.0], Zs2hYR0vBl, 6514447]
[paragraph, [392.0, 539.0, 159.0, 18.0], Zs2hYR0vBl, 6514447]
[paragraph, [392.0, 557.0, 159.0, 18.0], Zs2hYR0vBl, 6514447]
[paragraph, [392.0, 575.0, 159.0, 18.0], Zs2hYR0vBl, 6514447]
[paragraph, [225.0, 549.0, 161.0, 18.0], Zv9E87-Wn8, 6514447]
[paragraph, [225.0, 567.0, 161.0, 18.0], Zv9E87-Wn8, 6514447]
[paragraph, [225.0, 585.0, 161.0, 18.0], Zv9E87-Wn8, 6514447]
[paragraph, [225.0, 603.0, 161.0, 18.0], Zv9E87-Wn8, 6514447]
[paragraph, [225.0, 621.0, 161.0, 18.0], Zv9E87-Wn8, 6514447]
[paragraph, [225.0, 639.0, 161.0, 18.0], Zv9E87-Wn8, 6514447]
[paragraph, [390.0, 604.0, 162.0, 18.0], W_HPOsPJOR, 6514447]
[paragraph, [390.0, 622.0, 162.0, 18.0], W_HPOsPJOR, 6514447]
[paragraph, [390.0, 640.0, 162.0, 18.0], W_HPOsPJOR, 6514447]
[paragraph, [389.0, 676.0, 162.0, 18.0], MKV14lY9Zj, 6514447]
[paragraph, [389.0, 694.0, 162.0, 18.0], MKV14lY9Zj, 6514447]
[paragraph, [225.0, 690.0, 161.0, 18.0], ZchalCVanU, 6514447]
