[792, 612]
[folio, [231.0, 55.0, 149.0, 18.0], pydlSXCUgs, 6494389]
[section-title, [82.0, 103.0, 91.0, 30.0], 4xWz-XpoFw, 6494389]
[author, [91.0, 148.0, 135.0, 18.0], RGECPHEola, 6494389]
[paragraph, [91.0, 194.0, 289.0, 18.0], mGTZcPF2C5, 6494389]
[paragraph, [91.0, 212.0, 289.0, 18.0], mGTZcPF2C5, 6494389]
[paragraph, [91.0, 230.0, 289.0, 18.0], mGTZcPF2C5, 6494389]
[paragraph, [91.0, 248.0, 289.0, 18.0], mGTZcPF2C5, 6494389]
[paragraph, [91.0, 266.0, 289.0, 18.0], mGTZcPF2C5, 6494389]
[paragraph, [85.0, 296.0, 298.0, 18.0], djkzxRQhAR, 6494389]
[paragraph, [85.0, 314.0, 298.0, 18.0], djkzxRQhAR, 6494389]
[paragraph, [85.0, 332.0, 298.0, 18.0], djkzxRQhAR, 6494389]
[paragraph, [85.0, 350.0, 298.0, 18.0], djkzxRQhAR, 6494389]
[paragraph, [85.0, 368.0, 298.0, 18.0], djkzxRQhAR, 6494389]
[paragraph, [84.0, 390.0, 335.0, 18.0], kPKExgnptg, 6494389]
[paragraph, [84.0, 408.0, 335.0, 18.0], kPKExgnptg, 6494389]
[paragraph, [84.0, 426.0, 335.0, 18.0], kPKExgnptg, 6494389]
[paragraph, [84.0, 444.0, 335.0, 18.0], kPKExgnptg, 6494389]
[paragraph, [84.0, 462.0, 335.0, 18.0], kPKExgnptg, 6494389]
[paragraph, [84.0, 480.0, 335.0, 18.0], kPKExgnptg, 6494389]
[paragraph, [84.0, 498.0, 335.0, 18.0], kPKExgnptg, 6494389]
[paragraph, [84.0, 516.0, 335.0, 18.0], kPKExgnptg, 6494389]
[paragraph, [84.0, 534.0, 335.0, 18.0], kPKExgnptg, 6494389]
[paragraph, [84.0, 552.0, 335.0, 18.0], kPKExgnptg, 6494389]
[paragraph, [84.0, 570.0, 335.0, 18.0], kPKExgnptg, 6494389]
[paragraph, [84.0, 588.0, 335.0, 18.0], kPKExgnptg, 6494389]
[paragraph, [84.0, 606.0, 335.0, 18.0], kPKExgnptg, 6494389]
[paragraph, [84.0, 624.0, 335.0, 18.0], kPKExgnptg, 6494389]
[paragraph, [84.0, 642.0, 335.0, 18.0], kPKExgnptg, 6494389]
[paragraph, [84.0, 660.0, 335.0, 18.0], kPKExgnptg, 6494389]
[paragraph, [84.0, 678.0, 335.0, 18.0], kPKExgnptg, 6494389]
