[3888, 3092]
[headline, [467.0, 398.0, 2172.0, 52.5], Ds_2asi1xe, 5779610]
[headline, [467.0, 450.5, 2172.0, 52.5], Ds_2asi1xe, 5779610]
[headline, [467.0, 503.0, 2172.0, 52.5], Ds_2asi1xe, 5779610]
[headline, [467.0, 555.5, 2172.0, 52.5], Ds_2asi1xe, 5779610]
[headline, [467.0, 608.0, 2172.0, 52.5], Ds_2asi1xe, 5779610]
[headline, [467.0, 660.5, 2172.0, 52.5], Ds_2asi1xe, 5779610]
[headline, [467.0, 713.0, 2172.0, 52.5], Ds_2asi1xe, 5779610]
[headline, [467.0, 765.5, 2172.0, 52.5], Ds_2asi1xe, 5779610]
[headline, [467.0, 818.0, 2172.0, 52.5], Ds_2asi1xe, 5779610]
[headline, [467.0, 870.5, 2172.0, 52.5], Ds_2asi1xe, 5779610]
[headline, [467.0, 923.0, 2172.0, 52.5], Ds_2asi1xe, 5779610]
[headline, [467.0, 975.5, 2172.0, 52.5], Ds_2asi1xe, 5779610]
[headline, [467.0, 1028.0, 2172.0, 52.5], Ds_2asi1xe, 5779610]
[headline, [467.0, 1080.5, 2172.0, 52.5], Ds_2asi1xe, 5779610]
[headline, [467.0, 1133.0, 2172.0, 52.5], Ds_2asi1xe, 5779610]
[headline, [467.0, 1185.5, 2172.0, 52.5], Ds_2asi1xe, 5779610]
[sub-headline, [1024.0, 1102.0, 1016.0, 73.5], mADlN1tjZA, 5779610]
[paragraph, [933.0, 2338.0, 1219.0, 52.5], shoonya_0s08W7PPU4EOUL, 5779610]
[paragraph, [933.0, 2390.5, 1219.0, 52.5], shoonya_0s08W7PPU4EOUL, 5779610]
[paragraph, [933.0, 2443.0, 1219.0, 52.5], shoonya_0s08W7PPU4EOUL, 5779610]
[paragraph, [933.0, 2495.5, 1219.0, 52.5], shoonya_0s08W7PPU4EOUL, 5779610]
[paragraph, [933.0, 2548.0, 1219.0, 52.5], shoonya_0s08W7PPU4EOUL, 5779610]
[paragraph, [933.0, 2600.5, 1219.0, 52.5], shoonya_0s08W7PPU4EOUL, 5779610]
[paragraph, [933.0, 2653.0, 1219.0, 52.5], shoonya_0s08W7PPU4EOUL, 5779610]
[paragraph, [933.0, 2705.5, 1219.0, 52.5], shoonya_0s08W7PPU4EOUL, 5779610]
[paragraph, [933.0, 2758.0, 1219.0, 52.5], shoonya_0s08W7PPU4EOUL, 5779610]
[paragraph, [933.0, 2810.5, 1219.0, 52.5], shoonya_0s08W7PPU4EOUL, 5779610]
[paragraph, [1263.0, 2909.0, 548.0, 52.5], 7jJyh1DBc-, 5779610]
[contact-info, [1004.0, 3002.0, 1082.0, 52.5], t-RBI9pozW, 5779610]
[contact-info, [1004.0, 3054.5, 1082.0, 52.5], t-RBI9pozW, 5779610]
[contact-info, [1004.0, 3107.0, 1082.0, 52.5], t-RBI9pozW, 5779610]
[contact-info, [521.0, 3210.0, 2032.0, 52.5], UlttuBE_TH, 5779610]
[contact-info, [521.0, 3262.5, 2032.0, 52.5], UlttuBE_TH, 5779610]
[contact-info, [521.0, 3315.0, 2032.0, 52.5], UlttuBE_TH, 5779610]
[contact-info, [521.0, 3367.5, 2032.0, 52.5], UlttuBE_TH, 5779610]
