[2339, 1653]
[paragraph, [247.0, 246.0, 1153.0, 36.0], shoonya_2s29RJ5GH0FOFH, 5687044]
[paragraph, [247.0, 282.0, 1153.0, 36.0], shoonya_2s29RJ5GH0FOFH, 5687044]
[paragraph, [247.0, 318.0, 1153.0, 36.0], shoonya_2s29RJ5GH0FOFH, 5687044]
[paragraph, [247.0, 354.0, 1153.0, 36.0], shoonya_2s29RJ5GH0FOFH, 5687044]
[paragraph, [247.0, 390.0, 1153.0, 36.0], shoonya_2s29RJ5GH0FOFH, 5687044]
[paragraph, [247.0, 426.0, 1153.0, 36.0], shoonya_2s29RJ5GH0FOFH, 5687044]
[paragraph, [247.0, 462.0, 1153.0, 36.0], shoonya_2s29RJ5GH0FOFH, 5687044]
[paragraph, [247.0, 498.0, 1153.0, 36.0], shoonya_2s29RJ5GH0FOFH, 5687044]
[paragraph, [247.0, 534.0, 1153.0, 36.0], shoonya_2s29RJ5GH0FOFH, 5687044]
[paragraph, [247.0, 570.0, 1153.0, 36.0], shoonya_2s29RJ5GH0FOFH, 5687044]
[paragraph, [247.0, 606.0, 1153.0, 36.0], shoonya_2s29RJ5GH0FOFH, 5687044]
[paragraph, [247.0, 642.0, 1153.0, 36.0], shoonya_2s29RJ5GH0FOFH, 5687044]
[paragraph, [247.0, 678.0, 1153.0, 36.0], shoonya_2s29RJ5GH0FOFH, 5687044]
[paragraph, [252.0, 726.0, 249.0, 36.0], shoonya_3sQ8NQSK8J7ISB, 5687044]
[reference, [505.0, 727.0, 259.0, 36.0], shoonya_4s8NHCKLQTT3B9, 5687044]
[paragraph, [246.0, 800.0, 1160.0, 36.0], shoonya_5s4X02KY8OWFWV, 5687044]
[paragraph, [246.0, 836.0, 1160.0, 36.0], shoonya_5s4X02KY8OWFWV, 5687044]
[paragraph, [246.0, 872.0, 1160.0, 36.0], shoonya_5s4X02KY8OWFWV, 5687044]
[paragraph, [246.0, 908.0, 1160.0, 36.0], shoonya_5s4X02KY8OWFWV, 5687044]
[paragraph, [246.0, 944.0, 1160.0, 36.0], shoonya_5s4X02KY8OWFWV, 5687044]
[paragraph, [246.0, 980.0, 1160.0, 36.0], shoonya_5s4X02KY8OWFWV, 5687044]
[paragraph, [246.0, 1016.0, 1160.0, 36.0], shoonya_5s4X02KY8OWFWV, 5687044]
[paragraph, [246.0, 1052.0, 1160.0, 36.0], shoonya_5s4X02KY8OWFWV, 5687044]
[paragraph, [246.0, 1088.0, 1160.0, 36.0], shoonya_5s4X02KY8OWFWV, 5687044]
[paragraph, [246.0, 1124.0, 1160.0, 36.0], shoonya_5s4X02KY8OWFWV, 5687044]
[paragraph, [246.0, 1160.0, 1160.0, 36.0], shoonya_5s4X02KY8OWFWV, 5687044]
[paragraph, [246.0, 1196.0, 1160.0, 36.0], shoonya_5s4X02KY8OWFWV, 5687044]
[paragraph, [246.0, 1232.0, 1160.0, 36.0], shoonya_5s4X02KY8OWFWV, 5687044]
[paragraph, [749.0, 1286.0, 654.0, 36.0], YvAlIi3Qmo, 5687044]
[paragraph, [237.0, 1350.0, 1165.0, 36.0], e91BrhE9eZ, 5687044]
[paragraph, [237.0, 1386.0, 1165.0, 36.0], e91BrhE9eZ, 5687044]
[paragraph, [237.0, 1422.0, 1165.0, 36.0], e91BrhE9eZ, 5687044]
[paragraph, [237.0, 1458.0, 1165.0, 36.0], e91BrhE9eZ, 5687044]
[paragraph, [237.0, 1494.0, 1165.0, 36.0], e91BrhE9eZ, 5687044]
[paragraph, [237.0, 1530.0, 1165.0, 36.0], e91BrhE9eZ, 5687044]
[paragraph, [237.0, 1566.0, 1165.0, 36.0], e91BrhE9eZ, 5687044]
[paragraph, [232.0, 1630.0, 629.0, 36.0], aDnk99NYWQ, 5687044]
[reference, [863.0, 1630.0, 261.0, 36.0], M9CwargvC4, 5687044]
[paragraph, [229.0, 1699.0, 1175.0, 36.0], wfj-kGmUIt, 5687044]
[paragraph, [229.0, 1735.0, 1175.0, 36.0], wfj-kGmUIt, 5687044]
[paragraph, [229.0, 1771.0, 1175.0, 36.0], wfj-kGmUIt, 5687044]
[paragraph, [229.0, 1807.0, 1175.0, 36.0], wfj-kGmUIt, 5687044]
[paragraph, [229.0, 1843.0, 1175.0, 36.0], wfj-kGmUIt, 5687044]
[paragraph, [719.0, 1915.0, 685.0, 36.0], EosYJ0l9IX, 5687044]
[paragraph, [225.0, 1975.0, 1190.0, 36.0], C0NOG4LYyF, 5687044]
[paragraph, [225.0, 2011.0, 1190.0, 36.0], C0NOG4LYyF, 5687044]
[paragraph, [225.0, 2047.0, 1190.0, 36.0], C0NOG4LYyF, 5687044]
