[2334, 1650]
[paragraph, [309.0, 160.0, 1142.0, 36.0], shoonya_4sIJV95R0MVLL5, 5653047]
[paragraph, [309.0, 196.0, 1142.0, 36.0], shoonya_4sIJV95R0MVLL5, 5653047]
[paragraph, [309.0, 232.0, 1142.0, 36.0], shoonya_4sIJV95R0MVLL5, 5653047]
[paragraph, [316.0, 273.0, 1134.0, 36.0], shoonya_1sT7Y2KBB966DJ, 5653047]
[paragraph, [316.0, 309.0, 1134.0, 36.0], shoonya_1sT7Y2KBB966DJ, 5653047]
[paragraph, [316.0, 345.0, 1134.0, 36.0], shoonya_1sT7Y2KBB966DJ, 5653047]
[paragraph, [316.0, 381.0, 1134.0, 36.0], shoonya_1sT7Y2KBB966DJ, 5653047]
[paragraph, [316.0, 417.0, 1134.0, 36.0], shoonya_1sT7Y2KBB966DJ, 5653047]
[paragraph, [316.0, 453.0, 1134.0, 36.0], shoonya_1sT7Y2KBB966DJ, 5653047]
[paragraph, [316.0, 489.0, 1134.0, 36.0], shoonya_1sT7Y2KBB966DJ, 5653047]
[paragraph, [316.0, 525.0, 1134.0, 36.0], shoonya_1sT7Y2KBB966DJ, 5653047]
[paragraph, [316.0, 561.0, 1134.0, 36.0], shoonya_1sT7Y2KBB966DJ, 5653047]
[paragraph, [316.0, 597.0, 1134.0, 36.0], shoonya_1sT7Y2KBB966DJ, 5653047]
[paragraph, [316.0, 633.0, 1134.0, 36.0], shoonya_1sT7Y2KBB966DJ, 5653047]
[paragraph, [334.0, 664.0, 1119.0, 36.0], shoonya_0sDD2AZRLETKVM, 5653047]
[paragraph, [334.0, 700.0, 1119.0, 36.0], shoonya_0sDD2AZRLETKVM, 5653047]
[paragraph, [334.0, 736.0, 1119.0, 36.0], shoonya_0sDD2AZRLETKVM, 5653047]
[paragraph, [334.0, 772.0, 1119.0, 36.0], shoonya_0sDD2AZRLETKVM, 5653047]
[paragraph, [334.0, 808.0, 1119.0, 36.0], shoonya_0sDD2AZRLETKVM, 5653047]
[paragraph, [334.0, 844.0, 1119.0, 36.0], shoonya_0sDD2AZRLETKVM, 5653047]
[paragraph, [334.0, 880.0, 1119.0, 36.0], shoonya_0sDD2AZRLETKVM, 5653047]
[paragraph, [334.0, 916.0, 1119.0, 36.0], shoonya_0sDD2AZRLETKVM, 5653047]
[paragraph, [334.0, 952.0, 1119.0, 36.0], shoonya_0sDD2AZRLETKVM, 5653047]
[paragraph, [334.0, 988.0, 1119.0, 36.0], shoonya_0sDD2AZRLETKVM, 5653047]
[paragraph, [334.0, 1024.0, 1119.0, 36.0], shoonya_0sDD2AZRLETKVM, 5653047]
[paragraph, [334.0, 1060.0, 1119.0, 36.0], shoonya_0sDD2AZRLETKVM, 5653047]
[paragraph, [341.0, 1118.0, 1108.0, 36.0], shoonya_3sG52YW3MTFDEE, 5653047]
[paragraph, [341.0, 1154.0, 1108.0, 36.0], shoonya_3sG52YW3MTFDEE, 5653047]
[paragraph, [341.0, 1190.0, 1108.0, 36.0], shoonya_3sG52YW3MTFDEE, 5653047]
[paragraph, [341.0, 1226.0, 1108.0, 36.0], shoonya_3sG52YW3MTFDEE, 5653047]
[paragraph, [341.0, 1262.0, 1108.0, 36.0], shoonya_3sG52YW3MTFDEE, 5653047]
[paragraph, [341.0, 1298.0, 1108.0, 36.0], shoonya_3sG52YW3MTFDEE, 5653047]
[paragraph, [331.0, 1337.0, 1123.0, 36.0], shoonya_2sMK3VIXKFNKWG, 5653047]
[paragraph, [331.0, 1373.0, 1123.0, 36.0], shoonya_2sMK3VIXKFNKWG, 5653047]
[paragraph, [331.0, 1409.0, 1123.0, 36.0], shoonya_2sMK3VIXKFNKWG, 5653047]
[paragraph, [331.0, 1445.0, 1123.0, 36.0], shoonya_2sMK3VIXKFNKWG, 5653047]
[paragraph, [331.0, 1481.0, 1123.0, 36.0], shoonya_2sMK3VIXKFNKWG, 5653047]
[paragraph, [331.0, 1517.0, 1123.0, 36.0], shoonya_2sMK3VIXKFNKWG, 5653047]
[paragraph, [331.0, 1553.0, 1123.0, 36.0], shoonya_2sMK3VIXKFNKWG, 5653047]
[paragraph, [331.0, 1589.0, 1123.0, 36.0], shoonya_2sMK3VIXKFNKWG, 5653047]
[paragraph, [331.0, 1625.0, 1123.0, 36.0], shoonya_2sMK3VIXKFNKWG, 5653047]
[paragraph, [331.0, 1661.0, 1123.0, 36.0], shoonya_2sMK3VIXKFNKWG, 5653047]
[paragraph, [331.0, 1697.0, 1123.0, 36.0], shoonya_2sMK3VIXKFNKWG, 5653047]
[paragraph, [331.0, 1733.0, 1123.0, 36.0], shoonya_2sMK3VIXKFNKWG, 5653047]
[paragraph, [311.0, 1847.0, 1148.0, 36.0], yxdPNPcwuW, 5653047]
[paragraph, [311.0, 1883.0, 1148.0, 36.0], yxdPNPcwuW, 5653047]
[paragraph, [311.0, 1919.0, 1148.0, 36.0], yxdPNPcwuW, 5653047]
[paragraph, [311.0, 1955.0, 1148.0, 36.0], yxdPNPcwuW, 5653047]
[paragraph, [311.0, 1991.0, 1148.0, 36.0], yxdPNPcwuW, 5653047]
[folio, [387.0, 2090.0, 354.0, 36.0], jUiPoRcq7n, 5653047]
