[2061, 1233]
[paragraph, [122.0, 127.0, 987.0, 36.0], shoonya_5s6R5UHQSFROXX, 5692093]
[paragraph, [122.0, 163.0, 987.0, 36.0], shoonya_5s6R5UHQSFROXX, 5692093]
[paragraph, [113.0, 235.0, 987.0, 36.0], shoonya_3sO5DBG21K41GI, 5692093]
[paragraph, [113.0, 271.0, 987.0, 36.0], shoonya_3sO5DBG21K41GI, 5692093]
[paragraph, [113.0, 307.0, 987.0, 36.0], shoonya_3sO5DBG21K41GI, 5692093]
[paragraph, [111.0, 352.0, 990.0, 36.0], shoonya_2sCWVUUVEIA2R4, 5692093]
[paragraph, [111.0, 388.0, 990.0, 36.0], shoonya_2sCWVUUVEIA2R4, 5692093]
[paragraph, [111.0, 424.0, 990.0, 36.0], shoonya_2sCWVUUVEIA2R4, 5692093]
[paragraph, [111.0, 460.0, 990.0, 36.0], shoonya_2sCWVUUVEIA2R4, 5692093]
[paragraph, [111.0, 496.0, 990.0, 36.0], shoonya_2sCWVUUVEIA2R4, 5692093]
[paragraph, [111.0, 532.0, 990.0, 36.0], shoonya_2sCWVUUVEIA2R4, 5692093]
[paragraph, [118.0, 581.0, 985.0, 36.0], shoonya_4sQ4EOI71KNLVN, 5692093]
[paragraph, [118.0, 617.0, 985.0, 36.0], shoonya_4sQ4EOI71KNLVN, 5692093]
[paragraph, [118.0, 653.0, 985.0, 36.0], shoonya_4sQ4EOI71KNLVN, 5692093]
[paragraph, [118.0, 689.0, 985.0, 36.0], shoonya_4sQ4EOI71KNLVN, 5692093]
[paragraph, [118.0, 725.0, 985.0, 36.0], shoonya_4sQ4EOI71KNLVN, 5692093]
[paragraph, [118.0, 761.0, 985.0, 36.0], shoonya_4sQ4EOI71KNLVN, 5692093]
[paragraph, [118.0, 797.0, 985.0, 36.0], shoonya_4sQ4EOI71KNLVN, 5692093]
[paragraph, [164.0, 861.0, 471.0, 36.0], eOH-aPmzI6, 5692093]
[paragraph, [118.0, 924.0, 992.0, 36.0], OVyug6Ynt1, 5692093]
[paragraph, [118.0, 960.0, 992.0, 36.0], OVyug6Ynt1, 5692093]
[paragraph, [118.0, 996.0, 992.0, 36.0], OVyug6Ynt1, 5692093]
[paragraph, [118.0, 1032.0, 992.0, 36.0], OVyug6Ynt1, 5692093]
[paragraph, [118.0, 1097.0, 982.0, 36.0], shoonya_0sTUPQUX74IZL9, 5692093]
[paragraph, [118.0, 1133.0, 982.0, 36.0], shoonya_0sTUPQUX74IZL9, 5692093]
[paragraph, [118.0, 1169.0, 982.0, 36.0], shoonya_0sTUPQUX74IZL9, 5692093]
[paragraph, [118.0, 1205.0, 982.0, 36.0], shoonya_0sTUPQUX74IZL9, 5692093]
[paragraph, [118.0, 1241.0, 982.0, 36.0], shoonya_0sTUPQUX74IZL9, 5692093]
[paragraph, [118.0, 1277.0, 982.0, 36.0], shoonya_0sTUPQUX74IZL9, 5692093]
[paragraph, [118.0, 1313.0, 982.0, 36.0], shoonya_0sTUPQUX74IZL9, 5692093]
[paragraph, [118.0, 1349.0, 982.0, 36.0], shoonya_0sTUPQUX74IZL9, 5692093]
[paragraph, [118.0, 1385.0, 982.0, 36.0], shoonya_0sTUPQUX74IZL9, 5692093]
[paragraph, [118.0, 1421.0, 982.0, 36.0], shoonya_0sTUPQUX74IZL9, 5692093]
[paragraph, [118.0, 1457.0, 982.0, 36.0], shoonya_0sTUPQUX74IZL9, 5692093]
[paragraph, [118.0, 1493.0, 982.0, 36.0], shoonya_0sTUPQUX74IZL9, 5692093]
[paragraph, [118.0, 1529.0, 982.0, 36.0], shoonya_0sTUPQUX74IZL9, 5692093]
[paragraph, [118.0, 1565.0, 982.0, 36.0], shoonya_0sTUPQUX74IZL9, 5692093]
[paragraph, [118.0, 1601.0, 982.0, 36.0], shoonya_0sTUPQUX74IZL9, 5692093]
[paragraph, [118.0, 1637.0, 982.0, 36.0], shoonya_0sTUPQUX74IZL9, 5692093]
[paragraph, [118.0, 1673.0, 982.0, 36.0], shoonya_0sTUPQUX74IZL9, 5692093]
[paragraph, [117.0, 1723.0, 998.0, 36.0], C4fGfqshe1, 5692093]
[paragraph, [117.0, 1759.0, 998.0, 36.0], C4fGfqshe1, 5692093]
[paragraph, [117.0, 1795.0, 998.0, 36.0], C4fGfqshe1, 5692093]
[paragraph, [117.0, 1831.0, 998.0, 36.0], C4fGfqshe1, 5692093]
