[1275, 750]
[folio, [313.0, 91.0, 127.0, 18.0], shoonya_1sKATNB436AIRI, 5767432]
[folio, [313.0, 109.0, 127.0, 18.0], shoonya_1sKATNB436AIRI, 5767432]
[paragraph, [73.0, 146.0, 616.0, 18.0], shoonya_2sPTP3I3J98P6O, 5767432]
[paragraph, [73.0, 164.0, 616.0, 18.0], shoonya_2sPTP3I3J98P6O, 5767432]
[paragraph, [73.0, 182.0, 616.0, 18.0], shoonya_2sPTP3I3J98P6O, 5767432]
[paragraph, [73.0, 200.0, 616.0, 18.0], shoonya_2sPTP3I3J98P6O, 5767432]
[paragraph, [73.0, 218.0, 616.0, 18.0], shoonya_2sPTP3I3J98P6O, 5767432]
[paragraph, [73.0, 236.0, 616.0, 18.0], shoonya_2sPTP3I3J98P6O, 5767432]
[paragraph, [73.0, 254.0, 616.0, 18.0], shoonya_2sPTP3I3J98P6O, 5767432]
[paragraph, [73.0, 272.0, 616.0, 18.0], shoonya_2sPTP3I3J98P6O, 5767432]
[paragraph, [73.0, 290.0, 616.0, 18.0], shoonya_2sPTP3I3J98P6O, 5767432]
[paragraph, [73.0, 308.0, 616.0, 18.0], shoonya_2sPTP3I3J98P6O, 5767432]
[paragraph, [73.0, 326.0, 616.0, 18.0], shoonya_2sPTP3I3J98P6O, 5767432]
[paragraph, [73.0, 344.0, 616.0, 18.0], shoonya_2sPTP3I3J98P6O, 5767432]
[paragraph, [73.0, 362.0, 616.0, 18.0], shoonya_2sPTP3I3J98P6O, 5767432]
[paragraph, [73.0, 380.0, 616.0, 18.0], shoonya_2sPTP3I3J98P6O, 5767432]
[paragraph, [73.0, 398.0, 616.0, 18.0], shoonya_2sPTP3I3J98P6O, 5767432]
[paragraph, [73.0, 416.0, 616.0, 18.0], shoonya_2sPTP3I3J98P6O, 5767432]
[paragraph, [73.0, 434.0, 616.0, 18.0], shoonya_2sPTP3I3J98P6O, 5767432]
[paragraph, [73.0, 452.0, 616.0, 18.0], shoonya_2sPTP3I3J98P6O, 5767432]
[paragraph, [73.0, 470.0, 616.0, 18.0], shoonya_2sPTP3I3J98P6O, 5767432]
[paragraph, [73.0, 488.0, 616.0, 18.0], shoonya_2sPTP3I3J98P6O, 5767432]
[paragraph, [73.0, 506.0, 616.0, 18.0], shoonya_2sPTP3I3J98P6O, 5767432]
[paragraph, [73.0, 524.0, 616.0, 18.0], shoonya_2sPTP3I3J98P6O, 5767432]
[paragraph, [73.0, 542.0, 616.0, 18.0], shoonya_2sPTP3I3J98P6O, 5767432]
[paragraph, [73.0, 560.0, 616.0, 18.0], shoonya_2sPTP3I3J98P6O, 5767432]
[paragraph, [73.0, 578.0, 616.0, 18.0], shoonya_2sPTP3I3J98P6O, 5767432]
[paragraph, [73.0, 596.0, 616.0, 18.0], shoonya_2sPTP3I3J98P6O, 5767432]
[paragraph, [73.0, 614.0, 616.0, 18.0], shoonya_2sPTP3I3J98P6O, 5767432]
[paragraph, [73.0, 632.0, 616.0, 18.0], shoonya_2sPTP3I3J98P6O, 5767432]
[paragraph, [73.0, 650.0, 616.0, 18.0], shoonya_2sPTP3I3J98P6O, 5767432]
[paragraph, [73.0, 668.0, 616.0, 18.0], shoonya_2sPTP3I3J98P6O, 5767432]
[paragraph, [73.0, 686.0, 616.0, 18.0], shoonya_2sPTP3I3J98P6O, 5767432]
[paragraph, [73.0, 704.0, 616.0, 18.0], shoonya_2sPTP3I3J98P6O, 5767432]
[section-title, [297.0, 737.0, 141.0, 30.0], PxO3HSF1cy, 5767432]
[paragraph, [95.0, 783.0, 523.0, 18.0], Riu9BRYnQJ, 5767432]
[paragraph, [95.0, 801.0, 523.0, 18.0], Riu9BRYnQJ, 5767432]
[paragraph, [95.0, 819.0, 523.0, 18.0], Riu9BRYnQJ, 5767432]
[paragraph, [95.0, 837.0, 523.0, 18.0], Riu9BRYnQJ, 5767432]
[paragraph, [491.0, 872.0, 183.0, 18.0], vTjetLn1fY, 5767432]
[paragraph, [491.0, 890.0, 183.0, 18.0], vTjetLn1fY, 5767432]
[paragraph, [70.0, 914.0, 614.0, 18.0], kKqOdmyzdv, 5767432]
[paragraph, [70.0, 932.0, 614.0, 18.0], kKqOdmyzdv, 5767432]
[paragraph, [70.0, 950.0, 614.0, 18.0], kKqOdmyzdv, 5767432]
[paragraph, [70.0, 968.0, 614.0, 18.0], kKqOdmyzdv, 5767432]
[paragraph, [70.0, 986.0, 614.0, 18.0], kKqOdmyzdv, 5767432]
[paragraph, [70.0, 1004.0, 614.0, 18.0], kKqOdmyzdv, 5767432]
[paragraph, [70.0, 1022.0, 614.0, 18.0], kKqOdmyzdv, 5767432]
[paragraph, [70.0, 1040.0, 614.0, 18.0], kKqOdmyzdv, 5767432]
[paragraph, [70.0, 1058.0, 614.0, 18.0], kKqOdmyzdv, 5767432]
[paragraph, [70.0, 1076.0, 614.0, 18.0], kKqOdmyzdv, 5767432]
[paragraph, [70.0, 1094.0, 614.0, 18.0], kKqOdmyzdv, 5767432]
[paragraph, [70.0, 1112.0, 614.0, 18.0], kKqOdmyzdv, 5767432]
[paragraph, [70.0, 1130.0, 614.0, 18.0], kKqOdmyzdv, 5767432]
[paragraph, [70.0, 1148.0, 614.0, 18.0], kKqOdmyzdv, 5767432]
[paragraph, [70.0, 1166.0, 614.0, 18.0], kKqOdmyzdv, 5767432]
