[577, 422]
[folio, [81.0, 30.0, 150.0, 18.0], zDcedfca2_, 6494393]
[paragraph, [57.0, 99.0, 173.0, 18.0], MUJmqm3D6q, 6494393]
[paragraph, [57.0, 117.0, 173.0, 18.0], MUJmqm3D6q, 6494393]
[paragraph, [52.0, 150.0, 222.0, 18.0], lxYwkLMTPD, 6494393]
[paragraph, [52.0, 168.0, 222.0, 18.0], lxYwkLMTPD, 6494393]
[paragraph, [51.0, 212.0, 265.0, 18.0], YwYKE0_Y-m, 6494393]
[paragraph, [51.0, 230.0, 265.0, 18.0], YwYKE0_Y-m, 6494393]
[paragraph, [59.0, 261.0, 260.0, 18.0], 1jYq3OhhPB, 6494393]
[paragraph, [59.0, 279.0, 260.0, 18.0], 1jYq3OhhPB, 6494393]
[paragraph, [59.0, 297.0, 260.0, 18.0], 1jYq3OhhPB, 6494393]
[paragraph, [59.0, 315.0, 260.0, 18.0], 1jYq3OhhPB, 6494393]
[paragraph, [59.0, 333.0, 260.0, 18.0], 1jYq3OhhPB, 6494393]
[paragraph, [59.0, 351.0, 260.0, 18.0], 1jYq3OhhPB, 6494393]
[paragraph, [55.0, 398.0, 239.0, 18.0], FSI3FybyXu, 6494393]
[paragraph, [55.0, 416.0, 239.0, 18.0], FSI3FybyXu, 6494393]
[paragraph, [55.0, 434.0, 239.0, 18.0], FSI3FybyXu, 6494393]
[paragraph, [61.0, 475.0, 292.0, 18.0], DHchM1Wx8N, 6494393]
[paragraph, [61.0, 493.0, 292.0, 18.0], DHchM1Wx8N, 6494393]
[paragraph, [61.0, 511.0, 292.0, 18.0], DHchM1Wx8N, 6494393]
