[595, 454]
[chapter-title, [170.0, 25.0, 119.0, 30.0], -hNGjhDghV, 6460909]
[paragraph, [35.0, 55.0, 400.0, 18.0], shoonya_9s2GVI4LGCFAR2, 6460909]
[paragraph, [35.0, 73.0, 400.0, 18.0], shoonya_9s2GVI4LGCFAR2, 6460909]
[paragraph, [35.0, 91.0, 400.0, 18.0], shoonya_9s2GVI4LGCFAR2, 6460909]
[paragraph, [30.0, 118.0, 385.0, 18.0], shoonya_6s86BREJM9UBQD, 6460909]
[paragraph, [30.0, 136.0, 385.0, 18.0], shoonya_6s86BREJM9UBQD, 6460909]
[paragraph, [23.0, 166.0, 402.0, 18.0], C5Tg4aKM2E, 6460909]
[paragraph, [34.0, 191.0, 389.0, 18.0], gG69d551H2, 6460909]
[paragraph, [34.0, 209.0, 389.0, 18.0], gG69d551H2, 6460909]
[paragraph, [34.0, 227.0, 389.0, 18.0], gG69d551H2, 6460909]
[paragraph, [52.0, 249.0, 359.0, 18.0], qkkiAuvE0f, 6460909]
[paragraph, [52.0, 280.0, 315.0, 18.0], 2yK_rMzVs4, 6460909]
[paragraph, [50.0, 297.0, 249.0, 18.0], fzaM9K0i7x, 6460909]
