[1008, 612]
[ordered-list, [58.0, 61.0, 502.0, 18.0], sHo0MTapik, 5717384]
[ordered-list, [58.0, 79.0, 502.0, 18.0], sHo0MTapik, 5717384]
[ordered-list, [58.0, 97.0, 502.0, 18.0], sHo0MTapik, 5717384]
[ordered-list, [58.0, 115.0, 502.0, 18.0], sHo0MTapik, 5717384]
[ordered-list, [58.0, 133.0, 502.0, 18.0], sHo0MTapik, 5717384]
[ordered-list, [58.0, 151.0, 502.0, 18.0], sHo0MTapik, 5717384]
[ordered-list, [58.0, 169.0, 502.0, 18.0], sHo0MTapik, 5717384]
[ordered-list, [58.0, 187.0, 502.0, 18.0], sHo0MTapik, 5717384]
[ordered-list, [58.0, 205.0, 502.0, 18.0], sHo0MTapik, 5717384]
[ordered-list, [58.0, 223.0, 502.0, 18.0], sHo0MTapik, 5717384]
[ordered-list, [58.0, 241.0, 502.0, 18.0], sHo0MTapik, 5717384]
[ordered-list, [58.0, 259.0, 502.0, 18.0], sHo0MTapik, 5717384]
[ordered-list, [58.0, 277.0, 502.0, 18.0], sHo0MTapik, 5717384]
[ordered-list, [58.0, 295.0, 502.0, 18.0], sHo0MTapik, 5717384]
[ordered-list, [58.0, 313.0, 502.0, 18.0], sHo0MTapik, 5717384]
[ordered-list, [58.0, 331.0, 502.0, 18.0], sHo0MTapik, 5717384]
[ordered-list, [58.0, 349.0, 502.0, 18.0], sHo0MTapik, 5717384]
[ordered-list, [49.0, 384.0, 522.0, 18.0], P_1jok9GTS, 5717384]
[ordered-list, [49.0, 402.0, 522.0, 18.0], P_1jok9GTS, 5717384]
[ordered-list, [49.0, 420.0, 522.0, 18.0], P_1jok9GTS, 5717384]
[ordered-list, [49.0, 438.0, 522.0, 18.0], P_1jok9GTS, 5717384]
[ordered-list, [49.0, 456.0, 522.0, 18.0], P_1jok9GTS, 5717384]
[ordered-list, [49.0, 474.0, 522.0, 18.0], P_1jok9GTS, 5717384]
[ordered-list, [49.0, 492.0, 522.0, 18.0], P_1jok9GTS, 5717384]
[ordered-list, [49.0, 510.0, 522.0, 18.0], P_1jok9GTS, 5717384]
[ordered-list, [49.0, 528.0, 522.0, 18.0], P_1jok9GTS, 5717384]
[ordered-list, [49.0, 546.0, 522.0, 18.0], P_1jok9GTS, 5717384]
[ordered-list, [49.0, 564.0, 522.0, 18.0], P_1jok9GTS, 5717384]
[ordered-list, [49.0, 582.0, 522.0, 18.0], P_1jok9GTS, 5717384]
[ordered-list, [49.0, 600.0, 522.0, 18.0], P_1jok9GTS, 5717384]
[ordered-list, [49.0, 618.0, 522.0, 18.0], P_1jok9GTS, 5717384]
[ordered-list, [49.0, 636.0, 522.0, 18.0], P_1jok9GTS, 5717384]
[ordered-list, [49.0, 654.0, 522.0, 18.0], P_1jok9GTS, 5717384]
[ordered-list, [49.0, 672.0, 522.0, 18.0], P_1jok9GTS, 5717384]
[ordered-list, [49.0, 690.0, 522.0, 18.0], P_1jok9GTS, 5717384]
[ordered-list, [49.0, 708.0, 522.0, 18.0], P_1jok9GTS, 5717384]
[ordered-list, [49.0, 726.0, 522.0, 18.0], P_1jok9GTS, 5717384]
[ordered-list, [49.0, 744.0, 522.0, 18.0], P_1jok9GTS, 5717384]
[ordered-list, [49.0, 762.0, 522.0, 18.0], P_1jok9GTS, 5717384]
[sub-ordered-list, [54.0, 559.0, 509.0, 18.0], PtUbN9Pbvi, 5717384]
[sub-ordered-list, [54.0, 577.0, 509.0, 18.0], PtUbN9Pbvi, 5717384]
[sub-ordered-list, [54.0, 595.0, 509.0, 18.0], PtUbN9Pbvi, 5717384]
[sub-ordered-list, [54.0, 613.0, 509.0, 18.0], PtUbN9Pbvi, 5717384]
[sub-ordered-list, [54.0, 631.0, 509.0, 18.0], PtUbN9Pbvi, 5717384]
[sub-ordered-list, [54.0, 649.0, 509.0, 18.0], PtUbN9Pbvi, 5717384]
[sub-ordered-list, [54.0, 667.0, 509.0, 18.0], PtUbN9Pbvi, 5717384]
[sub-ordered-list, [54.0, 685.0, 509.0, 18.0], PtUbN9Pbvi, 5717384]
[sub-ordered-list, [54.0, 703.0, 509.0, 18.0], PtUbN9Pbvi, 5717384]
[sub-ordered-list, [54.0, 721.0, 509.0, 18.0], PtUbN9Pbvi, 5717384]
[sub-ordered-list, [54.0, 739.0, 509.0, 18.0], PtUbN9Pbvi, 5717384]
[sub-ordered-list, [54.0, 757.0, 509.0, 18.0], PtUbN9Pbvi, 5717384]
[subsub-ordered-list, [61.0, 606.0, 485.0, 18.0], vYkspIqEmX, 5717384]
[subsub-ordered-list, [61.0, 624.0, 485.0, 18.0], vYkspIqEmX, 5717384]
[subsub-ordered-list, [61.0, 642.0, 485.0, 18.0], vYkspIqEmX, 5717384]
[subsub-ordered-list, [61.0, 660.0, 485.0, 18.0], vYkspIqEmX, 5717384]
[subsub-ordered-list, [61.0, 678.0, 485.0, 18.0], vYkspIqEmX, 5717384]
[subsub-ordered-list, [61.0, 696.0, 485.0, 18.0], vYkspIqEmX, 5717384]
[subsub-ordered-list, [61.0, 714.0, 485.0, 18.0], vYkspIqEmX, 5717384]
[subsub-ordered-list, [61.0, 732.0, 485.0, 18.0], vYkspIqEmX, 5717384]
[subsub-ordered-list, [61.0, 750.0, 485.0, 18.0], vYkspIqEmX, 5717384]
