[2338, 1654]
[paragraph, [374.0, 171.0, 415.0, 36.0], YLi1LDN2DZ, 5754150]
[paragraph, [374.0, 207.0, 415.0, 36.0], YLi1LDN2DZ, 5754150]
[paragraph, [374.0, 243.0, 415.0, 36.0], YLi1LDN2DZ, 5754150]
[paragraph, [374.0, 279.0, 415.0, 36.0], YLi1LDN2DZ, 5754150]
[paragraph, [374.0, 315.0, 415.0, 36.0], YLi1LDN2DZ, 5754150]
[paragraph, [374.0, 351.0, 415.0, 36.0], YLi1LDN2DZ, 5754150]
[paragraph, [374.0, 387.0, 415.0, 36.0], YLi1LDN2DZ, 5754150]
[paragraph, [374.0, 423.0, 415.0, 36.0], YLi1LDN2DZ, 5754150]
[paragraph, [374.0, 459.0, 415.0, 36.0], YLi1LDN2DZ, 5754150]
[paragraph, [374.0, 495.0, 415.0, 36.0], YLi1LDN2DZ, 5754150]
[paragraph, [374.0, 531.0, 415.0, 36.0], YLi1LDN2DZ, 5754150]
[author, [860.0, 506.0, 589.0, 36.0], GsgOl_N63j, 5754150]
[author, [860.0, 542.0, 589.0, 36.0], GsgOl_N63j, 5754150]
[paragraph, [187.0, 573.0, 1275.0, 36.0], shoonya_0sS1Y283UJ8FT6, 5754150]
[paragraph, [187.0, 609.0, 1275.0, 36.0], shoonya_0sS1Y283UJ8FT6, 5754150]
[paragraph, [187.0, 645.0, 1275.0, 36.0], shoonya_0sS1Y283UJ8FT6, 5754150]
[paragraph, [187.0, 681.0, 1275.0, 36.0], shoonya_0sS1Y283UJ8FT6, 5754150]
[paragraph, [187.0, 717.0, 1275.0, 36.0], shoonya_0sS1Y283UJ8FT6, 5754150]
[paragraph, [187.0, 753.0, 1275.0, 36.0], shoonya_0sS1Y283UJ8FT6, 5754150]
[paragraph, [187.0, 789.0, 1275.0, 36.0], shoonya_0sS1Y283UJ8FT6, 5754150]
[paragraph, [187.0, 825.0, 1275.0, 36.0], shoonya_0sS1Y283UJ8FT6, 5754150]
[paragraph, [187.0, 861.0, 1275.0, 36.0], shoonya_0sS1Y283UJ8FT6, 5754150]
[paragraph, [187.0, 897.0, 1275.0, 36.0], shoonya_0sS1Y283UJ8FT6, 5754150]
[paragraph, [187.0, 933.0, 1275.0, 36.0], shoonya_0sS1Y283UJ8FT6, 5754150]
[paragraph, [187.0, 969.0, 1275.0, 36.0], shoonya_0sS1Y283UJ8FT6, 5754150]
[paragraph, [187.0, 1005.0, 1275.0, 36.0], shoonya_0sS1Y283UJ8FT6, 5754150]
[paragraph, [187.0, 1041.0, 1275.0, 36.0], shoonya_0sS1Y283UJ8FT6, 5754150]
[paragraph, [187.0, 1077.0, 1275.0, 36.0], shoonya_0sS1Y283UJ8FT6, 5754150]
[paragraph, [187.0, 1113.0, 1275.0, 36.0], shoonya_0sS1Y283UJ8FT6, 5754150]
[paragraph, [187.0, 1149.0, 1275.0, 36.0], shoonya_0sS1Y283UJ8FT6, 5754150]
[paragraph, [187.0, 1185.0, 1275.0, 36.0], shoonya_0sS1Y283UJ8FT6, 5754150]
[paragraph, [187.0, 1221.0, 1275.0, 36.0], shoonya_0sS1Y283UJ8FT6, 5754150]
[paragraph, [187.0, 1257.0, 1275.0, 36.0], shoonya_0sS1Y283UJ8FT6, 5754150]
[paragraph, [187.0, 1293.0, 1275.0, 36.0], shoonya_0sS1Y283UJ8FT6, 5754150]
[paragraph, [187.0, 1329.0, 1275.0, 36.0], shoonya_0sS1Y283UJ8FT6, 5754150]
[paragraph, [187.0, 1365.0, 1275.0, 36.0], shoonya_0sS1Y283UJ8FT6, 5754150]
[paragraph, [187.0, 1401.0, 1275.0, 36.0], shoonya_0sS1Y283UJ8FT6, 5754150]
[paragraph, [187.0, 1437.0, 1275.0, 36.0], shoonya_0sS1Y283UJ8FT6, 5754150]
[paragraph, [187.0, 1473.0, 1275.0, 36.0], shoonya_0sS1Y283UJ8FT6, 5754150]
[paragraph, [187.0, 1509.0, 1275.0, 36.0], shoonya_0sS1Y283UJ8FT6, 5754150]
[paragraph, [187.0, 1545.0, 1275.0, 36.0], shoonya_0sS1Y283UJ8FT6, 5754150]
[paragraph, [187.0, 1581.0, 1275.0, 36.0], shoonya_0sS1Y283UJ8FT6, 5754150]
[paragraph, [380.0, 1626.0, 572.0, 36.0], l6d-1SJ1Fq, 5754150]
[paragraph, [380.0, 1662.0, 572.0, 36.0], l6d-1SJ1Fq, 5754150]
[paragraph, [380.0, 1698.0, 572.0, 36.0], l6d-1SJ1Fq, 5754150]
[paragraph, [380.0, 1734.0, 572.0, 36.0], l6d-1SJ1Fq, 5754150]
[paragraph, [380.0, 1770.0, 572.0, 36.0], l6d-1SJ1Fq, 5754150]
[paragraph, [380.0, 1806.0, 572.0, 36.0], l6d-1SJ1Fq, 5754150]
[paragraph, [380.0, 1842.0, 572.0, 36.0], l6d-1SJ1Fq, 5754150]
[paragraph, [380.0, 1878.0, 572.0, 36.0], l6d-1SJ1Fq, 5754150]
[paragraph, [380.0, 1914.0, 572.0, 36.0], l6d-1SJ1Fq, 5754150]
[paragraph, [380.0, 1950.0, 572.0, 36.0], l6d-1SJ1Fq, 5754150]
[paragraph, [380.0, 1986.0, 572.0, 36.0], l6d-1SJ1Fq, 5754150]
[paragraph, [380.0, 2022.0, 572.0, 36.0], l6d-1SJ1Fq, 5754150]
[paragraph, [380.0, 2058.0, 572.0, 36.0], l6d-1SJ1Fq, 5754150]
