[789, 571]
[folio, [224.0, 48.0, 113.0, 18.0], shoonya_2sZI2ZJ4PG4LTF, 5701644]
[paragraph, [51.0, 85.0, 471.0, 18.0], shoonya_0sEWVLQVMO0ZTD, 5701644]
[paragraph, [51.0, 103.0, 471.0, 18.0], shoonya_0sEWVLQVMO0ZTD, 5701644]
[paragraph, [51.0, 121.0, 471.0, 18.0], shoonya_0sEWVLQVMO0ZTD, 5701644]
[paragraph, [51.0, 139.0, 471.0, 18.0], shoonya_0sEWVLQVMO0ZTD, 5701644]
[paragraph, [51.0, 157.0, 471.0, 18.0], shoonya_0sEWVLQVMO0ZTD, 5701644]
[paragraph, [51.0, 175.0, 471.0, 18.0], shoonya_0sEWVLQVMO0ZTD, 5701644]
[paragraph, [51.0, 193.0, 471.0, 18.0], shoonya_0sEWVLQVMO0ZTD, 5701644]
[paragraph, [51.0, 211.0, 471.0, 18.0], shoonya_0sEWVLQVMO0ZTD, 5701644]
[paragraph, [51.0, 229.0, 471.0, 18.0], shoonya_0sEWVLQVMO0ZTD, 5701644]
[paragraph, [57.0, 255.0, 470.0, 18.0], JkZTgNUdKP, 5701644]
[paragraph, [57.0, 273.0, 470.0, 18.0], JkZTgNUdKP, 5701644]
[paragraph, [57.0, 291.0, 470.0, 18.0], JkZTgNUdKP, 5701644]
[paragraph, [57.0, 309.0, 470.0, 18.0], JkZTgNUdKP, 5701644]
[paragraph, [57.0, 327.0, 470.0, 18.0], JkZTgNUdKP, 5701644]
[paragraph, [57.0, 345.0, 470.0, 18.0], JkZTgNUdKP, 5701644]
[paragraph, [57.0, 363.0, 470.0, 18.0], JkZTgNUdKP, 5701644]
[paragraph, [57.0, 381.0, 470.0, 18.0], JkZTgNUdKP, 5701644]
[paragraph, [57.0, 399.0, 470.0, 18.0], JkZTgNUdKP, 5701644]
[paragraph, [57.0, 417.0, 470.0, 18.0], JkZTgNUdKP, 5701644]
[paragraph, [57.0, 435.0, 470.0, 18.0], JkZTgNUdKP, 5701644]
[paragraph, [60.0, 462.0, 460.0, 18.0], shoonya_6sLYWTQI1XU0ZG, 5701644]
[paragraph, [60.0, 480.0, 460.0, 18.0], shoonya_6sLYWTQI1XU0ZG, 5701644]
[paragraph, [60.0, 498.0, 460.0, 18.0], shoonya_6sLYWTQI1XU0ZG, 5701644]
[paragraph, [60.0, 516.0, 460.0, 18.0], shoonya_6sLYWTQI1XU0ZG, 5701644]
[paragraph, [60.0, 534.0, 460.0, 18.0], shoonya_6sLYWTQI1XU0ZG, 5701644]
[paragraph, [60.0, 552.0, 460.0, 18.0], shoonya_6sLYWTQI1XU0ZG, 5701644]
[paragraph, [60.0, 570.0, 460.0, 18.0], shoonya_6sLYWTQI1XU0ZG, 5701644]
[paragraph, [60.0, 588.0, 460.0, 18.0], shoonya_6sLYWTQI1XU0ZG, 5701644]
[paragraph, [60.0, 606.0, 460.0, 18.0], shoonya_6sLYWTQI1XU0ZG, 5701644]
[paragraph, [60.0, 624.0, 460.0, 18.0], shoonya_6sLYWTQI1XU0ZG, 5701644]
[paragraph, [60.0, 642.0, 460.0, 18.0], shoonya_6sLYWTQI1XU0ZG, 5701644]
[paragraph, [60.0, 660.0, 460.0, 18.0], shoonya_6sLYWTQI1XU0ZG, 5701644]
[paragraph, [60.0, 678.0, 460.0, 18.0], shoonya_6sLYWTQI1XU0ZG, 5701644]
[paragraph, [60.0, 696.0, 460.0, 18.0], shoonya_6sLYWTQI1XU0ZG, 5701644]
